CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,
,,2/28/2005,1.4,,,,,,,,,,
,,11/30/2004,0.37,,,,,,,,,,
,,8/31/2004,0.42,,,,,,,,,,
,,5/28/2004,0.226666667,,,,,,,,,,
,,2/27/2004,0.96,,,,,,,,,,
,,11/28/2003,0.246666667,,,,,,,,,,
,,8/29/2003,0.28,,,,,,,,,,
,,5/30/2003,-0.053333333,,,,,,,,,,
,,2/28/2003,-0.246666667,,,,,,,,,,
,,11/29/2002,0.173333333,,,,,,,,,,
,,8/30/2002,0.126666667,,,,,,,,,,
,,5/31/2002,0.146666667,,,,,,,,,,
,,3/1/2002,0.733333333,,,,,,,,,,
,,11/30/2001,0.164444444,,,,,,,,,,
,,8/31/2001,0.173333333,,,,,,,,,,
,,6/1/2001,0.115555556,,,,,,,,,,
,,3/2/2001,0.4,,,,,,,,,,
,,11/24/2000,0.12,,,,,,,,,,
,,8/25/2000,0.16,,,,,,,,,,
,,5/26/2000,0.151111111,,,,,,,,,,
,,2/25/2000,0.346666667,,,,,,,,,,
,,11/26/1999,0.164444444,,,,,,,,,,
,,8/27/1999,0.12,,,,,,,,,,
,,5/28/1999,0.097777778,,,,,,,,,,
,,2/26/1999,0.217777778,,,,,,,,,,
,,11/27/1998,0.115555556,,,,,,,,,,
,,8/28/1998,0.093333333,,,,,,,,,,
,,5/29/1998,0.035555556,,,,,,,,,,
,,2/27/1998,0.145555556,,,,,,,,,,
,,11/28/1997,0.063333333,,,,,,,,,,
,,8/29/1997,0.016666667,,,,,,,,,,
,,5/30/1997,-0.006666667,,,,,,,,,,
,,3/31/1997,0.021111111,,,,,,,,,,
,,11/29/1996,-0.027777778,,,,,,,,,,
,,8/30/1996,0.01,,,,,,,,,,
,,5/31/1996,0.001111111,,,,,,,,,,
,,3/1/1996,0.051111111,,,,,,,,,,
,,11/24/1995,0.045555556,,,,,,,,,,
,,8/25/1995,0.014444444,,,,,,,,,,
,,5/26/1995,0.012222222,,,,,,,,,,
,,2/24/1995,0.072222222,,,,,,,,,,
,,11/25/1994,0.045555556,,,,,,,,,,
,,8/26/1994,0.02,,,,,,,,,,
