CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3
Y,,11/30/2026,,3.38,8/27/2025,3.34,7/22/2025,3.42,6/21/2025,3.8,5/30/2025
,,8/30/2026,,2.74,,2.77,,2.89,,3.22,
,,5/30/2026,,2.2,,2.25,,2.32,,2.58,
,,2/28/2026,,1.58,,1.64,,1.71,,1.99,
,,11/30/2025,,2.76,11/5/2024,2.77,11/5/2024,2.8,11/5/2024,3.18,11/5/2024
,,8/30/2025,,2.1,,2.1,,2.15,,2.77,
,6/16/2025,5/30/2025,1.81,1.81,,1.97,,1.97,,2,
,3/20/2025,2/28/2025,1.96,1.96,,1.75,,2.31,,2.56,
,12/18/2024,11/30/2024,4.06,4.06,1/23/2024,4.21,1/23/2024,4.62,1/23/2024,4.64,1/23/2024
,9/19/2024,8/30/2024,4.26,4.26,,3.63,,3.66,,3.97,
,6/17/2024,5/30/2024,3.45,3.45,,3.24,,3.24,,3.24,
,3/13/2024,2/28/2024,2.57,2.57,,2.21,,2.21,,2.45,
,12/14/2023,11/30/2023,4.82,4.82,,4.6,,4.6,,4.14,
,9/14/2023,8/30/2023,3.87,3.87,,3.49,,3.37,,2.67,
,6/14/2023,5/30/2023,3.01,3.01,,2.31,,2.16,,2.16,
,3/14/2023,2/28/2023,2.06,2.06,,1.55,,1.56,,1.7,
,12/14/2022,11/30/2022,4.55,4.55,,4.91,,4.99,,5.37,
,9/21/2022,8/31/2022,5.03,5.19,,4.91,,4.94,,4.92,
,6/21/2022,5/29/2022,4.49,4.49,,3.98,,3.97,,3.79,
,3/16/2022,2/28/2022,1.69,1.69,,2.6,,2.6,,2.87,
,12/15/2021,11/30/2021,3.91,3.91,,4.16,,4.26,,4.5,
,9/20/2021,8/31/2021,4.52,4.52,,3.28,,3.29,,3,
,6/16/2021,5/29/2021,2.65,2.65,,2.36,,2.36,,2.28,
,3/16/2021,2/28/2021,3.2,3.2,,1.71,,1.71,,1.64,
,12/16/2020,11/30/2020,2.82,2.82,,2.33,,2.32,3/1/2020,2.32,3/1/2020
,9/14/2020,8/31/2020,2.12,2.12,,1.55,,1.54,,0.93,
,6/15/2020,5/29/2020,1.65,1.65,,1.07,,1,,1.49,
,3/19/2020,2/28/2020,1.27,1.27,,0.84,,0.85,,0.84,
,1/8/2020,11/29/2019,2.13,2.13,,1.94,,1.94,,1.96,
,10/2/2019,8/30/2019,1.59,1.59,,1.59,,1.32,,1.53,
,6/25/2019,5/31/2019,1.307617145,1.3,,1.14,,1.38,,1.47,
,3/27/2019,2/28/2019,0.746571485,0.74,,0.75,,0.76,,0.77,
,1/9/2019,11/30/2018,2.444008534,2.42,,1.92,,1.96,,2.04,
,10/3/2018,8/31/2018,1.384962581,1.37,,1.19,,1.27,,1.5,
,6/26/2018,5/31/2018,0.949323632,0.94,,0.45,,1.15,,1.19,
,4/4/2018,2/28/2018,0.535335314,0.53,,0.77,,0.76,,0.82,
,1/10/2018,11/30/2017,1.303185668,,,1.48,,1.52,,1.72,
,10/3/2017,8/31/2017,1.07087599,,,1.01,,1.05,,1.24,
,6/20/2017,5/31/2017,0.920015158,,,0.78,,0.79,,0.93,
,4/10/2017,2/28/2017,0.16399938,,,0.55,,0.66,,0.65,
,,11/30/2016,1.349932601,,,1.29,,1.3,,1.29,
,,8/31/2016,1.00738079,,,0.89,,0.9,,1.05,
,,5/31/2016,0.950208119,,,0.86,,0.87,,,
,,2/29/2016,0.629401178,,,0.52,,,,,
,,11/30/2015,1.217263693,,,1.12,,,,,
,,8/31/2015,0.968613911,,,0.79,,,,,
,,5/29/2015,0.792136461,,,0.64,,,,,
,,2/27/2015,0.499153337,,,0.45,,,,,
,,11/28/2014,1.070867963,,,0.96,,,,,
,,8/29/2014,0.778857108,,,0.67,,,,,
,,5/30/2014,0.60400421,,,0.51,,,,,
,,2/28/2014,0.343167791,,,0.28,,,,,
,,11/29/2013,0.727093867,,,0.62,,,,,
,,8/30/2013,0.535478288,,,0.45,,,,,
,,5/31/2013,0.606366504,,,0.33,,,,,
,,2/28/2013,0.254370246,,,0.15,,,,,
,,11/30/2012,0.556655341,,,,,,,,
,,8/31/2012,0.39670735,,,,,,,,
,,5/31/2012,2.076514488,,,,,,,,
,,2/29/2012,0.070005098,,,,,,,,
,,11/30/2011,0.17,,,,,,,,
,,8/31/2011,0.11,,,,,,,,
,,5/31/2011,0.07,,,,,,,,
,,2/28/2011,0.14,,,,,,,,
,,11/30/2010,0.18,,,,,,,,
,,8/31/2010,0.16,,,,,,,,
,,5/28/2010,0.21,,,,,,,,
,,2/26/2010,-0.04,,,,,,,,
,,11/30/2009,0.08,,,,,,,,
,,8/31/2009,-0.97,,,,,,,,
,,5/29/2009,-0.76,,,,,,,,
,,2/27/2009,-0.98,,,,,,,,
,,11/28/2008,-5.12,,,,,,,,
,,8/29/2008,-0.56,,,,,,,,
,,5/30/2008,-0.76,,,,,,,,
,,2/29/2008,-0.56,,,,,,,,
,,11/30/2007,-7.93,,,,,,,,
,,8/31/2007,-3.25,,,,,,,,
,,5/31/2007,-1.55,,,,,,,,
,,2/28/2007,0.43,,,,,,,,
,,11/30/2006,-1.21,,,,,,,,
,,8/31/2006,1.3,,,,,,,,
,,5/31/2006,2,,,,,,,,
,,2/28/2006,1.58,,,,,,,,
,,11/30/2005,3.6,,,,,,,,
,,8/31/2005,2.06,,,,,,,,
,,5/31/2005,1.48,,,,,,,,
,,2/28/2005,1.17,,,,,,,,
,,11/30/2004,2.26,,,,,,,,
,,8/31/2004,1.36,,,,,,,,
,,5/28/2004,1.22,,,,,,,,
,,2/27/2004,0.84,,,,,,,,
,,11/28/2003,1.87,,,,,,,,
,,8/29/2003,1.215,,,,,,,,
,,5/30/2003,1.025,,,,,,,,
,,2/28/2003,0.685,,,,,,,,
,,11/29/2002,1.595,,,,,,,,
,,8/30/2002,1.005,,,,,,,,
,,5/31/2002,0.755,,,,,,,,
,,2/28/2002,0.515,,,,,,,,
,,11/30/2001,1.175,,,,,,,,
,,8/31/2001,0.765,,,,,,,,
,,5/31/2001,0.7,,,,,,,,
,,2/28/2001,0.375,,,,,,,,
,,11/30/2000,0.905,,,,,,,,
,,8/31/2000,0.45,,,,,,,,
,,5/31/2000,0.32,,,,,,,,
