Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,
,12/31/2021,2.18,4/15/2020,2.21,4/14/2020,2.21,,,,,,,,,,,,,,,,,,
,9/30/2021,2.41,,2.44,,2.44,,,,,,,,,,,,,,,,,,
,6/30/2021,2.26,,2.33,,2.33,,,,,,,,,,,,,,,,,,
,3/31/2021,2.33,,2.27,,2.27,,,,,,,,,,,,,,,,,,
,12/31/2020,2.02,,2.21,,2.21,,2.22,,2.13,,2.17,,2.23,,2.24,,2.29,,,,,,
,9/30/2020,1.95,,2.19,,2.19,,2.35,,2.39,,2.37,,2.27,,2.29,,,,,,,,
,6/30/2020,1.45,,1.62,,1.62,,2.02,,2.29,,2.28,,2.29,,,,,,,,,,
4/14/2020,3/31/2020,2.169973793,,2,,2.08,,2.26,,2.23,,2.25,,2.24,,2.25,,,,,,,,
1/22/2020,12/27/2019,1.502379079,,1.87,,1.88,,1.92,,1.93,,1.98,,2.04,,2.05,,2.08,,2.11,,,,
10/15/2019,9/27/2019,0.656578898,,2.01,,2.02,,2.08,,2.17,,2.18,,2.12,,2.14,,,,,,,,
7/16/2019,6/28/2019,2.083070179,,2.46,,2.43,,2.19,,2.21,,2.16,,,,,,,,,,,,
4/16/2019,3/29/2019,1.389135912,,2.04,,2.18,,2.19,,2.13,,,,,,,,,,,,,,
1/22/2019,12/31/2018,1.116740088,,1.95,,1.96,,1.98,,1.88,,1.89,,1.8,,,,,,,,,,
10/16/2018,9/28/2018,1.442293591,,2.03,,2.05,,2,,1.93,,1.84,,,,,,,,,,,,
7/17/2018,6/29/2018,1.452982031,,2.07,,2,,1.99,,1.89,,,,,,,,,,,,,,
4/17/2018,3/29/2018,1.598521176,,2.02,,2,,1.96,,1.84,,,,,,,,,,,,,,
1/23/2018,12/29/2017,-3.990092741,,1.72,,1.67,,1.68,,1.73,,1.74,,1.75,,1.74,,1.75,,,,,,
10/17/2017,9/29/2017,1.374876721,,1.8,,1.77,,1.78,,1.79,,1.8,,1.78,,1.76,,,,,,,,
7/18/2017,6/30/2017,1.395951122,,1.8,,1.81,,1.82,,1.83,,1.78,,1.77,,,,,,,,,,
4/18/2017,3/31/2017,1.605373026,,1.77,,1.76,,1.77,,1.73,,,,,,,,,,,,,,
,12/30/2016,1.379634654,,1.56,,1.58,,1.59,,1.58,,1.56,,1.57,,1.54,,1.52,,1.53,,1.66,,
,9/30/2016,1.533711496,,1.66,,1.65,,1.63,,1.58,,1.62,,,,,,,,,,,,
,7/1/2016,1.430463102,,1.68,,1.66,,1.63,,1.62,,,,,,,,,,,,,,
,4/1/2016,1.535379552,,1.65,,1.66,,1.63,,1.64,,,,,,,,,,,,,,
,12/31/2015,1.146862626,,1.42,,1.44,,1.45,,1.42,,1.39,,1.4,,1.39,,1.4,,1.46,,1.49,,1.53
,9/30/2015,1.196209746,,1.45,,1.46,,1.54,,1.55,,1.53,,1.54,,1.49,,1.54,,1.57,,,,
,6/26/2015,1.605974395,,1.67,,1.69,,1.7,,1.73,,1.6,,1.61,,1.63,,1.54,,1.64,,1.61,,
,3/31/2015,1.52866242,,1.54,,1.53,,1.54,,1.55,,1.54,,1.67,,1.6,,,,,,,,
,12/31/2014,0.886022564,,1.26,,1.28,,1.29,,1.36,,1.35,,1.36,,1.37,,1.39,,1.38,,1.46,,
,9/30/2014,1.657996718,,1.45,,1.44,,1.43,,1.45,,1.46,,1.48,,1.46,,1.45,,1.43,,1.54,,
,6/30/2014,1.505114467,,1.55,,1.54,,1.51,,1.5,,1.49,,1.48,,,,,,,,,,
,3/31/2014,1.644345497,,1.48,,1.49,,1.2,,,,,,,,,,,,,,,,
,12/31/2013,1.225278552,,1.2,,1.25,,1.31,,,,,,,,,,,,,,,,
,9/30/2013,1.034985423,,1.32,,1.33,,1.4,,,,,,,,,,,,,,,,
,6/28/2013,1.324922226,,1.39,,1.41,,,,,,,,,,,,,,,,,,
,3/28/2013,1.22324052,,1.4,,1.41,,1.4,,1.17,,,,,,,,,,,,,,
,12/31/2012,0.905978683,,1.17,,1.19,,1.2,,,,,,,,,,,,,,,,
,9/28/2012,1.053191867,,1.21,,,,,,,,,,,,,,,,,,,,
,6/29/2012,0.503180616,,nan,,,,,,,,,,,,,,,,,,,,
,3/30/2012,1.409059786,,nan,,,,,,,,,,,,,,,,,,,,
,12/30/2011,0.078731626,,nan,,,,,,,,,,,,,,,,,,,,
,9/30/2011,1.152544813,,nan,,,,,,,,,,,,,,,,,,,,
,7/1/2011,0.998094416,,nan,,,,,,,,,,,,,,,,,,,,
,4/1/2011,1.253651675,,nan,,,,,,,,,,,,,,,,,,,,
,12/31/2010,0.698159333,,nan,,,,,,,,,,,,,,,,,,,,
,10/1/2010,0.590522605,,nan,,,,,,,,,,,,,,,,,,,,
,7/2/2010,1.233547926,,nan,,,,,,,,,,,,,,,,,,,,
,4/1/2010,1.617988775,,nan,,,,,,,,,,,,,,,,,,,,
,12/31/2009,0.790936144,,nan,,,,,,,,,,,,,,,,,,,,
,9/25/2009,1.19763695,,nan,,,,,,,,,,,,,,,,,,,,
,6/26/2009,1.153127247,,nan,,,,,,,,,,,,,,,,,,,,
,3/27/2009,1.257079361,,nan,,,,,,,,,,,,,,,,,,,,
,12/31/2008,0.95711666,,nan,,,,,,,,,,,,,,,,,,,,
,9/30/2008,1.169074277,,nan,,,,,,,,,,,,,,,,,,,,
,6/30/2008,1.16950225,,nan,,,,,,,,,,,,,,,,,,,,
,3/31/2008,1.255276838,,nan,,,,,,,,,,,,,,,,,,,,
,12/31/2007,0.82,,nan,,,,,,,,,,,,,,,,,,,,
,9/28/2007,0.88,,nan,,,,,,,,,,,,,,,,,,,,
,6/29/2007,1.05,,nan,,,,,,,,,,,,,,,,,,,,
