CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Non-GAAP diluted ,,6/30/2027,,3.45,11/11/2025,3.19,9/26/2025,3.19,8/24/2025,2.55,7/1/2025,2.55,5/16/2025,,,,,,,,
,,3/30/2027,,3.27,,3.05,,3.05,,2.39,,2.39,,,,,,,,,
,,12/31/2026,,3.06,,2.92,,2.92,,2.25,,2.25,,,,,,,,,
,,9/30/2026,,2.94,,2.8,,2.8,,2.11,,2.11,,,,,,,,,
,,6/30/2026,,3.05,7/1/2025,3.1,7/1/2025,3.1,7/1/2025,2.55,7/1/2025,2.55,5/16/2025,,,,,,,,
,,3/30/2026,,2.94,,2.93,,2.93,,2.39,,2.39,,,,,,,,,
,,12/31/2025,,3.08,,2.82,,2.82,,2.25,,2.25,,,,,,,,,
,11/7/2025,9/30/2025,3.43,3.46,,2.93,,2.93,,2.11,,2.11,,,,,,,,,
,8/22/2025,6/30/2025,4.41,3.54,10/6/2024,2.23,10/6/2024,2.23,10/6/2024,1.96,10/6/2024,,,,,,,,,,
,5/8/2025,3/30/2025,2.98,3,,1.97,,1.97,,2.22,,,,,,,,,,,
,2/7/2025,12/31/2024,2.26,2.28,,2.14,,2.14,,1.86,,,,,,,,,,,
,11/8/2024,9/30/2024,2.12,2.14,,1.63,,1.74,,1.74,,,,,,,,,,,
,8/23/2024,6/30/2024,1.72,1.74,11/4/2023,1.73,11/4/2023,1.73,11/4/2023,1.79,11/4/2023,,,,,,,,,,
,5/10/2024,3/30/2024,1.26,1.28,,1.56,,1.56,,1.88,,,,,,,,,,,
,2/9/2024,12/31/2023,1.36,1.38,,1.64,,2.04,,2.04,,,,,,,,,,,
,11/3/2023,9/30/2023,1.45,1.47,,1.9,,1.9,,2,,,,,,,,,,,
,8/25/2023,6/30/2023,1.72,1.73,,1.8,,1.8,,1.8,,,,,,,,,,,
,5/5/2023,3/30/2023,1.63,0.65,,1.96,,1.96,,1.47,,,,,,,,,,,
,2/3/2023,12/31/2022,1.86,1.87,,1.29,,2.07,,2.07,,,,,,,,,,,
,11/4/2022,9/30/2022,1.54,1.55,,1.8,,1.59,,1.59,,,,,,,,,,,
,8/26/2022,6/30/2022,1.53,1.54,,1.21,,1.21,,1.92,,,,,,,,,,,
,5/5/2022,3/31/2022,0.82,0.83,,1.79,,1.79,,2.35,,,,,,,,,,,
,2/4/2022,12/31/2021,1.66,1.66,,2.29,,2.29,,2.76,,,,,,,,,,,
,11/5/2021,9/30/2021,2.11,2.12,,2.62,,2.62,,2.51,,,,,,,,,,,
,8/27/2021,6/30/2021,2.46,2.47,,2.34,,2.34,,2.34,,,,,,,,,,,
,5/7/2021,3/31/2021,2.32,2.3,,2.31,,2.5,,1.75,,,,,,,,,,,
,2/5/2021,12/31/2020,2.54,2.53,,1.77,,1.91,,1.51,,,,,,,,,,,
,11/6/2020,9/30/2020,2.46,2.47,,1.51,,1.54,,1.5,,,,,,,,,,,
,8/21/2020,6/30/2020,1.45,1.46,,1.37,,1.37,,1.33,,,,,,,,,,,
,5/8/2020,3/31/2020,1.6,1.61,,1.33,,1.38,,1.42,,,,,,,,,,,
,2/7/2020,12/31/2019,1.32,1.4,,1.48,,1.47,,1.47,,,,,,,,,,,
