Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,
4/30/2021,2.1,3/13/2020,2.29,3/8/2020,2.29,,2.27,,2.25036193,,2.290272851,,,,,,
1/29/2021,1.57,,1.67,,1.67,,1.66,,1.630697051,,1.659618008,,,,,,
10/30/2020,1.95,,2.06,,2.06,,1.96,,1.935093834,,1.96941337,,,,,,
7/31/2020,2.18,,2.39,,2.39,,2.33,,2.152520107,,2.190695771,,,,,,
4/30/2020,1.9,,2.05,,2.05,,2.09,,2.07,,2.24,,2.23,,,,
1/31/2020,0.75,,1.46,,1.43,,1.5,,1.56,,,,,,,,
10/31/2019,1.31,,1.71,,1.78,,1.94,,1.95,,,,,,,,
7/31/2019,1.589889624,,1.96,,1.98,,2.22,,2.23,,,,,,,,
4/30/2019,1.302726516,,1.89,,1.93,,1.96,,2.06,,,,,,,,
1/31/2019,1.069275694,,1.33,,1.32,,1.7,,1.64,,,,,,,,
10/31/2018,1.051144419,,1.87,,1.9,,1.88,,1.5,,1.44,,,,,,
7/31/2018,1.405702941,,1.92,,1.82,,1.85,,1.48,,1.42,,1.15,,,,
4/30/2018,1.084569212,,1.15,,1.58,,1.34,,1.3,,1.33,,1.24,,0.96,,
1/31/2018,0.119587125,,0.96,,0.97,,0.99,,0.93,,,,,,,,
10/31/2017,1.214341362,,1.26,,1.3,,1.28,,1.27,,1.3,,1.35,,1.37,,1.32
7/31/2017,1.362331929,,1.39,,1.36,,1.35,,1.29,,1.34,,1.32,,1.26,,
4/28/2017,1.058477528,,1.02,,1.08,,1.05,,1.1,,0.78,,,,,,
1/31/2017,0.888395207,,0.78,,0.86,,0.85,,0.87,,0.89,,1.17,,,,
10/31/2016,1.072789272,,1.17,,1.19,,1.11,,1.23,,1.18,,,,,,
7/29/2016,1.322326017,,0.94,,0.93,,1.05,,1.01,,,,,,,,
4/29/2016,0.814604844,,0.89,,0.77,,,,,,,,,,,,
1/29/2016,0.729949272,,0.54,,,,,,,,,,,,,,
10/30/2015,1.103647896,,0.79,,,,,,,,,,,,,,
7/31/2015,0.923073363,,0.7,,,,,,,,,,,,,,
4/30/2015,0.693859777,,0.57,,,,,,,,,,,,,,
1/30/2015,0.451425008,,0.36,,,,,,,,,,,,,,
10/31/2014,0.480631991,,0.5,,,,,,,,,,,,,,
7/31/2014,0.585837273,,0.43,,,,,,,,,,,,,,
4/30/2014,0.355791161,,0.4,,,,,,,,,,,,,,
1/31/2014,0.183286658,,0.29,,,,,,,,,,,,,,
10/31/2013,0.338283508,,0.39,,,,,,,,,,,,,,
7/31/2013,0.432894519,,0.33,,,,,,,,,,,,,,
4/30/2013,0.341920433,,0.21,,,,,,,,,,,,,,
1/30/2013,0.138011788,,0.05,,,,,,,,,,,,,,
10/31/2012,0.132855146,,0.05,,,,,,,,,,,,,,
7/30/2012,0.038487508,,-0.03,,,,,,,,,,,,,,
4/30/2012,-0.41577486,,nan,,,,,,,,,,,,,,
1/30/2012,-0.634593359,,nan,,,,,,,,,,,,,,
10/28/2011,-0.207662379,,nan,,,,,,,,,,,,,,
7/29/2011,-0.18993428,,nan,,,,,,,,,,,,,,
4/29/2011,-0.237204521,,nan,,,,,,,,,,,,,,
1/31/2011,-0.408600522,,nan,,,,,,,,,,,,,,
10/29/2010,-0.518532844,,nan,,,,,,,,,,,,,,
7/30/2010,-0.240329329,,nan,,,,,,,,,,,,,,
4/30/2010,-0.10823053,,nan,,,,,,,,,,,,,,
1/29/2010,-0.644126773,,nan,,,,,,,,,,,,,,
10/30/2009,-0.373388458,,nan,,,,,,,,,,,,,,
7/31/2009,-0.45388758,,nan,,,,,,,,,,,,,,
4/30/2009,-0.208352964,,nan,,,,,,,,,,,,,,
1/30/2009,0.00163639,,nan,,,,,,,,,,,,,,
10/31/2008,-0.034280316,,nan,,,,,,,,,,,,,,
7/31/2008,0.011063983,,nan,,,,,,,,,,,,,,
4/30/2008,0,,nan,,,,,,,,,,,,,,
1/31/2008,-0.14,,nan,,,,,,,,,,,,,,
10/31/2007,0.08,,nan,,,,,,,,,,,,,,
7/31/2007,0.34,,nan,,,,,,,,,,,,,,
4/30/2007,0.4,,nan,,,,,,,,,,,,,,
1/31/2007,0.24,,nan,,,,,,,,,,,,,,
10/31/2006,0.57,,nan,,,,,,,,,,,,,,
7/31/2006,0.82,,nan,,,,,,,,,,,,,,
4/28/2006,0.83,,nan,,,,,,,,,,,,,,
1/31/2006,0.37,,nan,,,,,,,,,,,,,,
10/31/2005,0.37,,nan,,,,,,,,,,,,,,
7/29/2005,0.45,,nan,,,,,,,,,,,,,,
4/29/2005,0.44,,nan,,,,,,,,,,,,,,
1/31/2005,0.42,,nan,,,,,,,,,,,,,,
10/29/2004,0.67,,nan,,,,,,,,,,,,,,
7/30/2004,0.58,,nan,,,,,,,,,,,,,,
4/30/2004,0.5,,nan,,,,,,,,,,,,,,
1/30/2004,0.45,,nan,,,,,,,,,,,,,,
10/31/2003,0.5,,nan,,,,,,,,,,,,,,
7/31/2003,0.45,,nan,,,,,,,,,,,,,,
4/30/2003,0.455,,nan,,,,,,,,,,,,,,
1/31/2003,0.4,,nan,,,,,,,,,,,,,,
10/31/2002,0.545,,nan,,,,,,,,,,,,,,
7/31/2002,0.545,,nan,,,,,,,,,,,,,,
4/30/2002,0.535,,nan,,,,,,,,,,,,,,
1/31/2002,0.455,,nan,,,,,,,,,,,,,,
10/31/2001,0.475,,nan,,,,,,,,,,,,,,
7/31/2001,0.44,,nan,,,,,,,,,,,,,,
4/30/2001,0.425,,nan,,,,,,,,,,,,,,
1/31/2001,0.21,,nan,,,,,,,,,,,,,,
10/31/2000,0.21,,nan,,,,,,,,,,,,,,
7/31/2000,0.22,,nan,,,,,,,,,,,,,,
4/28/2000,0.195,,nan,,,,,,,,,,,,,,
1/31/2000,0.16,,nan,,,,,,,,,,,,,,
10/29/1999,0.255,,nan,,,,,,,,,,,,,,
7/30/1999,0.285,,nan,,,,,,,,,,,,,,
4/30/1999,0.3,,nan,,,,,,,,,,,,,,
1/29/1999,0.22,,nan,,,,,,,,,,,,,,
10/30/1998,0.3,,nan,,,,,,,,,,,,,,
7/31/1998,0.265,,nan,,,,,,,,,,,,,,
4/30/1998,0.24,,nan,,,,,,,,,,,,,,
1/30/1998,0.16,,nan,,,,,,,,,,,,,,
