Q_Report_Date,Date,Q_EPS_Diluted,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,6/30/2020,0.28,0.56,0.56,0.67,0.85,,
,3/31/2020,0.14,0.39,0.39,0.55,0.54,,
,12/31/2019,-0.02,0.43,0.43,0.4,0.38,,
,9/30/2019,-0.21,0.22,0.22,0.29,0.33,,
,6/28/2019,-0.06260949,0.27,0.33,0.52,0.69,0.58,
,3/29/2019,0.34687357399999996,0.43,0.44,0.5,,,
,12/31/2018,0.313380011,0.3,0.26,,,,
,9/28/2018,0.238410035,-0.06,0.16,,,,
,6/29/2018,0.5086289970000001,0.48,0.17,0.14,,,
,3/29/2018,0.371121298,0.13,0.06,0.04,,,
,12/29/2017,-0.364078959,0.03,-0.08,-0.1,-0.17,,
,9/29/2017,0.293720579,0.29,-0.06,-0.07,-0.09,,
,6/30/2017,0.10328888900000001,0.01,-0.04,-0.03,-0.05,,
,3/31/2017,-0.164266667,-0.13,-0.12,-0.13,-0.2,,
,12/30/2016,-0.259028643,-0.2,-0.21,0.01,0.1,0.21,-0.29
,9/30/2016,-0.24034947,-0.28,-0.13,-0.1,0.05,-0.16,
,6/30/2016,-0.49228161,-0.02,-0.16,0.01,0.08,0.19,-0.17
,3/31/2016,-0.08592843800000001,-0.09,-0.17,-0.11,0.02,0.13,
,12/31/2015,-0.205501474,-0.16,0.0,0.25,0.24,,
,9/30/2015,-0.38212675700000004,-0.02,0.28,0.39,,,
,6/30/2015,0.03877551,0.1,0.24,0.42,0.43,,
,3/31/2015,0.261193368,0.14,0.15,0.23,0.22,0.31,
,12/31/2014,0.332063098,0.2,0.29,0.23,0.2,0.29,
,9/30/2014,0.358549131,0.25,0.11,0.26,,,
,6/30/2014,0.206192884,0.24,0.27,0.3,0.35,0.32,0.09
,3/31/2014,-0.034886818,0.1,0.19,0.18,0.25,0.2,
,12/31/2013,0.045962733,0.2,0.26,0.13,,,
,9/27/2013,0.11361210000000001,0.13,0.16,,,,
,6/28/2013,0.004219038,0.16,0.18,0.19,0.21,0.19,0.09
,3/28/2013,-0.067241839,0.13,0.16,0.14,,,
,12/31/2012,0.292111247,0.11,0.29,,,,
,9/28/2012,0.109295824,0.25,,,,,
,6/29/2012,0.11106294400000001,0.65,,,,,
,3/30/2012,0.811700657,0.61,,,,,
,12/30/2011,0.507495018,,,,,,
,9/30/2011,0.8301706959999999,,,,,,
,6/30/2011,0.659600348,,,,,,
,3/25/2011,0.396374412,,,,,,
,12/31/2010,0.352283643,,,,,,
,9/24/2010,0.23927927899999998,,,,,,
,6/30/2010,0.18258301300000002,,,,,,
,3/26/2010,0.130134529,,,,,,
,12/24/2009,-0.043808672,,,,,,
,9/25/2009,-0.21585705300000002,,,,,,
,6/30/2009,0.246024656,,,,,,
,3/27/2009,0.258128793,,,,,,
,12/26/2008,0.30657260199999997,,,,,,
,9/26/2008,0.21577381,,,,,,
,6/30/2008,0.6141780579999999,,,,,,
,3/31/2008,0.7,,,,,,
,12/31/2007,0.37,,,,,,
,9/28/2007,0.44,,,,,,
,6/29/2007,0.41,,,,,,
,3/30/2007,0.64,,,,,,
,12/29/2006,0.48,,,,,,
,9/29/2006,0.31,,,,,,
,6/30/2006,0.95,,,,,,
,3/31/2006,0.64,,,,,,
,12/30/2005,0.42,,,,,,
,9/30/2005,0.42,,,,,,
,6/30/2005,0.54,,,,,,
,3/31/2005,0.27,,,,,,
,12/31/2004,0.19,,,,,,
,9/30/2004,0.185,,,,,,
,6/30/2004,0.5,,,,,,
,3/31/2004,0.33,,,,,,
,12/31/2003,0.06,,,,,,
,9/30/2003,0.1,,,,,,
,6/30/2003,0.335,,,,,,
,3/31/2003,0.09,,,,,,
,12/31/2002,-0.55,,,,,,
,9/30/2002,-0.3,,,,,,
,6/28/2002,0.245,,,,,,
,3/28/2002,-0.005,,,,,,
,12/31/2001,0.075,,,,,,
,9/28/2001,0.05,,,,,,
,6/29/2001,0.05,,,,,,
,3/30/2001,0.72,,,,,,
,12/29/2000,0.17,,,,,,
,9/29/2000,0.16,,,,,,
,6/30/2000,0.4,,,,,,
,3/31/2000,0.305,,,,,,
,12/31/1999,0.125,,,,,,
,9/30/1999,-0.16,,,,,,
,6/30/1999,0.08,,,,,,
,3/31/1999,-0.315,,,,,,
,12/31/1998,-0.05,,,,,,
,9/30/1998,0.105,,,,,,
,6/30/1998,0.605,,,,,,
,3/31/1998,0.41,,,,,,
,12/31/1997,0.365,,,,,,
,9/30/1997,0.235,,,,,,
,6/30/1997,0.52,,,,,,
,3/31/1997,0.34,,,,,,
,12/31/1996,0.31,,,,,,
,9/30/1996,0.2,,,,,,
,6/28/1996,0.59,,,,,,
,3/29/1996,0.325,,,,,,
,12/29/1995,0.225,,,,,,
,9/29/1995,0.04,,,,,,
,6/30/1995,0.485,,,,,,
,3/31/1995,0.25,,,,,,
,12/30/1994,0.245,,,,,,
,9/30/1994,0.035,,,,,,
,6/30/1994,0.52,,,,,,
,3/31/1994,0.17,,,,,,
,12/31/1993,0.135,,,,,,
