CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,4/28/2022,3/30/2022,1.64,1.95,,1.82,,1.88,,1.95,,,,,,,,,,,,,,,,,,
,2/3/2022,12/31/2021,1.32,1.63,,1.55,,1.56,,1.78,,,,,,,,,,,,,,,,,,
,10/28/2021,9/30/2021,1.26,1.77,,1.78,,1.85,,1.85,,,,,,,,,,,,,,,,,,
,7/29/2021,6/30/2021,1.46,1.85,,1.69,,1.76,,1.78,,,,,,,,,,,,,,,,,,
,4/29/2021,3/31/2021,1.59,1.77,,1.59,,1.71,,1.69,,,,,,,,,,,,,,,,,,
,2/4/2021,12/31/2020,1.38,1.53,,1.32,,1.32,,1.3,4/3/2020,,,,,,,,,,,,,,,,,
,10/29/2020,9/30/2020,1.29,1.44,,1.24,,1.24,,1.32,,,,,,,,,,,,,,,,,,
,7/30/2020,6/30/2020,1.27,1.42,,1.36,,1.37,,1.39,,,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,1.92,2.06,,1.75,,1.89,,1.91,,,,,,,,,,,,,,,,,,
,1/30/2020,12/31/2019,1.53,1.7,,1.6,,1.62,,1.73,,,,,,,,,,,,,,,,,,
,10/24/2019,9/30/2019,1.57,1.71,,1.64,,1.66,,1.66,,,,,,,,,,,,,,,,,,
,7/25/2019,6/28/2019,1.711681312,1.85,,1.73,,1.75,,1.76,,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,1.791496622,1.93,,1.59,,1.61,,1.63,,,,,,,,,,,,,,,,,,
,1/31/2019,12/31/2018,1.36449531,1.49,,1.37,,1.36,,1.34,,,,,,,,,,,,,,,,,,
,10/25/2018,9/28/2018,1.189000645,1.32,,1.24,,1.23,,1.26,,,,,,,,,,,,,,,,,,
,7/26/2018,6/29/2018,1.295384146,1.42,,1.2,,1.21,,,,,,,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,1.008040179,1.11,,0.78,,,,,,,,,,,,,,,,,,,,,,
,2/1/2018,12/29/2017,0.693806421,,,0.35,,,,,,,,,,,,,,,,,,,,,,
,10/26/2017,9/29/2017,0.631689881,,,0.58,,,,,,,,,,,,,,,,,,,,,,
,7/27/2017,6/30/2017,0.743742732,,,0.66,,,,,,,,,,,,,,,,,,,,,,
,4/27/2017,3/31/2017,0.52389596,,,0.37,,,,,,,,,,,,,,,,,,,,,,
,2/9/2017,12/30/2016,0.45817127,,,0.36,,,,,,,,,,,,,,,,,,,,,,
,11/2/2016,9/30/2016,0.583935048,,,0.38,,,,,,,,,,,,,,,,,,,,,,
,7/28/2016,6/30/2016,0.532893343,,,0.44,,,,,,,,,,,,,,,,,,,,,,
,4/28/2016,3/31/2016,0.562368195,,,0.44,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.281225089,,,0.51,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.425532797,,,0.54,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.516685692,,,0.64,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.515927393,,,0.62,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.4880415,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.326727812,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.422340707,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.51418148,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.429528774,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.35940022,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.418691676,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.50995834,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.339991164,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.30657776,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.350089512,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.365941224,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.355083487,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.327669488,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.402182943,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.432868653,,,,,,,,,,,,,,,,,,,,,,,,,
