CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Adjusted,,12/31/2026,,3.84,1/3/2026,3.84,11/8/2025,3.73,9/17/2025,3.74,8/13/2025,3.88,6/23/2025,3.9,5/11/2025,
,,9/30/2026,,2.86,,2.84,,2.69,,2.69,,2.97,,2.97,,
,,6/30/2026,,3.73,,3.72,,3.63,,3.63,,3.59,,3.62,,
,,3/30/2026,,3.09,,3.07,,2.96,,2.97,,3.15,,3.12,,
,,12/31/2025,,3.51,12/18/2024,3.5,12/18/2024,3.26,12/18/2024,3.27,12/18/2024,3.52,12/18/2024,3.5,12/18/2024,
,11/4/2025,9/30/2025,0.47,2.76,,2.42,,2.41,,2.66,,2.64,,,,
,8/5/2025,6/30/2025,3.11,3.53,,3.31,,3.32,,3.33,,,,,,
,5/6/2025,3/30/2025,2.71,2.98,,2.75,,2.75,,3.01,,,,,,
,2/4/2025,12/31/2024,5.11,5.45,3/31/2024,3.26,3/31/2024,3.26,3/31/2024,3.15,3/31/2024,,,,,
,11/5/2024,9/30/2024,5.32,2.5,,2.39,,2.39,,2.5,,,,,,
,7/30/2024,6/30/2024,2.93,3.22,,3,,2.98,,2.96,,,,,,
,4/30/2024,3/30/2024,2.67,2.93,,2.54,,2.59,,2.66,,,,,,
,2/6/2024,12/31/2023,2.64,3.04,3/20/2023,2.83,3/20/2023,2.65,3/20/2023,2.57,3/20/2023,,,,,
,11/3/2023,9/30/2023,2.26,2.56,,1.96,,1.96,,1.95,,,,,,
,8/1/2023,6/30/2023,2.48,2.85,,2.51,,2.49,,2.37,,,,,,
,5/2/2023,3/30/2023,3.68,2.88,,2.01,,2.1,,2,,,,,,
,2/7/2023,12/31/2022,3.21,3.7,,2.5,,2.5,,2.44,,,,,,
,11/1/2022,9/30/2022,2.17,2.41,,1.88,,1.87,,1.81,,,,,,
,8/2/2022,6/30/2022,2.53,2.85,,2.13,,2.12,,2.11,,,,,,
,5/3/2022,3/31/2022,2.08,2.33,,1.75,,1.73,,1.67,,,,,,
,2/8/2022,12/31/2021,2.5,2.99,,2.42,,2.42,,2.3,,,,,,
,11/2/2021,9/30/2021,1.76,2.03,,1.56,,1.56,,1.54,,,,,,
,8/3/2021,6/30/2021,3.13,2.24,,1.73,,1.73,,1.47,,,,,,
,5/4/2021,3/31/2021,1.84,2,,1.05,,1.05,,0.89,,,,,,
,2/9/2021,12/31/2020,1.33,1.59,,0.82,,0.82,,0.28,4/27/2020,,,,,
,11/3/2020,9/30/2020,0.19,0.91,,0.52,,0.52,,0.52,,,,,,
,8/4/2020,6/30/2020,0.61,1.2,,0.81,,0.74,,0.64,,,,,,
,5/7/2020,3/31/2020,0.83,1.2,,0.32,,0.47,,0.6,,,,,,
,2/4/2020,12/31/2019,0.75,1.18,,0.85,,1.08,,1.42,,,,,,
,10/31/2019,9/30/2019,0.46,0.7,,0.43,,0.78,,0.87,,,,,,
,7/30/2019,6/28/2019,1.133986928,1.45,,1.18,,1.13,,1.16,,,,,,
,5/7/2019,3/29/2019,0.228506439,0.58,,0.53,,0.7,,0.81,,,,,,
,2/5/2019,12/31/2018,0.916238645,1.2,,1.25,,1.33,,1.6,,,,,,
,11/1/2018,9/28/2018,0.127544819,0.83,,0.62,,0.74,,0.85,,,,,,
,,6/29/2018,0.502083424,0.98,,0.96,,1.04,,1.05,,,,,,
,,3/29/2018,-0.215229932,0.62,,0.58,,0.7,,0.77,,,,,,
,2/6/2018,12/29/2017,1.16445655,,,1.32,,1.35,,1.28,,,,,,
,11/2/2017,9/29/2017,-0.531647246,,,0.52,,0.56,,0.73,,,,,,
,8/8/2017,6/30/2017,-1.033416576,,,0.83,,0.84,,0.83,,,,,,
,5/4/2017,3/31/2017,0.433236221,,,0.6,,0.59,,0.67,,,,,,
,2/2/2017,12/30/2016,0.792063284,,,0.98,,0.99,,1.07,,,,,,
,11/3/2016,9/30/2016,0.363757861,,,0.5,,0.51,,0.48,,,,,,
,,6/30/2016,0.573949399,,,0.68,,0.72,,0.78,,,,,,
,,3/31/2016,0.481249401,,,0.44,,0.48,,0.51,,,,,,
,,12/31/2015,0.783919418,,,0.88,,0.94,,0.93,,,,,,
,,9/30/2015,0.36101435,,,0.42,,0.48,,,,,,,,
,,6/30/2015,0.607029702,,,0.63,,0.66,,,,,,,,
,,3/31/2015,0.323003657,,,0.37,,0.41,,,,,,,,
,,12/31/2014,0.664868025,,,0.8,,,,,,,,,,
,,9/30/2014,0.377290766,,,0.39,,,,,,,,,,
,,6/30/2014,0.584501455,,,0.55,,,,,,,,,,
,,3/31/2014,0.404853609,,,,,0.36,,,,,,,,
,,12/31/2013,0.653758542,,,,,,,,,,,,,
,,9/30/2013,0.404790419,,,,,,,,,,,,,
,,6/28/2013,0.488654032,,,,,,,,,,,,,
,,3/28/2013,0.383882684,,,,,,,,,,,,,
,,12/31/2012,0.61455765,,,,,,,,,,,,,
,,9/28/2012,0.328152618,,,,,,,,,,,,,
,,6/29/2012,0.434737956,,,,,,,,,,,,,
,,3/30/2012,0.355731349,,,,,,,,,,,,,
,,12/30/2011,0.463987963,,,,,,,,,,,,,
,,9/30/2011,0.310037757,,,,,,,,,,,,,
