CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2026,,1.04,7/23/2025,1.04,6/25/2025,0.92,5/12/2025,1.02,4/12/2025,1,3/2/2025,1.11,12/19/2024,1.24,11/9/2024,1.27,9/26/2024,1.06,8/10/2024,1.06,7/4/2024,1.06,5/18/2024,1.02,4/15/2024,1.15,4/14/2024,1.17,,0.92
,,9/30/2026,,0.89,,0.89,,0.84,,0.94,,0.86,,1.09,,1.14,,1.2,,1.17,,1.17,,1.17,,1.02,,0.94,,0.91,,0.89
,,6/28/2026,,0.86,,0.86,,0.84,,0.87,,0.79,,1,,1.04,,1.07,,1.06,,1.06,,1.06,,0.8,,0.78,,0.79,,0.75
,,3/28/2026,,0.8,,0.8,,0.77,,0.82,,0.75,,0.94,,0.99,,1.01,,0.99,,0.99,,0.99,,0.78,,0.74,,0.75,,0.68
,,12/31/2025,,0.84,3/2/2025,0.85,3/2/2025,0.85,3/2/2025,0.95,3/2/2025,1,3/2/2025,1.11,12/19/2024,1.24,11/9/2024,1.27,9/26/2024,1.06,8/10/2024,1.06,7/4/2024,1.06,5/18/2024,1.02,4/15/2024,1.15,4/14/2024,1.17,,0.92
,,9/30/2025,,0.82,,0.82,,0.84,,0.79,,0.86,,1.09,,1.14,,1.2,,1.17,,1.17,,1.17,,1.02,,0.94,,0.91,,0.89
,,6/28/2025,,0.74,,0.76,,0.73,,0.72,,0.79,,1,,1.04,,1.07,,1.06,,1.06,,1.06,,0.8,,0.78,,0.79,,0.75
,5/7/2025,3/28/2025,0.51,0.74,,0.69,,0.75,,0.94,,0.99,,1.01,,0.99,,0.99,,0.99,,0.78,,0.74,,0.75,,0.68,,,,
,2/27/2025,12/31/2024,0.74,0.92,4/15/2024,0.96,4/15/2024,1.01,4/15/2024,0.99,4/15/2024,0.96,4/15/2024,0.96,4/15/2024,0.96,4/15/2024,1.02,4/15/2024,1.15,4/14/2024,1.17,,0.92,,,,,,,,
,11/6/2024,9/30/2024,0.78,0.96,,1.01,,0.97,,1,,0.99,,1.02,,0.94,,0.91,,0.89,,,,,,,,,,,,
,8/7/2024,6/28/2024,0.73,0.94,,0.8,,0.8,,0.8,,0.78,,0.79,,0.75,,,,,,,,,,,,,,,,
,5/10/2024,3/28/2024,0.81,1.04,,0.78,,0.74,,0.75,,0.68,,,,,,,,,,,,,,,,,,,,
,2/29/2024,12/29/2023,0.682216018,0.88,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/8/2023,9/29/2023,0.912445986,1.15,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/8/2023,6/30/2023,0.491506911,0.65,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/9/2023,3/31/2023,0.500288628,0.62,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2023,12/30/2022,0.655503132,0.73,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/7/2022,9/30/2022,0.301204819,0.38,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/10/2022,6/30/2022,0.325023015,0.39,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/10/2022,3/31/2022,0.467496489,0.47,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/8/2021,12/31/2021,0.394749985,0.42,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/9/2021,9/30/2021,0.589893819,0.46,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/2/2021,6/30/2021,0.157410397,0.21,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/15/2021,3/31/2021,0.100973383,0.27,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/6/2020,12/31/2020,-0.132642749,0.16,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2020,0.078237843,0.15,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2020,-0.0042778,0.16,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2020,0.080832366,0.17,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2019,-0.021349274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2019,0.025961058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
