CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,
Y,,12/31/2026,,1.06,1/14/2026,1.07,12/3/2025,1.17,11/2/2025,1.15,9/7/2025,1.51,8/3/2025,1.2,7/18/2025,1.2,6/13/2025,1.21,5/3/2025
,,9/30/2026,,0.62,,0.62,,0.59,,0.58,,0.88,,0.62,,0.62,,0.64,
,,6/30/2026,,0.47,,0.48,,0.55,,0.55,,0.8,,0.51,,0.51,,0.53,
,,3/30/2026,,0.45,,0.45,,0.52,,0.49,,0.77,,0.54,,0.54,,0.58,
,,12/31/2025,,0.85,1/24/2025,0.86,1/24/2025,0.93,1/24/2025,0.98,1/24/2025,0.99,1/24/2025,1.02,1/24/2025,1.02,1/24/2025,1.05,1/24/2025
,10/29/2025,9/30/2025,0.63,0.63,,0.52,,0.53,,0.54,,0.54,,0.56,,,,,
,7/30/2025,6/30/2025,0.25,0.25,,0.48,,0.48,,0.5,,,,,,,,,
,4/30/2025,3/30/2025,-0.49,-0.49,,0.47,,0.55,,0.48,,,,,,,,,
,2/19/2025,12/31/2024,1.03,1.03,4/7/2024,0.94,4/7/2024,0.97,4/7/2024,0.94,4/7/2024,,,,,,,,
,10/30/2024,9/30/2024,0.45,0.45,,0.56,,0.55,,0.61,,,,,,,,,
,7/31/2024,6/30/2024,0.41,0.41,,0.45,,0.47,,0.52,,,,,,,,,
,5/1/2024,3/30/2024,0.48,0.48,,0.5,,0.5,,0.56,,,,,,,,,
,2/21/2024,12/31/2023,0.62,0.62,4/2/2023,0.77,4/2/2023,0.78,4/2/2023,0.8,4/2/2023,,,,,,,,
,11/1/2023,9/30/2023,0.64,0.64,,0.51,,0.53,,0.56,,,,,,,,,
,8/2/2023,6/30/2023,0.45,0.45,,0.43,,0.45,,0.51,,,,,,,,,
,5/3/2023,3/30/2023,0.53,0.53,,0.53,,0.54,,0.56,,,,,,,,,
,2/22/2023,12/31/2022,0.77,0.77,,0.82,,0.82,,0.76,,,,,,,,,
,11/2/2022,9/30/2022,-7.62,-7.62,,0.37,,0.37,,0.36,,,,,,,,,
,7/27/2022,6/30/2022,0.51,0.51,,0.35,,0.42,,0.46,,,,,,,,,
,5/4/2022,3/31/2022,0.6,0.6,,0.6,,0.68,,0.85,,,,,,,,,
,2/24/2022,12/31/2021,1.11,1.11,,0.77,,0.76,,0.76,,,,,,,,,
,11/3/2021,9/30/2021,0.62,0.62,,0.54,,0.54,,0.54,,,,,,,,,
,8/4/2021,6/30/2021,0.68,0.68,,0.63,,0.62,,0.62,,,,,,,,,
,5/5/2021,3/31/2021,1,1,,0.88,,0.42,,0.41,,,,,,,,,
,2/25/2021,12/31/2020,1.08,1.08,,0.57,,0.57,,,,,,,,,,,
,10/28/2020,9/30/2020,0.7,0.7,,0.7,,,,,,,,,,,,,
,8/5/2020,6/30/2020,0.75,0.75,,0.75,,,,,,,,,,,,,
,5/6/2020,3/31/2020,0.1,0.1,,0.1,,,,,,,,,,,,,
,2/26/2020,12/31/2019,0.25,0.25,,0.25,,,,,,,,,,,,,
,10/30/2019,9/30/2019,0.12,0.12,,0.12,,,,,,,,,,,,,
,8/1/2019,6/28/2019,0.14,0.14,,0.14,,,,,,,,,,,,,
,5/8/2019,3/29/2019,0.24,0.24,,0.24,,,,,,,,,,,,,
,2/25/2019,12/31/2018,0.32,0.32,,0.32,,,,,,,,,,,,,
,11/6/2018,9/28/2018,0.15,0.15,,0.15,,,,,,,,,,,,,
,8/6/2018,6/29/2018,0.03,0.03,,0.03,,,,,,,,,,,,,
,5/8/2018,3/29/2018,0.1,0.1,,0.1,,,,,,,,,,,,,
,2/27/2018,12/29/2017,0.36,,,0.36,,,,,,,,,,,,,
,11/6/2017,9/29/2017,0.21,,,0.21,,,,,,,,,,,,,
,8/3/2017,6/30/2017,0.1,,,0.1,,,,,,,,,,,,,
,,3/31/2017,0.01,,,0.01,,,,,,,,,,,,,
,,12/30/2016,-0.19,,,-0.19,,,,,,,,,,,,,
,,9/30/2016,-0.02,,,-0.02,,,,,,,,,,,,,
,,6/30/2016,-0.06,,,-0.06,,,,,,,,,,,,,
,,3/31/2016,0.01,,,0.01,,,,,,,,,,,,,
,,12/31/2015,-0.04,,,-0.04,,,,,,,,,,,,,
,,9/30/2015,-0.06,,,-0.06,,,,,,,,,,,,,
,,6/30/2015,-0.07,,,-0.07,,,,,,,,,,,,,
,,3/31/2015,-0.84,,,-0.84,,,,,,,,,,,,,
,,12/30/2014,-0.12,,,-0.12,,,,,,,,,,,,,
,,9/30/2014,-0.15,,,-0.15,,,,,,,,,,,,,
,,6/30/2014,-0.08,,,-0.08,,,,,,,,,,,,,
,,3/31/2014,-0.01,,,-0.01,,,,,,,,,,,,,
,,12/31/2013,0.01,,,0.01,,,,,,,,,,,,,
,,9/30/2013,0.01,,,0.01,,,,,,,,,,,,,
,,6/28/2013,-0.02,,,-0.02,,,,,,,,,,,,,
,,3/28/2013,-0.02,,,-0.02,,,,,,,,,,,,,
,,12/28/2012,-0.03,,,-0.03,,,,,,,,,,,,,
,,9/28/2012,-0.03,,,-0.03,,,,,,,,,,,,,
,,6/29/2012,-0.02,,,-0.02,,,,,,,,,,,,,
,,3/30/2012,-0.02,,,-0.02,,,,,,,,,,,,,
