CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,
Non-GAAP Metrics,,1/31/2026,,0.39,10/10/2024,0.39,10/9/2024,,,,,,,,,,,,,,,
,,10/31/2025,,0.6,,0.6,,,,,,,,,,,,,,,,
,,7/31/2025,,0.56,,0.56,,,,,,,,,,,,,,,,
,,4/30/2025,,0.41,,0.41,,,,,,,,,,,,,,,,
,,1/31/2025,,0.35,,0.35,,0.21,,,,,,,,,,,,,,
,,10/31/2024,,0.57,,0.57,,0.52,,0.25,,0.4,,,,,,,,,,
,8/29/2024,7/31/2024,0.54,0.54,,0.54,,0.35,,0.36,,0.19,,,,,,,,,,
,5/30/2024,4/29/2024,0.41,0.41,,0.41,,0.1,,,,,,,,,,,,,,
,3/7/2024,2/2/2024,0.485564304,0.49,,0.49,,0.22,,0.15,,0.16,,0.47,,0.5475,,,,,,
,11/16/2023,10/27/2023,0.581333333,0.59,,0.59,,0.16,,0.33,,0.39,,0.5475,,,,,,,,
,8/24/2023,7/31/2023,0.315363881,0.34,,0.34,,0.35,,0.5475,,,,,,,,,,,,
,5/25/2023,4/28/2023,-0.049046322,0.01,,0.01,,-0.05,,0.5475,,,,,,,,,,,,
,3/9/2023,1/31/2023,-0.745901639,-0.75,,-0.75,,0.39,,0.58,,0.61,,0.53,,,,,,,,
,11/17/2022,10/31/2022,0.770491803,0.71,,0.71,,0.27,,0.59,,0.56,,,,,,,,,,
,8/25/2022,7/29/2022,-0.133514986,0.08,,0.08,,0.18,,0.58,,0.8,,0.53,,,,,,,,
,5/26/2022,4/29/2022,-0.437837838,-0.44,,-0.44,,0.07,,0.54,,0.6,,,,,,,,,,
,3/3/2022,1/31/2022,-0.042895442,-0.02,,-0.02,,0.5,,0.43,,0.47,,0.49,,,,,,,,
,11/23/2021,10/29/2021,-0.404255319,0.27,,0.27,,0.52,,0.43,,0.51,,0.48,,0.45,,,,,,
,8/26/2021,7/30/2021,0.668393782,0.7,,0.7,,0.42,,0.48,,0.58,,0.36,,,,,,,,
,5/27/2021,4/30/2021,0.431168831,0.48,,0.48,,-0.16,,-0.3,,-0.23,,,,,,,,,,
,3/4/2021,1/29/2021,0.612565445,0.612565445,,0.612565445,,0.19,,0.31,,0.36,,0.33,,0.35,,0.71,,0.75,,0.774291498
,,10/30/2020,0.25,0.25,,0.25,,0.27,,0.22,,0.37,,0.53,,0.64,,0.74,,0.743319838,,
,,7/31/2020,-0.165775401,-0.165775401,,-0.165775401,,-0.42,,0.2,,0.6,,0.56,,0.66,,0.691700405,,,,
,,5/1/2020,-2.505376344,-2.505376344,,-2.505376344,,-0.31,,0.19,,0.24,,0.35,,0.340688259,,,,,,
,,1/31/2020,-0.493297587,-0.493297587,,-0.493297587,,0.35,,0.69,,0.7,,0.75,,0.74,,0.75,,0.76,,0.75
,,11/1/2019,0.372340426,0.372340426,,0.372340426,,0.61,,0.62,,0.72,,0.71,,0.72,,0.73,,0.77,,
,,8/2/2019,0.443271768,0.53,,0.53,,0.67,,0.76,,0.78,,,,,,,,,,
,,5/3/2019,0.595800525,0.32,,0.32,,0.33,,0.4,,0.41,,0.42,,0.49,,,,,,
,,2/1/2019,0.720626632,0.68,,0.68,,0.7,,0.71,,0.72,,,,,,,,,,
,,11/2/2018,0.687338501,0.68,,0.68,,0.69,,0.73,,0.59,,,,,,,,,,
,,8/3/2018,0.761538462,0.72,,0.72,,0.73,,0.61,,,,,,,,,,,,
,,5/4/2018,0.417302799,0.46,,0.46,,0.38,,,,,,,,,,,,,,
,,2/2/2018,0.521628499,0.58,,0.58,,0.57,,0.54,,,,,,,,,,,,
,,10/27/2017,0.582697201,0.54,,0.54,,0.55,,0.6,,,,,,,,,,,,
,,7/31/2017,0.684343434,0.52,,0.52,,0.56,,0.63,,,,,,,,,,,,
,,4/28/2017,0.3575,0.29,,0.29,,0.35,,,,,,,,,,,,,,
,,1/27/2017,0.548628429,0.51,,0.51,,0.45,,,,,,,,,,,,,,
,,10/28/2016,0.51,0.6,,0.6,,,,,,,,,,,,,,,,
,,7/29/2016,0.313283208,0.59,,0.59,,,,,,,,,,,,,,,,
,,4/29/2016,0.318295739,0.32,,0.32,,,,,,,,,,,,,,,,
,,1/29/2016,0.532338308,0.57,,0.57,,,,,,,,,,,,,,,,
,,10/30/2015,0.607843137,0.63,,0.63,,,,,,,,,,,,,,,,
,,7/31/2015,0.523923445,0.64,,0.64,,,,,,,,,,,,,,,,
,,5/1/2015,0.563679245,0.56,,0.56,,,,,,,,,,,,,,,,
