Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,
12/31/2020,0.57,3/17/2020,0.91,3/8/2020,0.91,,1.07,,1.27,,1.62,,1.69,,1.977655311,,1.932114286,,,,,,,,,,
9/30/2020,0.35,,0.67,,0.67,,0.93,,1.18,,1.38,,1.51,,1.706212425,,1.687542857,,,,,,,,,,
6/30/2020,0.26,,0.51,,0.51,,0.9,,1.08,,1.37,,1.49,,1.447695391,,1.442971429,,,,,,,,,,
3/31/2020,0.14,,0.28,,0.28,,0.88,,1.04,,1.34,,1.49,,1.124549098,,1.222857143,,,,,,,,,,
12/31/2019,0.12,,0.02,,0.67,,0.97,,1.23,,1.38,,1.53,,1.58,,1.94,,2.02,,2.15,,1.63,,1.52,,
9/30/2019,-0.21,,-0.05,,0.24,,0.58,,0.92,,1.13,,1.32,,1.33,,1.38,,1.7,,1.82,,1.95,,1.48,,1.44
6/28/2019,0.51,,0.55,,0.54,,0.66,,0.76,,1.12,,1.13,,1.18,,1.5,,1.63,,1.82,,1.89,,1.49,,1.45
3/29/2019,0.497676883,,0.87,,0.9,,1,,1.38,,1.69,,2.02,,2.15,,1.62,,1.53,,,,,,,,
12/31/2018,1.678016283,,1.86,,1.88,,2,,2.15,,2.16,,1.49,,1.35,,0.99,,,,,,,,,,
9/28/2018,1.613995746,,1.93,,1.59,,1.3,,0.75,,,,,,,,,,,,,,,,,,
6/29/2018,1.362482143,,1.75,,1.66,,0.7,,,,,,,,,,,,,,,,,,,,
3/29/2018,2.008130952,,2.17,,0.78,,,,,,,,,,,,,,,,,,,,,,
12/29/2017,0.809988095,,1.28,,1.03,,0.83,,0.43,,,,,,,,,,,,,,,,,,
9/29/2017,0.377313051,,0.56,,0.91,,0.33,,,,,,,,,,,,,,,,,,,,
6/30/2017,0.955580139,,1.08,,1.25,,0.37,,,,,,,,,,,,,,,,,,,,
3/31/2017,1.464219031,,1.57,,1.41,,0.49,,,,,,,,,,,,,,,,,,,,
12/30/2016,0.321405123,,0.2,,0.16,,0.44,,0.94,,1.33,,,,,,,,,,,,,,,,
9/30/2016,-0.123741017,,-0.16,,0.27,,0.8,,1.2,,,,,,,,,,,,,,,,,,
6/30/2016,-0.077016496,,-0.25,,0.08,,0.73,,1.18,,,,,,,,,,,,,,,,,,
3/31/2016,-0.26031577,,-0.19,,-0.15,,0.55,,1.02,,,,,,,,,,,,,,,,,,
12/31/2015,0.103615971,,0.18,,0.24,,0.81,,1.12,,1.16,,1.35,,1.42,,1.56,,1.65,,1.57,,,,,,
9/30/2015,0.535888196,,0.37,,0.52,,0.86,,1.06,,1.23,,1.31,,1.44,,1.55,,1.52,,,,,,,,
6/30/2015,1.145119413,,0.72,,0.75,,1.03,,1.18,,1.28,,1.38,,1.48,,1.47,,,,,,,,,,
3/31/2015,0.093911513,,0.4,,0.48,,0.91,,1.1,,1.22,,1.36,,1.48,,1.49,,1.16,,,,,,,,
12/31/2014,1.411310657,,0.94,,0.97,,0.98,,0.97,,1.07,,1.18,,1.33,,1.35,,1.31,,1.35,,1.33,,1.2,,0.67
9/30/2014,0.547368421,,0.65,,0.66,,0.68,,0.85,,1.12,,1.29,,1.23,,1.22,,1.13,,1.02,,,,,,
6/30/2014,1.282174795,,1.04,,1.06,,1.14,,1.44,,1.34,,1.29,,1.32,,1.2,,1.84,,,,,,,,
3/31/2014,1.494845361,,1.87,,1.56,,1.49,,1.4,,1.23,,1.51,,,,,,,,,,,,,,
12/31/2013,1.319587629,,1.59,,1.51,,1.4,,1.1,,0.99,,,,,,,,,,,,,,,,
9/30/2013,0.896907216,,1,,0.98,,0.95,,,,,,,,,,,,,,,,,,,,
6/28/2013,0.5625,,0.97,,0.68,,,,,,,,,,,,,,,,,,,,,,
3/28/2013,0.625,,0.73,,0.58,,,,,,,,,,,,,,,,,,,,,,
12/31/2012,-1.489361702,,0.55,,0.3,,,,,,,,,,,,,,,,,,,,,,
