CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,,,,,,,,
Adjusted,,6/30/2021,-0.42,5/1/2021,-0.42,4/3/2021,-0.41,3/1/2021,-0.04,1/31/2021,0.01,10/22/2020,0.01,9/25/2020,0.01,8/30/2020,0.48,7/30/2020,0.63,6/18/2020,0.63,5/10/2020,1.01,4/6/2020,1.01,3/3/2020,1.3,2/2/2020,1.3,1/24/2020,1.31,1/10/2020,1.459756098,8/29/2019,1.459756098
,4/29/2021,3/31/2021,-0.84,,-0.57,,-0.57,,-0.32,,-0.21,,-0.21,,-0.21,,0.29,,0.59,,0.59,,0.97,,0.97,,1.16,,1.16,,1.16,,1.357317073,,1.357317073
,1/29/2021,12/31/2020,-1.76,,-0.46,,-0.46,,-0.46,,-0.16,,0.31,,0.31,,0.88,,0.88,,1.1,,1.1,,1.07,,1.11402439,,1.11402439,,,,,,
,10/22/2020,9/30/2020,-0.98,,-0.58,,-0.58,,-0.23,,0.22,,0.22,,0.83,,0.83,,1.01,,1.01,,1.01,,1.139634146,,1.139634146,,,,,,,,
,7/30/2020,6/30/2020,-2.46,,0.18,,0.18,,0.78,,0.82,,0.94,,1.11,,1.12,,1.14,,1.14,,1.18,,1.16,,1.18,,1.22,,1.23,,1.19,1.27,1.1925
,4/30/2020,3/31/2020,0.82,,0.81,,0.81,,0.9,,1.04,,1.05,,1.06,,1.06,,1.11,,1.13,,1.14,,1.13,,1.11,,1.2,1.1925,,,,,
,1/30/2020,12/31/2019,0.79,,0.87,,0.88,,0.87,,0.87,,0.89,,0.92,,0.94,,0.93,,0.94,,0.91,0.98,1.02,1.1925,,,,,,,,,
,10/24/2019,9/30/2019,0.85,,0.89,,0.89,,0.84,,0.87,,0.83,,0.88,,0.86,,0.91,0.89,1.1925,,,,,,,,,,,,,,
,8/1/2019,6/28/2019,1.016632017,,0.94,,0.95,,1.03,,1.02,,1,,1.09,,1.07,1.04,1.05,1.06,,,,,,,,,,,,,,,
,4/25/2019,3/29/2019,1.04989605,,0.83,,0.84,,0.83,,0.86,,0.88,,0.97,,0.95,0.93,0.92,0.93,,,,,,,,,,,,,,,
,1/31/2019,12/31/2018,0.739583333,,0.66,,0.67,,0.84,,0.8,,0.84,,0.85,,,,,,,,,,,,,,,,,,,,
,10/24/2018,9/28/2018,0.653526971,,0.74,,0.73,,0.77,,0.76,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2018,6/29/2018,0.891666667,,0.74,,0.76,,0.74,,0.56,,,,,,,,,,,,,,,,,,,,,,,,
,4/26/2018,3/29/2018,0.63312369,,0.58,,0.59,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/1/2018,12/29/2017,1.93487395,,0.52,,0.41,,0.44,,0.46,,,,,,,,,,,,,,,,,,,,,,,,
,10/26/2017,9/29/2017,0.494714588,,0.41,,0.39,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/27/2017,6/30/2017,0.541401274,,0.5,,0.42,,0.41,,0.39,,0.41,,0.54,,,,,,,,,,,,,,,,,,,,
,4/27/2017,3/31/2017,0.439490446,,0.33,,0.32,,0.31,,0.3,,0.48,,0.54,,,,,,,,,,,,,,,,,,,,
,2/2/2017,12/30/2016,0.149253731,,0.06,,0.3,,0.42,,0.39,,0.6,,0.68,,,,,,,,,,,,,,,,,,,,
,10/27/2016,9/30/2016,-0.132196162,,0.24,,0.26,,0.41,,0.28,,0.54,,0.62,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.317021277,,0.34,,0.4,,0.57,,0.67,,0.71,,0.3,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,-0.507430998,,0.3,,0.31,,0.48,,0.57,,0.62,,0.25,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.235173824,,0.25,,0.26,,0.4,,0.42,,0.64,,0.76,,,,,,,,,,,,,,,,,,,,
