CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2024,,4.71,2/4/2024,4.4,12/28/2023,4.42,11/3/2023,4.5,9/24/2023,4.55,8/5/2023,4.35,6/16/2023,4.18,5/5/2023,,3/19/2023,4.07,2/11/2023,4.08,1/18/2023,4.08,12/11/2022,4.31,11/4/2022,4.72,10/20/2022,4.8,9/16/2022,4.8,8/13/2022,4.74,7/15/2022,4.74,6/15/2022,4.74,5/12/2022,4.74,4/20/2022,,3/18/2022,4.28,2/11/2022,4.5,1/19/2022,4.16,12/12/2021,4.22,11/6/2021,4.22,10/16/2021,4.2,9/13/2021,4.32,8/8/2021,4.32,7/10/2021,4.39,6/9/2021,4.39,5/10/2021,4.39,4/12/2021,3.81,3/13/2021,3.23,2/11/2021,3.3,1/9/2021,3.29,12/9/2020,3.31,11/8/2020,3.32,10/12/2020,0.32,9/13/2020,3.84,8/6/2020,3.84,8/5/2020
,,9/30/2024,,4.15,,4.19,,4.09,,4.03,,4.08,,4.08,,4.15,,,,3.58,,3.75,,3.75,,4.06,,4.49,,4.51,,4.51,,4.61,,4.61,,4.61,,4.61,,,,3.76,,3.62,,3.62,,3.63,,3.63,,3.59,,3.49,,3.49,,3.46,,3.46,,3.46,,3.1,,2.73,,2.82,,2.83,,2.99,,3.03,,3.03,,3.44,,3.44,
,,6/30/2024,,3.93,,3.94,,3.9,,3.83,,3.86,,3.8,,4.01,,,,3.54,,3.8,,3.8,,3.95,,4.33,,4.31,,4.31,,4.4,,4.4,,4.4,,4.4,,,,3.56,,3.43,,3.46,,3.42,,3.42,,3.45,,3.5,,3.5,,3.52,,3.52,,3.52,,2.76,,2.38,,2.52,,2.5,,2.71,,2.72,,2.74,,3.25,,3.25,
,,3/30/2024,,3.76,,3.7,,3.51,,3.58,,3.62,,3.83,,3.98,,,,2.89,,3.42,,3.41,,3.65,,4.07,,4.03,,4.03,,4.28,,4.35,,4.35,,4.35,,,,3.19,,3.28,,3.29,,3.51,,3.51,,3.48,,3.46,,3.52,,3.54,,3.54,,3.54,,2.63,,2.44,,2.57,,2.54,,2.83,,2.86,,2.86,,3.27,,3.27,
,2/1/2024,12/31/2023,6.9,6.9,3/19/2023,4.37,3/19/2023,4.41,3/19/2023,4.46,3/19/2023,4.34,3/19/2023,4.21,3/19/2023,4.13,3/19/2023,4.07,3/19/2023,4.07,2/11/2023,4.08,1/18/2023,4.08,12/11/2022,4.31,11/4/2022,4.72,10/20/2022,4.8,9/16/2022,4.8,8/13/2022,4.74,7/15/2022,4.74,6/15/2022,4.74,5/12/2022,4.74,4/20/2022,,3/18/2022,4.28,2/11/2022,4.5,1/19/2022,4.16,12/12/2021,4.22,11/6/2021,4.22,10/16/2021,4.2,9/13/2021,4.32,8/8/2021,4.32,7/10/2021,4.39,6/9/2021,4.39,5/10/2021,4.39,4/12/2021,3.81,3/13/2021,3.23,2/11/2021,3.3,1/9/2021,3.29,12/9/2020,3.31,11/8/2020,3.32,10/12/2020,0.32,9/13/2020,3.84,8/6/2020,3.84,8/5/2020
,11/2/2023,9/30/2023,3.7,3.7,,3.4,,3.62,,3.75,,3.74,,3.68,,3.58,,3.75,,3.75,,4.06,,4.49,,4.51,,4.51,,4.61,,4.61,,4.61,,4.61,,,,3.76,,3.62,,3.62,,3.63,,3.63,,3.59,,3.49,,3.49,,3.46,,3.46,,3.46,,3.1,,2.73,,2.82,,2.83,,2.99,,3.03,,3.03,,3.44,,3.44,,,,,
,8/3/2023,6/30/2023,3.27,3.27,,3.11,,3.35,,3.53,,3.54,,3.8,,3.8,,3.95,,4.33,,4.31,,4.31,,4.4,,4.4,,4.4,,4.4,,,,3.56,,3.43,,3.46,,3.42,,3.42,,3.45,,3.5,,3.5,,3.52,,3.52,,3.52,,2.76,,2.38,,2.52,,2.5,,2.71,,2.72,,2.74,,3.25,,3.25,,,,,,,,,
,5/4/2023,3/30/2023,3.23,3.23,,2.89,,2.89,,3.42,,3.41,,3.65,,4.07,,4.03,,4.03,,4.28,,4.35,,4.35,,4.35,,,,3.19,,3.28,,3.29,,3.51,,3.51,,3.48,,3.46,,3.52,,3.54,,3.54,,3.54,,2.63,,2.44,,2.57,,2.54,,2.83,,2.86,,2.86,,3.27,,3.27,,,,,,,,,,,,,
,2/9/2023,12/31/2022,3.07,3.07,,3.33,,3.31,,3.57,,3.8,,3.83,,3.86,,4.38,,4.5,,4.5,,4.69,,4.57,,4.28,2/11/2022,4.5,1/19/2022,4.16,12/12/2021,4.22,11/6/2021,4.22,10/16/2021,4.2,9/13/2021,4.32,8/8/2021,4.32,7/10/2021,4.39,6/9/2021,4.39,5/10/2021,4.39,4/12/2021,3.81,3/13/2021,3.23,2/11/2021,3.3,1/9/2021,3.29,12/9/2020,3.31,11/8/2020,3.32,10/12/2020,0.32,9/13/2020,3.84,8/6/2020,3.84,8/5/2020,,,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,3.44,3.44,,3.42,,3.47,,3.51,,3.9,,3.9,,3.95,,4.09,,4.03,,3.76,,3.62,,3.62,,3.63,,3.63,,3.59,,3.49,,3.49,,3.46,,3.46,,3.46,,3.1,,2.73,,2.82,,2.83,,2.99,,3.03,,3.03,,3.44,,3.44,,,,,,,,,,,,,,,,,,,,,,,
