CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted Net,,12/31/2022,,1,11/5/2021,0.98,10/7/2021,0.98,9/1/2021,0.98,7/31/2021,1,7/10/2021,1,6/9/2021,0.99,5/10/2021,0.99,3/27/2021,1.06,2/28/2021,1.05,2/21/2021,1,1/9/2021,0.94,12/9/2020,0.94,11/8/2020,0.94,11/1/2020,0.85,10/3/2020,0.85,9/30/2020
,,9/30/2022,,0.98,,0.95,,0.94,,0.95,,0.97,,0.97,,0.96,,0.96,,1.02,,1.02,,1.01,,0.96,,0.96,,0.96,,0.86,,0.86,
,,6/30/2022,,0.96,,0.91,,0.9,,0.91,,0.93,,0.93,,0.92,,0.92,,0.85,,0.85,,0.9,,0.95,,0.94,,0.94,,0.85,,0.85,
,,3/31/2022,,0.95,,0.89,,0.89,,0.89,,0.91,,0.91,,0.9,,0.9,,0.76,,0.76,,0.91,,1.03,,1.03,,1.03,,0.9,,0.9,
,,12/31/2021,,0.91,,0.93,,0.94,,0.95,,0.99,,1.02,,1.02,,1.02,3/27/2021,1.06,2/28/2021,1.05,2/21/2021,1,1/9/2021,0.94,12/9/2020,0.94,11/8/2020,0.94,11/1/2020,0.85,10/3/2020,0.85,9/30/2020
,11/4/2021,9/30/2021,0.96,0.9,,0.9,,0.9,,0.92,,0.92,,0.95,,0.95,,1.01,,1.02,,1.02,,1.01,,0.96,,0.96,,0.96,,0.86,,0.86,
,7/28/2021,6/30/2021,0.91,0.92,,0.76,,0.78,,0.78,,0.82,,0.85,,0.85,,0.9,,0.95,,0.94,,0.94,,0.85,,0.85,,,,,,,
,5/6/2021,3/31/2021,0.59,0.63,,0.69,,0.76,,0.76,,0.91,,1.03,,1.03,,1.03,,0.9,,0.9,,,,,,,,,,,,,
,2/25/2021,12/31/2020,0.85,0.98,,1.01,,0.97,,1.01,,1.02,,1.02,,0.98,,0.98,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.73,0.91,,0.9,,0.91,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,
,7/30/2020,6/30/2020,0.541835428,0.79,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2020,3/31/2020,0.77,0.7,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/20/2020,12/31/2019,0.8,0.88,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/6/2019,9/30/2019,0.834640087,0.84,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/29/2019,6/28/2019,0.492266044,0.5,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/7/2019,3/29/2019,0.519637491,0.53,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/21/2019,12/31/2018,-0.809780692,0.52,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,0.262738479,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,0.288669377,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,0.253520795,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,0.634747014,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,0.204628206,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.163645831,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.063263822,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.062494114,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.160761574,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.062494114,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.062494114,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.026473251,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.026473251,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.026473251,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2015,0.057245937,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/30/2015,0.057245937,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2014,0.057245937,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
