CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,
Non-GAAP,,9/30/2027,,0.69,1/10/2026,0.67,11/23/2025,0.48,10/27/2025,0.48,9/19/2025,0.48,8/16/2025,0.49,7/23/2025,0.49,6/23/2025
,,6/30/2027,,0.61,,0.56,,0.38,,0.38,,0.38,,0.44,,0.44,
,,3/30/2027,,0.47,,0.41,,0.26,,0.26,,0.26,,0.26,,0.26,
,,12/30/2026,,0.41,,0.42,,0.23,,0.23,,0.23,,0.18,,0.18,
,,9/30/2026,,0.43,10/27/2025,0.47,10/27/2025,0.48,10/27/2025,0.48,9/19/2025,0.48,8/16/2025,0.49,7/23/2025,0.49,6/23/2025
,,6/30/2026,,0.39,,0.39,,0.38,,0.38,,0.38,,0.44,,0.44,
,,3/30/2026,,0.35,,0.33,,0.26,,0.26,,0.26,,0.26,,0.26,
,,12/30/2025,,0.33,,0.31,,0.23,,0.23,,0.23,,0.18,,0.18,
,11/19/2025,9/30/2025,0.12,0.28,11/15/2024,0.22,11/15/2024,0.22,11/15/2024,0.22,11/15/2024,0.17,11/15/2024,0.17,11/15/2024,,
,8/6/2025,6/30/2025,-0.06,0.07,,0.05,,0.05,,0.35,,,,,,,
,5/6/2025,3/30/2025,-1.59,-0.52,,0.19,,0.21,,0.3,,,,,,,
,2/4/2025,12/30/2024,1.51,0.37,,0.28,,0.32,,0.33,,,,,,,
,11/13/2024,9/30/2024,0.22,0.34,1/2/2024,0.35,1/2/2024,0.4,1/2/2024,0.5,1/2/2024,,,,,,
,8/7/2024,6/30/2024,0.22,0.35,,0.3,,0.43,,0.49,,,,,,,
,5/1/2024,3/30/2024,-1.83,-0.95,,0.24,,0.27,,0.39,,,,,,,
,1/31/2024,12/30/2023,0.16,0.3,,0.26,,0.26,,0.38,,,,,,,
,11/15/2023,9/30/2023,0.41,0.51,,0.43,,0.43,,0.44,,,,,,,
,8/8/2023,6/30/2023,0.07,0.55,,0.32,,0.43,,0.45,,,,,,,
,5/3/2023,3/30/2023,0.26,0.38,,0.26,,0.26,,0.26,,,,,,,
,2/1/2023,12/30/2022,0.25,0.37,,0.24,,0.24,,0.83,,,,,,,
,11/16/2022,9/30/2022,1.1,1.19,,1,,1,,1,,,,,,,
,8/3/2022,6/30/2022,1.99,2.09,,1.6,,1.6,,1.46,,,,,,,
,5/4/2022,3/31/2022,1.86,1.95,,1.47,,1.46,,1.32,,,,,,,
,2/2/2022,12/31/2021,2.11,2.19,,1.9,,1.9,,1.82,,,,,,,
,11/17/2021,9/30/2021,2.1,2.17,,2.03,,2.03,,1.67,,,,,,,
,8/4/2021,6/30/2021,1.79,1.87,,1.36,,1.36,,1.36,,,,,,,
,5/6/2021,3/31/2021,1.13,1.26,,0.91,,0.91,,0.91,,,,,,,
,2/3/2021,12/31/2020,0.77,0.86,,0.54,,0.25,,0.21,,,,,,,
,11/18/2020,9/30/2020,0.25,0.29,,0.24,,0.24,,0.19,,,,,,,
,7/29/2020,6/30/2020,0.178250282,0.21,,0.14,,0.36,,0.4,,,,,,,
,4/29/2020,3/31/2020,0.185303415,0.22,,0.18,,0.22,,0.27,,,,,,,
,1/29/2020,12/31/2019,0.210480363,0.24,,0.14,,0.16,,0.32,,,,,,,
,11/14/2019,9/30/2019,0.099609345,0.14,,0.11,,0.12,,0.23,,,,,,,
,8/1/2019,6/28/2019,0.019868258,0.06,,0.06,,0.07,,0.37,,,,,,,
,,3/29/2019,-0.053920825,0.01,,0.01,,0.08,,0.12,,,,,,,
,1/31/2019,12/31/2018,0.110786871,0.25,,0.2,,0.19,,0.36,,,,,,,
,11/19/2018,9/28/2018,0.4315253,0.45,,0.31,,0.46,,0.41,,,,,,,
,8/1/2018,6/29/2018,0.857102216,0.89,,0.61,,0.64,,0.59,,,,,,,
,5/31/2018,3/29/2018,0.50840742,0.54,,0.5,,0.4,,,,,,,,,
,1/31/2018,12/29/2017,-0.982430537,0.54,,0.26,,0.15,,,,,,,,,
,11/14/2017,9/29/2017,0.507499549,,,0.35,,0.17,,0.21,,,,,,,
,8/2/2017,6/30/2017,0.425078984,,,0.47,,0.44,,0.4,,,,,,,
,5/3/2017,3/31/2017,0.401840321,,,0.32,,0.29,,0.18,,,,,,,
,2/2/2017,12/30/2016,0.217145326,,,0.1,,0.07,,0.05,,,,,,,
,,9/30/2016,0.145444049,,,0.11,,0.32,,0.15,,,,,,,
,,7/1/2016,0.448668182,,,0.37,,0.19,,0.21,,,,,,,
,,3/31/2016,0.072047456,,,0.04,,0.02,,0.06,,,,,,,
,,12/31/2015,-0.001286437,,,-0.13,,-0.09,,0.11,,,,,,,
,,10/2/2015,0.13483254,,,0.17,,0.44,,0.41,,,,,,,
,,6/30/2015,0.329933721,,,0.17,,0.35,,0.32,,,,,,,
,,3/31/2015,0.102243135,,,0.12,,0.11,,0.07,,,,,,,
,,12/26/2014,0.101275958,,,0,,-0.01,,0.07,,,,,,,
,,9/26/2014,0.37547642,,,0.42,,0.43,,0.42,,,,,,,
