Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,12/31/2020,1.66,2/2/2020,1.65,1/11/2020,1.7,9/15/2019,1.67,,1.67,,1.64,,1.670587302,,,
,9/30/2020,2.11,,2.09,,2.15,,2.18,,2.18,,2.15,,2.14631746,,,
,6/30/2020,2.19,,2.18,,2.24,,2.32,,2.32,,2.3,,2.268015873,,,
,3/31/2020,0.93,,1,,1.05,,1.01,,1.01,,0.98,,0.885079365,,,
2/17/2020,12/31/2019,1.12,,1.42,,1.5,,1.5,,1.5,,1.48,,1.51,1.5,1.48,1.41
10/28/2019,9/30/2019,1.88,,1.92,,1.95,,1.95,,1.94,,1.93,1.94,1.92,1.82,,
,6/28/2019,1.862392813,,2.05,,2.06,,1.92,,,,,,,,,
,3/29/2019,0.815252855,,0.8,,0.86,,0.83,,,,,,,,,
,12/31/2018,1.025433993,,1.29,,1.26,,1.2,,,,,,,,,
,9/28/2018,2.064529058,,1.71,,1.65,,1.57,,,,,,,,,
,6/29/2018,1.791683327,,1.73,,1.72,,1.63,,,,,,,,,
,3/29/2018,0.475889328,,0.62,,0.69,,,,,,,,,,,
,12/29/2017,1.811343048,,1.03,,1.08,,1.07,,1.04,1.09,,,,,,
,9/29/2017,1.429684457,,1.43,,1.44,,1.43,,1.44,1.4,,,,,,
,6/30/2017,1.380824028,,1.46,,1.44,,1.45,,1.43,,,,,,,
,3/31/2017,0.445925362,,0.53,,0.54,,0.56,,,,,,,,,
,12/30/2016,0.757044935,,0.92,,1,,1.01,,1.05,1.06,1.14,,,,,
,9/30/2016,1.441558442,,1.29,,1.3,,1.32,,1.33,1.32,,,,,,
,6/30/2016,2.857798165,,1.3,,1.23,,1.26,,1.27,1.3,,,,,,
,3/31/2016,0.583237658,,0.37,,0.41,,0.43,,,,,,,,,
,12/31/2015,0.880467572,,0.93,,0.98,,0.92,,0.94,,,,,,,
,9/30/2015,1.121505777,,1.16,,1.21,,1.22,,1.24,,,,,,,
,6/30/2015,0.292873051,,1.23,,1.27,,1.3,,1.29,,,,,,,
,3/31/2015,0.191061453,,0.32,,0.33,,0.43,,0.79,,,,,,,
,12/31/2014,0.948051948,,0.7,,0.72,,0.8,,0.79,0.8,1.02,1.07,1.05,,,
,9/30/2014,1.072533137,,1.04,,1.05,,1.04,,1.03,1.01,1.29,1.25,1.1,,,
,6/30/2014,1.115609044,,1.11,,1.09,,1.06,,1.04,1.31,1.29,0.25,,,,
,3/31/2014,0.279844137,,0.26,,0.28,,0.34,,0.55,0.58,0.6,,,,,
,12/31/2013,0.162632117,,0.61,,0.62,,0.92,,0.99,1.1,,,,,,
,9/30/2013,0.56142132,,1.1,,1.08,,,,,,,,,,,
,6/28/2013,1.05312085,,1.08,,1.13,,0.41,,,,,,,,,
,3/28/2013,0.290909091,,0.4,,0.47,,0.48,,0.7,,,,,,,
,12/28/2012,0.775,,0.7,,0.99,,,,,,,,,,,
,9/28/2012,1.030769231,,0.98,,,,,,,,,,,,,
,6/28/2012,1.163486005,,0.91,,,,,,,,,,,,,
,3/29/2012,0.306017926,,0.25,,,,,,,,,,,,,
,12/29/2011,0.757814967,,,,,,,,,,,,,,,
,9/29/2011,0.253380364,,,,,,,,,,,,,,,
,6/29/2011,0.263037903,,,,,,,,,,,,,,,
,3/30/2011,-0.22266858,,,,,,,,,,,,,,,
,12/30/2010,0.6241907,,,,,,,,,,,,,,,
,9/29/2010,0.684955752,,,,,,,,,,,,,,,
,6/29/2010,0.579180183,,,,,,,,,,,,,,,
,3/30/2010,0.004159239,,,,,,,,,,,,,,,
,12/30/2009,0.4232756,,,,,,,,,,,,,,,
,9/29/2009,0.652802893,,,,,,,,,,,,,,,
,6/29/2009,0.375692308,,,,,,,,,,,,,,,
,3/30/2009,-0.083307332,,,,,,,,,,,,,,,
,12/30/2008,-10.27,,,,,,,,,,,,,,,
,9/29/2008,0.7,,,,,,,,,,,,,,,
,6/27/2008,0.88,,,,,,,,,,,,,,,
,3/28/2008,0.66,,,,,,,,,,,,,,,
,12/31/2007,9.06,,,,,,,,,,,,,,,
,9/28/2007,0.92,,,,,,,,,,,,,,,
,6/29/2007,3.17,,,,,,,,,,,,,,,
,3/30/2007,0.7,,,,,,,,,,,,,,,
,12/29/2006,0.72,,,,,,,,,,,,,,,
,9/29/2006,0.76,,,,,,,,,,,,,,,
,6/30/2006,0.95,,,,,,,,,,,,,,,
,3/31/2006,0.76,,,,,,,,,,,,,,,
,12/30/2005,0.87,,,,,,,,,,,,,,,
