CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,3/30/2026,,0.27,12/22/2024,0.27,11/11/2024,0.26,10/21/2024,0.26,9/10/2024,0.26,9/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,9/11/2021,3.06,8/7/2021,2.72,7/9/2021,2.75,6/5/2021,2.62,5/7/2021,2.37,4/5/2021,2.35,3/3/2021,2.26,2/4/2021,2.16,1/12/2021,2.13,12/11/2020,2.11,11/10/2020,2.07,11/7/2020,1.84,9/24/2020,1.84,9/23/2020
,,12/30/2025,,0.36,,0.33,,0.31,,0.31,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,3.74,,3.29,,3.3,,3.18,,3,,2.98,,2.9,,2.81,,2.79,,2.76,,2.71,,2.32,,2.32,
,,9/30/2025,,0.32,,0.28,,0.27,,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,,3.52,,3.02,,3.01,,2.93,,2.78,,2.77,,2.7,,2.65,,2.64,,2.62,,2.62,,2.22,,2.22,
,,6/30/2025,,0.29,,0.27,,0.26,,0.26,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,,2.79,,2.45,,2.48,,2.36,,2.17,,2.16,,2.08,,2.04,,2.03,,2.04,,2,,1.67,,1.67,
,,3/30/2025,,0.23,,0.23,,0.24,,0.23,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,9/11/2021,3.06,8/7/2021,2.72,7/9/2021,2.75,6/5/2021,2.62,5/7/2021,2.37,4/5/2021,2.35,3/3/2021,2.26,2/4/2021,2.16,1/12/2021,2.13,12/11/2020,2.11,11/10/2020,2.07,11/7/2020,1.84,9/24/2020,1.84,9/23/2020
,,12/30/2024,,0.34,,0.3,,0.28,,0.28,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,3.74,,3.29,,3.3,,3.18,,3,,2.98,,2.9,,2.81,,2.79,,2.76,,2.71,,2.32,,2.32,
,11/7/2024,9/30/2024,0.22,0.3,,0.25,,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,,3.52,,3.02,,3.01,,2.93,,2.78,,2.77,,2.7,,2.65,,2.64,,2.62,,2.62,,2.22,,2.22,,,
,8/8/2024,6/30/2024,0.21,0.28,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,,2.79,,2.45,,2.48,,2.36,,2.17,,2.16,,2.08,,2.04,,2.03,,2.04,,2,,1.67,,1.67,,,,,,,
,5/16/2024,3/30/2024,0.2,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,7/9/2021,2.75,6/5/2021,2.62,5/7/2021,2.37,4/5/2021,2.35,3/3/2021,2.26,2/4/2021,2.16,1/12/2021,2.13,12/11/2020,2.11,11/10/2020,2.07,11/7/2020,1.84,9/24/2020,1.84,9/23/2020,,,,,,,,,,
,2/8/2024,12/30/2023,0.24,0.29,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,,3,,2.98,,2.9,,2.81,,2.79,,2.76,,2.71,,2.32,,2.32,,,,,,,,,,,,,,,
,11/9/2023,9/30/2023,0.15,0.22,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,2.7,,2.65,,2.64,,2.62,,2.62,,2.22,,2.22,,,,,,,,,,,,,,,,,,,
,8/8/2023,6/30/2023,0.13,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,2.03,,2.04,,2,,1.67,,1.67,,,,,,,,,,,,,,,,,,,,,,,
,5/16/2023,3/30/2023,0.14,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,11/10/2020,2.07,11/7/2020,1.84,9/24/2020,1.84,9/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/9/2023,12/30/2022,0.16,0.22,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/10/2022,9/30/2022,0.12,0.17,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,0.1,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/17/2022,3/31/2022,0.17,0.21,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/8/2022,12/31/2021,0.26,0.29,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/9/2021,9/30/2021,0.17,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/10/2021,6/30/2021,0.09,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2021,0.07,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2020,0.05,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2020,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2020,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
