CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Y,,12/31/2026,,2.56,1/12/2026,2.56,11/29/2025,2.55,10/26/2025,2.83,10/6/2025,2.97,8/29/2025,2.97,7/25/2025,2.94,6/5/2025,,
,,9/30/2026,,2.87,,2.89,,2.88,,3.08,,3.22,,3.22,,3.24,,,
,,6/30/2026,,2.84,,2.88,,2.91,,3.09,,3.2,,3.2,,3.11,,,
,,3/30/2026,,2.6,,2.68,,2.71,,2.94,,3.05,,3.06,,2.94,,,
,,12/31/2025,,2.07,1/13/2025,2.12,1/13/2025,2.15,1/13/2025,2.47,1/13/2025,2.62,1/13/2025,2.62,1/13/2025,2.59,1/13/2025,,
,10/23/2025,9/30/2025,2.41,2.41,,2.59,,2.82,,2.82,,2.82,,,,,,,
,7/23/2025,6/30/2025,2.84,2.84,,2.68,,2.69,,2.73,,,,,,,,,
,4/24/2025,3/30/2025,2.58,2.58,,2.5,,2.5,,2.49,,,,,,,,,
,1/29/2025,12/31/2024,2.57,2.57,3/16/2024,2.26,3/16/2024,2.26,3/16/2024,2.31,3/16/2024,,,,,,,,
,10/23/2024,9/30/2024,2.61,2.61,,2.45,,2.4,,2.41,,,,,,,,,
,7/31/2024,6/30/2024,2.49,2.49,,2.28,,2.28,,2.28,,,,,,,,,
,4/25/2024,3/30/2024,2,2,,1.95,,2.02,,2.38,,,,,,,,,
,1/25/2024,12/31/2023,1.67,1.67,3/14/2023,1.91,3/14/2023,1.94,3/14/2023,1.95,3/14/2023,,,,,,,,
,10/25/2023,9/30/2023,1.82,1.82,,1.96,,1.99,,1.93,,,,,,,,,
,7/29/2023,6/30/2023,1.86,1.86,,1.7,,1.71,,1.67,,,,,,,,,
,4/27/2023,3/30/2023,1.58,1.58,,1.5,,1.51,,1.57,,,,,,,,,
,2/1/2023,12/31/2022,1.18,1.18,,1.1,,1.09,,1.04,,,,,,,,,
,10/27/2022,9/30/2022,0.4,0.4,,0.73,,0.75,,0.75,,,,,,,,,
,7/27/2022,6/30/2022,-0.09,-0.09,,0.43,,0.45,,0.45,,,,,,,,,
,4/27/2022,3/31/2022,0.57,0.57,,0.33,,0.47,,0.56,,,,,,,,,
,2/2/2022,12/31/2021,0.34,0.34,,0.18,,0.22,,0.25,,,,,,,,,
,11/2/2021,9/30/2021,0.55,0.55,,0.54,,0.55,,0.55,,,,,,,,,
,7/29/2021,6/30/2021,0.78,0.78,,0.53,,0.53,,0.56,,,,,,,,,
,5/4/2021,3/31/2021,0.74,0.74,,0.55,,0.55,,0.53,,,,,,,,,
,2/4/2021,12/31/2020,0.6,0.6,,0.49,,0.49,,0.36,,,,,,,,,
,11/5/2020,9/30/2020,1,1,,0.44,,0.44,,0.24,,,,,,,,,
,8/6/2020,6/30/2020,0.09,0.09,,0.14,,0.45,,0.68,,,,,,,,,
,5/6/2020,3/31/2020,1.1,1.1,,1.03,,1.03,,1.07,,,,,,,,,
,2/6/2020,12/31/2019,0.87,0.87,,0.83,,0.83,,0.93,,,,,,,,,
,10/28/2019,9/30/2019,1.008472618,1.01,,0.96,,1.03,,1,1.01,,,,,,,,
,7/25/2019,6/28/2019,1.091688343,1.09,,0.97,,0.96,,1.02,1.12,,,,,,,,
,4/25/2019,3/29/2019,1.05748197,1.06,,0.93,,0.98,,0.97,0.98,,,,,,,,
,2/7/2019,12/31/2018,0.747362906,0.75,,0.69,,0.7,,0.67,0.7,,,,,,,,
,10/30/2018,9/28/2018,0.931073873,0.93,,0.85,,0.83,,0.84,0.88,,,,,,,,
,8/1/2018,6/29/2018,0.917796565,0.92,,0.87,,0.92,,0.93,0.76,,,,,,,,
,5/1/2018,3/29/2018,0.778201918,0.78,,0.71,,0.6,,,,,,,,,,,
,2/8/2018,12/29/2017,3.090068989,,,0.37,,0.35,,0.34,,,,,,,,,
,10/23/2017,9/29/2017,0.631153702,,,0.46,,,,,,,,,,,,,
,7/19/2017,6/30/2017,0.651382389,,,0.38,,,,,,,,,,,,,
,4/24/2017,3/31/2017,0.786753781,,,0.3,,,,,,,,,,,,,
,2/14/2017,12/30/2016,0.449690889,,,0.3,,,,,,,,,,,,,
,10/24/2016,9/30/2016,0.424147412,,,0.22,,,,,,,,,,,,,
