CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP diluted ,,1/30/2024,,2.2,11/7/2022,2.2,9/29/2022,2.22,8/27/2022,2.24,8/4/2022,2.24,7/1/2022,2.25,5/31/2022,2.25,5/6/2022,,3/28/2022,2,2/27/2022,1.99,1/29/2022,1.99,12/28/2021,2.06,11/24/2021,2.08,11/21/2021,2.07,11/7/2021,2.07,9/29/2021,2.07,8/29/2021,2.04,8/2/2021,2.03,6/27/2021,2.05,5/28/2021,2.05,5/2/2021,1.56,3/26/2021,1.5,2/28/2021,1.5,1/31/2021,1.49,12/24/2020,1.51,11/25/2020,1.51,10/27/2020,1.51,9/22/2020,1.54,8/27/2020,1.54,8/6/2020,1.54,6/11/2020,1.771879518,5/22/2020,1.771879518,5/20/2020
,,10/30/2023,,2.04,,2.04,,2.05,,2.04,,2.04,,2.04,,2.04,,,,1.78,,1.78,,1.78,,1.81,,1.83,,1.83,,1.82,,1.82,,1.82,,1.82,,1.85,,1.85,,1.33,,1.33,,1.33,,1.34,,1.37,,1.37,,1.37,,1.38,,1.39,,1.39,,1.548650602,,1.548650602,
,,7/30/2023,,1.91,,1.91,,1.92,,1.92,,1.92,,1.92,,1.92,,,,1.66,,1.66,,1.66,,1.71,,1.73,,1.73,,1.73,,1.74,,1.72,,1.72,,1.71,,1.71,,1.13,,1.22,,1.22,,1.22,,1.29,,1.29,,1.29,,1.3,,1.27,,1.27,,1.353325301,,1.353325301,
,,4/30/2023,,1.72,,1.72,,1.74,,1.77,,1.77,,1.77,,1.77,,1.35,,1.45,,1.47,,1.47,,1.51,,1.52,,1.52,,1.53,,1.52,,1.53,,1.53,,1.53,,1.53,,0.94,,1.11,,1.11,,1.11,,1.17,,1.18,,1.18,,1.18,,1.19,,1.19,,1.130096386,,1.130096386,
,,1/30/2023,,1.84,,1.84,,1.85,,1.86,,1.86,,1.87,,2,,2.02,,2,2/27/2022,1.99,1/29/2022,1.99,12/28/2021,2.06,11/24/2021,2.08,11/21/2021,2.07,11/7/2021,2.07,9/29/2021,2.07,8/29/2021,2.04,8/2/2021,2.03,6/27/2021,2.05,5/28/2021,2.05,5/2/2021,1.56,3/26/2021,1.5,2/28/2021,1.5,1/31/2021,1.49,12/24/2020,1.51,11/25/2020,1.51,10/27/2020,1.51,9/22/2020,1.54,8/27/2020,1.54,8/6/2020,1.54,6/11/2020,1.771879518,5/22/2020,1.771879518,5/20/2020
,,10/30/2022,,1.7,,1.7,,1.69,,1.67,,1.67,,1.67,,1.77,,1.78,,1.78,,1.78,,1.78,,1.81,,1.83,,1.83,,1.82,,1.82,,1.82,,1.82,,1.85,,1.85,,1.33,,1.33,,1.33,,1.34,,1.37,,1.37,,1.37,,1.38,,1.39,,1.39,,1.548650602,,1.548650602,
,8/24/2022,7/30/2022,0.85,1.65,,1.58,,1.58,,1.58,,1.61,,1.62,,1.66,,1.66,,1.66,,1.71,,1.73,,1.73,,1.73,,1.74,,1.72,,1.72,,1.71,,1.71,,1.13,,1.22,,1.22,,1.22,,1.29,,1.29,,1.29,,1.3,,1.27,,1.27,,1.353325301,,1.353325301,,,,,
,5/26/2022,4/30/2022,0.67,1.43,,1.35,,1.35,,1.45,,1.47,,1.47,,1.51,,1.52,,1.52,,1.53,,1.52,,1.53,,1.53,,1.53,,1.53,,0.94,,1.11,,1.11,,1.11,,1.17,,1.18,,1.18,,1.18,,1.19,,1.19,,1.130096386,,1.130096386,,,,,,,,,,,
,2/24/2022,1/31/2022,0.4,1.5,,1.44,,1.44,,1.45,,1.46,,1.46,,1.46,,1.46,,1.45,,1.45,,1.56,,1.56,,1.56,3/26/2021,1.5,2/28/2021,1.5,1/31/2021,1.49,12/24/2020,1.51,11/25/2020,1.51,10/27/2020,1.51,9/22/2020,1.54,8/27/2020,1.54,8/6/2020,1.54,6/11/2020,1.771879518,5/22/2020,1.771879518,5/20/2020,,,,,,,,,,,,,,,,
,11/23/2021,10/29/2021,0.61,1.33,,1.26,,1.26,,1.26,,1.25,,1.26,,1.26,,1.32,,1.33,,1.33,,1.33,,1.33,,1.34,,1.37,,1.37,,1.37,,1.38,,1.39,,1.39,,1.548650602,,1.548650602,,,,,,,,,,,,,,,,,,,,,,,
,8/25/2021,7/30/2021,0.52,1.21,,1.13,,1.13,,1.13,,1.14,,1.13,,1.22,,1.22,,1.22,,1.29,,1.29,,1.29,,1.3,,1.27,,1.27,,1.353325301,,1.353325301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/27/2021,4/30/2021,0.7,1.03,,0.94,,0.94,,1.11,,1.11,,1.11,,1.17,,1.18,,1.18,,1.18,,1.19,,1.19,,1.130096386,,1.130096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/25/2021,1/29/2021,4.1,1.18,,1.07,,1.07,,1.06,,1.06,,1.06,,1.06,,1.07,,1.07,,1.25,,1.27,,1.3,,1.34,,1.38,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/24/2020,10/30/2020,0.59,1.04,,0.95,,0.95,,0.94,,0.95,,0.95,,1.1,,1.11,,1.13,,1.18,,1.19,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/25/2020,7/31/2020,0.44,0.98,,0.9,,0.9,,0.96,,0.97,,0.99,,1.04,,1.07,,1.08,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/27/2020,4/30/2020,0.3,0.85,,0.81,,0.81,,0.88,,0.92,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/27/2020,1/31/2020,0.592359551,0.92,,0.89,,0.93,,0.94,,0.99,,0.97,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/26/2019,10/31/2019,0.300585849,0.78,,0.72,,0.73,,0.78,,0.84,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/27/2019,7/31/2019,0.180755396,0.65,,0.61,,0.62,,0.71,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/23/2019,4/30/2019,-0.110200364,0.45,,0.47,,0.56,,0.57,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2019,1/31/2019,0.292363308,0.46,,0.42,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/20/2018,10/31/2018,-0.108268616,0.29,,0.27,,0.28,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/23/2018,7/31/2018,-0.179908676,0.19,,0.16,,0.17,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/24/2018,4/30/2018,-0.37694419,0.06,,0.03,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
