CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Adjusted Diluted,,1/30/2027,,3.19,1/17/2026,3.41,12/13/2025,4.7,11/25/2025,4.7,10/23/2025,4.02,9/13/2025,4.06,8/26/2025,4.06,7/21/2025,4.15,6/16/2025,4.35,5/20/2025,,
,,10/30/2026,,3.05,,3.27,,3.65,,3.65,,5.29,,5.28,,5.28,,5.55,,5.74,,,
,,7/30/2026,,3.53,,3.72,,3.89,,3.89,,4.53,,4.49,,4.49,,4.58,,5.08,,,
,,4/30/2026,,0.54,,0.6,,0.74,,0.74,,0.9,,0.89,,0.89,,0.94,,1.18,,,
,,1/30/2026,,2.32,2/27/2025,3.01,2/27/2025,3.79,2/27/2025,3.79,2/27/2025,3.13,2/27/2025,3.12,2/27/2025,3.12,2/27/2025,3.12,2/27/2025,3.02,2/27/2025,,
,12/11/2025,10/30/2025,1.83,1.71,,2.16,,2.16,,4.08,,4.08,,4.08,,4.13,,4,,,,,
,9/11/2025,7/30/2025,2.62,2.99,,3.2,,3.2,,3.2,,3.34,,,,,,,,,,,
,6/12/2025,4/30/2025,0.4,0.13,,-0.08,,0.13,,1.45,,,,,,,,,,,,,
,4/2/2025,1/30/2025,0.69,1.58,3/30/2024,1.89,3/30/2024,1.88,3/30/2024,1.85,3/30/2024,,,,,,,,,,,,
,12/12/2024,10/30/2024,1.66,2.48,,2.67,,2.65,,3.23,,,,,,,,,,,,,
,9/12/2024,7/30/2024,1.45,1.69,,1.63,,2.17,,3.85,,,,,,,,,,,,,
,6/13/2024,4/30/2024,-0.2,-0.4,,0.04,,1.93,,1.95,,,,,,,,,,,,,
,3/27/2024,1/30/2024,0.57,0.72,5/15/2023,1.69,5/15/2023,1.69,5/15/2023,1.7,5/15/2023,,,,,,,,,,,,
,12/7/2023,10/30/2023,-0.12,-0.42,,0.97,,0.97,,1.08,,,,,,,,,,,,,
,9/7/2023,7/30/2023,3.36,3.93,,2.44,,2.38,,2.47,,,,,,,,,,,,,
,5/25/2023,4/30/2023,1.76,2.21,,2.09,,2.23,,3.86,,,,,,,,,,,,,
,3/29/2023,1/30/2023,4.21,2.88,,3.33,,3.51,,3.51,,,,,,,,,,,,,
,12/8/2022,10/30/2022,3.78,5.67,,4.75,,4.72,,4.92,,,,,,,,,,,,,
,9/8/2022,7/30/2022,4.54,8.08,,6.64,,6.68,,6.91,,,,,,,,,,,,,
,6/2/2022,4/30/2022,7.22,7.78,,5.38,,5.35,,4.97,,,,,,,,,,,,,
