CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,
N,,9/30/2021,0.78,11/19/2020,0.78,10/30/2020,0.47,9/25/2020,0.47,8/30/2020,0.4,7/30/2020,0.4,,0.38,,0.59,,0.554254144
,,6/30/2021,0.6,,0.6,,0.51,,0.51,,0.43,,0.43,,0.21,,0.79,,0.808287293
,,3/31/2021,0.11,,0.11,,0.11,,0.11,,0.07,,0.07,,0.05,,0.42,,0.496519337
,,12/31/2020,-0.05,,-0.05,,-0.06,,-0.06,,-0.06,,-0.06,,-0.05,,0.19,,0.242486188
,11/19/2020,9/30/2020,0.71,,0.55,,0.09,,0.09,,0.03,,0.03,,-0.04,,0.48,,0.45
,7/30/2020,6/26/2020,-2.580696662,,-3.45,,-0.96,,0.74,,0.7,,0.64,,,,,,
,4/30/2020,3/31/2020,0.185825656,,0.38,,0.43,,0.31,,0.18,,,,,,,,
,2/3/2020,12/31/2019,0.130514706,,0.09,,0.21,,0.4,,0.28,,,,,,,,
,11/21/2019,9/30/2019,0.496967132,,0.49,,0.44,,0.46,,0.26,,0.5,,,,,,
,7/31/2019,6/28/2019,0.695762712,,0.63,,0.68,,0.53,,,,,,,,,,
,5/6/2019,3/29/2019,0.13262002,,0.23,,0.56,,0.3,,,,,,,,,,
,2/4/2019,12/31/2018,-0.165944541,,0.08,,0.1,,0.12,,,,,,,,,,
,11/15/2018,9/28/2018,0.425520263,,0.22,,0.47,,,,,,,,,,,,
,8/6/2018,6/29/2018,0.615863563,,0.59,,0.53,,,,,,,,,,,,
,5/7/2018,3/29/2018,0.48452508,,0.27,,,,,,,,,,,,,,
,2/5/2018,12/29/2017,-1.369290039,,-0.06,,,,,,,,,,,,,,
,11/28/2017,9/29/2017,0.272137949,,0.3,,0.66,,,,,,,,,,,,
,8/1/2017,6/30/2017,0.568268497,,0.68,,0.73,,0.7,,,,,,,,,,
,5/8/2017,3/31/2017,0.579859783,,0.44,,0.41,,,,,,,,,,,,
,2/6/2017,12/30/2016,-0.079889445,,-0.02,,0.11,,,,,,,,,,,,
,,9/30/2016,0.287981009,,0.38,,0.54,,0.6,,0.57,,,,,,,,
,,7/1/2016,0.318045489,,0.22,,0.54,,0.6,,0.55,,,,,,,,
,,4/1/2016,0.431315922,,0.41,,0.33,,0.07,,0.08,,,,,,,,
,,12/31/2015,0.085617299,,-0.27,,-0.2,,0.09,,,,,,,,,,
,,10/2/2015,0.526185158,,0.6,,-0.02,,0.07,,0.13,,,,,,,,
,,6/30/2015,0.545499444,,0.58,,-0.08,,0.19,,0.34,,,,,,,,
,,3/31/2015,0.457465496,,0,,-0.08,,0.02,,0.05,,0.08,,,,,,
,,12/31/2014,-0.534323055,,-0.1,,-0.07,,-0.09,,0.12,,0.19,,0.37,,,,
,,9/30/2014,-0.097105864,,-0.09,,0.04,,0.58,,0.66,,0.69,,0.71,,0.69,,
,,6/30/2014,0.267242443,,0.62,,0.65,,0.58,,0.64,,0.76,,0.74,,0.05,,
,,3/31/2014,-0.096233783,,0.13,,0.41,,0.44,,0.52,,0.53,,-0.09,,,,
,,12/31/2013,-0.202562151,,0.03,,0.04,,0.3,,,,,,,,,,
,,9/30/2013,0.070340557,,0.31,,0.36,,0.58,,,,,,,,,,
,,6/28/2013,0.476688296,,0.43,,0.68,,0.62,,,,,,,,,,
,,3/28/2013,0.190425406,,0.6,,0.46,,0.38,,,,,,,,,,
,,12/28/2012,0.005340764,,0.18,,0.24,,0.5,,,,,,,,,,
,,9/28/2012,0.411927878,,0.5,,,,,,,,,,,,,,
,,6/29/2012,0.554365354,,0.66,,,,,,,,,,,,,,
,,3/30/2012,0.218415661,,nan,,,,,,,,,,,,,,
,,12/30/2011,-1.605434141,,nan,,,,,,,,,,,,,,
,,9/30/2011,0.503652968,,nan,,,,,,,,,,,,,,
,,7/1/2011,0.975534469,,nan,,,,,,,,,,,,,,
,,4/1/2011,0.655452569,,nan,,,,,,,,,,,,,,
,,12/31/2010,0.161946094,,nan,,,,,,,,,,,,,,
,,10/1/2010,0.187699317,,nan,,,,,,,,,,,,,,
,,7/2/2010,0.648917898,,nan,,,,,,,,,,,,,,
,,4/1/2010,0.338792807,,nan,,,,,,,,,,,,,,
,,12/24/2009,0.114275709,,nan,,,,,,,,,,,,,,
,,10/2/2009,0.302884615,,nan,,,,,,,,,,,,,,
,,6/26/2009,0.47,,nan,,,,,,,,,,,,,,
,,3/27/2009,0.14,,nan,,,,,,,,,,,,,,
,,12/26/2008,0.07,,nan,,,,,,,,,,,,,,
,,9/26/2008,0.08,,nan,,,,,,,,,,,,,,
,,6/27/2008,0.5,,nan,,,,,,,,,,,,,,
,,3/28/2008,-0.05,,nan,,,,,,,,,,,,,,
,,12/28/2007,-0.33,,nan,,,,,,,,,,,,,,
,,9/28/2007,-0.18,,nan,,,,,,,,,,,,,,
,,6/29/2007,0.08,,nan,,,,,,,,,,,,,,
,,3/30/2007,0.32,,nan,,,,,,,,,,,,,,
,,12/29/2006,0.07,,nan,,,,,,,,,,,,,,
,,9/29/2006,0.26,,nan,,,,,,,,,,,,,,
,,6/30/2006,0.73,,nan,,,,,,,,,,,,,,
,,3/31/2006,0.31,,nan,,,,,,,,,,,,,,
,,12/30/2005,0.27,,nan,,,,,,,,,,,,,,
