CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Adjusted,,6/30/2027,,2.2,1/7/2026,2.22,11/9/2025,2.2,9/26/2025,2.2,8/22/2025,1.71,7/28/2025,1.7,6/26/2025,,,,,,,
,,3/30/2027,,1.23,,1.23,,1.28,,1.29,,1.04,,1.05,,,,,,,,
,,12/31/2026,,1.36,,1.36,,1.4,,1.42,,1.22,,1.21,,,,,,,,
,,9/30/2026,,1.44,,1.45,,1.46,,1.47,,1.28,,1.28,,,,,,,,
,,6/30/2026,,1.71,7/28/2025,1.71,7/28/2025,1.73,7/28/2025,1.71,7/28/2025,1.71,7/28/2025,1.7,6/26/2025,,,,,,,
,,3/30/2026,,0.97,,0.98,,1.03,,1.03,,1.04,,1.05,,,,,,,,
,,12/31/2025,,1.09,,1.1,,1.17,,1.18,,1.22,,1.21,,,,,,,,
,11/5/2025,9/30/2025,0.6,1.18,,1.22,,1.22,,1.28,,1.28,,,,,,,,,,
,8/13/2025,6/30/2025,0.84,1.55,10/2/2024,1.45,10/2/2024,1.45,10/2/2024,1.48,10/2/2024,,,,,,,,,,,
,5/7/2025,3/30/2025,0.37,0.79,,0.88,,0.88,,0.89,,,,,,,,,,,,
,2/5/2025,12/31/2024,0.27,0.98,,1.05,,1.05,,1.05,,,,,,,,,,,,
,11/6/2024,9/30/2024,0.69,1.16,,1.22,,1.24,,1.29,,,,,,,,,,,,
,8/14/2024,6/30/2024,1.07,1.45,10/1/2023,1.37,10/1/2023,1.37,10/1/2023,1.39,10/1/2023,,,,,,,,,,,
,5/8/2024,3/30/2024,0.45,0.8,,0.85,,0.86,,0.96,,,,,,,,,,,,
,2/7/2024,12/31/2023,0.5,0.9,,0.92,,0.9,,0.92,,,,,,,,,,,,
,11/8/2023,9/30/2023,0.77,1.15,,1.09,,1.09,,1.06,,,,,,,,,,,,
,8/16/2023,6/30/2023,0.97,1.14,,1.15,,1.15,,1.21,,,,,,,,,,,,
,5/10/2023,3/30/2023,0.51,0.83,,0.7,,0.7,,0.69,,,,,,,,,,,,
,2/8/2023,12/31/2022,0.46,0.83,,0.72,,0.71,,0.7,,,,,,,,,,,,
,11/9/2022,9/30/2022,0.62,1.08,,0.8,,0.8,,0.69,,,,,,,,,,,,
,8/17/2022,6/30/2022,0.49,1.07,,1.04,,1.03,,1.01,,,,,,,,,,,,
,5/11/2022,3/31/2022,0.15,0.51,,0.51,,0.51,,0.52,,,,,,,,,,,,
,2/9/2022,12/31/2021,0.05,0.57,,0.5,,0.5,,0.5,,,,,,,,,,,,
,11/10/2021,9/30/2021,0.03,0.43,,0.42,,0.42,,0.51,,,,,,,,,,,,
,8/19/2021,6/30/2021,0.23,0.56,,0.55,,0.54,,0.54,,,,,,,,,,,,
,5/5/2021,3/31/2021,-0.06,0.19,,0.28,,0.28,,0.25,,,,,,,,,,,,
,2/3/2021,12/31/2020,0.13,0.35,,0.29,,0.29,,0.28,,,,,,,,,,,,
,11/4/2020,9/30/2020,-0.01,0.25,,0.14,,0.13,,0.04,,,,,,,,,,,,
,8/12/2020,6/30/2020,-1.19,-0.86,,-0.18,,-0.18,,-0.11,,,,,,,,,,,,
,5/4/2020,3/31/2020,-0.35,0.58,,0.26,,0.37,,0.38,,,,,,,,,,,,
,2/5/2020,12/31/2019,0.39,0.58,,0.5,,0.5,,0.49,,,,,,,,,,,,
,11/6/2019,9/30/2019,0.34,0.57,,0.36,,0.36,,0.36,,,,,,,,,,,,
,8/14/2019,6/28/2019,0.599620493,0.7,,0.64,,0.66,,0.67,,,,,,,,,,,,
,5/8/2019,3/29/2019,0.307326356,0.35,,0.36,,0.37,,0.41,,,,,,,,,,,,
,2/6/2019,12/31/2018,0.410867493,0.46,,0.4,,0.46,,,,,,,,,,,,,,
,11/7/2018,9/28/2018,0.26831589,0.34,,0.28,,0.35,,0.34,,,,,,,,,,,,
,8/15/2018,6/29/2018,0.613918017,0.53,,0.6,,0.59,,,,,,,,,,,,,,
,5/9/2018,3/29/2018,0.322488038,0.34,,0.31,,,,,,,,,,,,,,,,
,2/7/2018,12/29/2017,0.746411483,0.4,,0.34,,,,,,,,,,,,,,,,
,11/8/2017,9/29/2017,0.217516843,0.27,,0.25,,,,,,,,,,,,,,,,
,8/16/2017,6/30/2017,0.389602899,,,0.5,,,,,,,,,,,,,,,,
,5/10/2017,3/31/2017,0.20233463,,,0.25,,,,,,,,,,,,,,,,
,2/8/2017,12/30/2016,0.222979552,,,0.28,,,,,,,,,,,,,,,,
,11/8/2016,9/30/2016,0.118677043,,,0.23,,,,,,,,,,,,,,,,
,,7/1/2016,0.286725639,,,0.39,,,,,,,,,,,,,,,,
,,3/24/2016,0.092738491,,,0.14,,,,,,,,,,,,,,,,
,,12/24/2015,0.174359181,,,0.24,,,,,,,,,,,,,,,,
,,9/25/2015,0.139184942,,,0.17,,,,,,,,,,,,,,,,
,,6/26/2015,0.39024372,,,,,,,,,,,,,,,,,,,
,,3/27/2015,0.033064863,,,,,,,,,,,,,,,,,,,
,,12/26/2014,0.146056806,,,,,,,,,,,,,,,,,,,
