CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,
N,,5/28/2021,0.24,7/23/2020,0.28,7/2/2020,0.180645161,5/22/2020,0.180645161,5/20/2020,0.326145833,,0.346019417,,0.341538462,,0.330865385,,
,,2/26/2021,0.16,,0.18,,0.103225806,,0.103225806,,0.12625,,0.262135922,,0.266826923,,0.256153846,,
,,11/30/2020,0.26,,0.22,,0.266666667,,0.266666667,,0.399791667,,0.398446602,,0.362884615,,0.384230769,,
,,8/31/2020,0.1,,0.09,,0.120430108,,0.120430108,,0.1578125,,0.157281553,,0.149423077,,0.181442308,,
,7/23/2020,5/29/2020,0.13,,0.18,,0.21,,0.21,,0.31,,0.33,,0.32,,0.31,,0.36
,4/2/2020,2/21/2020,0.213613145,,0.12,,0.11,,0.12,,0.25,,0.24,,0.2,,,,
,1/2/2020,11/22/2019,0.381136272,,0.31,,0.3,,0.33,,0.34,,0.36,,0.27,,,,
,10/2/2019,8/23/2019,0.153066601,,0.14,,0.17,,0.18,,,,,,,,,,
,7/18/2019,5/24/2019,0.291170712,,0.27,,0.29,,0.28,,0.34,,,,,,,,
,4/3/2019,2/22/2019,0.17905468,,0.22,,0.17,,0.2,,,,,,,,,,
,1/3/2019,11/23/2018,0.325587129,,0.23,,0.24,,0.31,,,,,,,,,,
,10/3/2018,8/24/2018,0.176820254,,0.11,,0.23,,,,,,,,,,,,
,7/18/2018,5/31/2018,0.123875906,,0.28,,0.27,,0.25,,0.35,,,,,,,,
,4/4/2018,2/23/2018,0.143298197,,0.15,,0.12,,0.17,,,,,,,,,,
,1/3/2018,11/24/2017,0.266130351,,0.2,,0.18,,0.22,,0.23,,0.22,,,,,,
,10/4/2017,8/25/2017,0.070261818,,0.12,,0.17,,0.18,,0.15,,,,,,,,
,7/20/2017,5/26/2017,0.146755309,,0.26,,0.28,,0.25,,0.26,,0.27,,0.14,,,,
,4/5/2017,2/24/2017,0.094297672,,0.14,,0.17,,0.18,,0.17,,0.18,,0.19,,,,
,1/4/2017,11/25/2016,0.157029353,,0.19,,0.18,,0.24,,0.25,,0.26,,0.25,,0.27,,0.26
,10/5/2016,8/31/2016,0.15313578,,0.16,,0.22,,0.21,,0.23,,0.22,,0.23,,0.2,,0.21
,,5/31/2016,0.233868794,,0.21,,0.25,,0.26,,0.25,,0.24,,0.25,,0.16,,
,,2/29/2016,0.158367672,,0.16,,0.17,,0.18,,0.17,,0.18,,0.17,,,,
,,11/30/2015,0.229111651,,0.25,,0.24,,0.2,,,,,,,,,,
,,8/31/2015,0.188469363,,0.16,,0.17,,0.18,,,,,,,,,,
,,5/29/2015,0.212853093,,0.22,,0.24,,0.22,,0.21,,,,,,,,
,,2/27/2015,0.156419766,,0.12,,0.14,,0.2,,,,,,,,,,
,,11/28/2014,0.20941533,,0.16,,0.21,,0.2,,0.19,,0.17,,0.14,,,,
,,8/29/2014,0.140733012,,0.13,,0.14,,0.12,,0.18,,,,,,,,
,,5/30/2014,0.177143595,,0.18,,0.21,,0.19,,0.21,,0.05,,,,,,
,,2/28/2014,0.058200112,,0.05,,0.12,,0.13,,0.15,,,,,,,,
,,11/29/2013,0.179370497,,0.15,,0.17,,0.11,,,,,,,,,,
,,8/23/2013,0.091682562,,0.12,,0.13,,0.15,,,,,,,,,,
,,5/24/2013,0.131250772,,0.15,,0.2,,0.11,,,,,,,,,,
,,2/22/2013,0.109644199,,0.11,,,,,,,,,,,,,,
,,11/23/2012,0.141782925,,0.17,,0.17,,,,,,,,,,,,
,,8/24/2012,0.115670034,,0.12,,,,,,,,,,,,,,
,,5/25/2012,0.209897812,,0.15,,,,,,,,,,,,,,
,,2/24/2012,0.100716246,,0.08,,,,,,,,,,,,,,
,,11/23/2011,0.578144622,,nan,,,,,,,,,,,,,,
,,8/31/2011,0.057403149,,nan,,,,,,,,,,,,,,
,,5/31/2011,0.116589315,,nan,,,,,,,,,,,,,,
,,2/28/2011,0.016042439,,nan,,,,,,,,,,,,,,
