Date,Q_EPS_Diluted,,,,
12/31/2020,0.07,0.07,0.07,0.070909091,0.073636364
9/30/2020,0.06,0.07,0.07,0.070909091,0.073636364
6/30/2020,0.06,0.06,0.06,0.059090909,0.061363636
3/31/2020,0.05,0.05,0.05,0.059090909,0.061363636
12/31/2019,0.06,0.06,0.06,0.07,
9/30/2019,0.06,0.06,0.06,0.07,
6/28/2019,0.056256684,0.05,0.06,0.07,
3/29/2019,0.034630184,0.05,0.06,0.07,0.06
12/31/2018,0.056061381,0.06,0.05,,
9/28/2018,0.074991578,0.06,0.05,,
6/29/2018,0.063705807,0.06,0.05,,
3/29/2018,0.063107919,0.05,0.04,,
12/29/2017,-0.008093951,0.05,0.04,,
9/29/2017,0.058607257,0.05,,,
6/30/2017,0.042678719,0.04,0.05,0.04,0.05
3/31/2017,0.04328069,0.04,,,
12/30/2016,0.042203215,0.04,0.05,,
9/30/2016,0.039408496,0.04,0.04,,
6/30/2016,0.034681522,0.04,0.03,0.04,0.03
3/31/2016,0.033526082,0.03,0.04,0.03,
12/31/2015,0.02565653,0.03,0.03,,
9/30/2015,0.031151582,0.03,0.03,,
6/30/2015,0.018674011,0.02,0.03,0.03,
3/31/2015,0.018740255,0.03,0.02,,
12/31/2014,0.02535898,0.02,0.03,,
9/30/2014,0.022793594,0.02,0.03,0.02,
6/30/2014,0.019317149,0.02,0.03,0.02,
3/31/2014,0.015223569,0.02,0.03,0.02,
12/31/2013,0.010509417,0.02,0.02,,
9/30/2013,0.010003256,0.02,0.02,,
6/28/2013,0.01946827,0.02,0.03,0.02,
3/28/2013,0.018683749,0.03,0.02,0.02,
12/31/2012,0.023548922,0.02,0.03,0.02,
9/28/2012,0.011328203,0.03,,,
6/29/2012,0.481723548,nan,,,
3/30/2012,0.016484932,nan,,,
12/30/2011,0.010973211,nan,,,
9/30/2011,0.016010155,nan,,,
6/30/2011,0.025471992,nan,,,
3/31/2011,0.012053136,nan,,,
12/31/2010,-0.012743404,nan,,,
9/30/2010,0.010617079,nan,,,
6/30/2010,0.002399766,nan,,,
3/31/2010,0.006566259,nan,,,
12/31/2009,0.003285401,nan,,,
9/30/2009,-0.041846011,nan,,,
6/30/2009,-0.044509474,nan,,,
3/31/2009,-0.067776274,nan,,,
12/31/2008,-0.08,nan,,,
9/30/2008,-1.93,nan,,,
6/30/2008,-0.06,nan,,,
3/31/2008,-0.07,nan,,,
12/31/2007,-0.11,nan,,,
9/28/2007,-0.08,nan,,,
6/29/2007,-0.09,nan,,,
3/30/2007,-0.1,nan,,,
12/29/2006,-0.17,nan,,,
9/29/2006,-0.12,nan,,,
6/30/2006,-0.17,nan,,,
3/31/2006,-0.33,nan,,,
12/30/2005,-0.23,nan,,,
9/30/2005,-0.14,nan,,,
6/30/2005,-0.13,nan,,,
3/31/2005,-0.15,nan,,,
12/31/2004,-0.21,nan,,,
9/30/2004,-0.14,nan,,,
6/30/2004,-0.11,nan,,,
3/31/2004,-0.12,nan,,,
12/31/2003,-0.14,nan,,,
9/30/2003,-0.11,nan,,,
6/30/2003,-0.12,nan,,,
3/31/2003,0.16,nan,,,
12/31/2002,-1.74,nan,,,
9/30/2002,-1.56,nan,,,
6/28/2002,-1.62,nan,,,
3/28/2002,-1.22,nan,,,
12/31/2001,-1.52,nan,,,
9/28/2001,-1.06,nan,,,
6/29/2001,-1.35,nan,,,
3/30/2001,-1.34,nan,,,
12/29/2000,-1.28,nan,,,
9/29/2000,-0.97,nan,,,
6/30/2000,-1.11,nan,,,
3/31/2000,-1.35,nan,,,
12/31/1999,-1.15,nan,,,
9/30/1999,-0.96,nan,,,
6/30/1999,-0.97,nan,,,
3/31/1999,-0.87,nan,,,
12/31/1998,0.84,nan,,,
9/30/1998,-0.43,nan,,,
6/30/1998,-2.18,nan,,,
3/31/1998,-0.93,nan,,,
12/31/1997,4.67,nan,,,
9/30/1997,-0.8,nan,,,
6/30/1997,-4.23,nan,,,
3/31/1997,-0.05,nan,,,
12/31/1996,-0.09,nan,,,
9/30/1996,-0.07,nan,,,
6/28/1996,-0.07,nan,,,
3/29/1996,-0.06,nan,,,
12/29/1995,-0.04,nan,,,
9/29/1995,-0.08,nan,,,
6/30/1995,-0.06,nan,,,
