Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,
,6/30/2021,2.13,4/4/2020,2.14,3/3/2020,2.12,2/2/2020,2.12,1/13/2020,2.12,10/8/2019,,,,,,,,,,
,3/31/2021,1.93,,1.95,,1.89,,1.89,,1.89,,,,,,,,,,,
,12/31/2020,0.72,,0.72,,0.85,,0.85,,0.85,,,,,,,,,,,
,9/30/2020,0.76,,0.76,,0.74,,0.74,,0.74,,,,,,,,,,,
,6/30/2020,2.1,,2.05,,1.94,,1.94,,1.9,,1.79,,1.79,,1.84,,1.95,1.94,1.84,1.83
,3/31/2020,1.74,,1.81,,1.81,,1.8,,1.76,,1.7,,1.7,,1.74,,1.63,1.62,1.67,1.66
1/31/2020,12/31/2019,0.09,,0.72,,0.76,,0.8,,0.8,,0.76,,0.77,0.75,0.76,0.82,0.85,,,
11/6/2019,9/30/2019,0.48,,0.73,,0.84,,0.84,,0.79,,0.77,,,,,,,,,
8/1/2019,6/28/2019,1.555178268,,1.71,,1.8,,1.78,,1.65,2.18,,,,,,,,,,
5/7/2019,3/29/2019,1.453164557,,1.5,,1.53,,0.88,,,,,,,,,,,,,
2/7/2019,12/31/2018,0.418975651,,0.71,,0.72,,,,,,,,,,,,,,,
11/6/2018,9/28/2018,0.640768588,,0.68,,0.63,,,,,,,,,,,,,,,
8/7/2018,6/29/2018,1.717607973,,1.87,,1.95,,,,,,,,,,,,,,,
5/8/2018,3/29/2018,0.902398677,,0.79,,,,,,,,,,,,,,,,,
2/8/2018,12/29/2017,0.516209476,,0.54,,0.47,,,,,,,,,,,,,,,
11/8/2017,9/29/2017,0.416527546,,0.42,,0.47,,,,,,,,,,,,,,,
8/10/2017,6/30/2017,1.54884106,,1.69,,1.72,,,,,,,,,,,,,,,
5/10/2017,3/31/2017,0.628831814,,0.6,,0.61,,,,,,,,,,,,,,,
2/8/2017,12/30/2016,0.247736626,,0.38,,,,,,,,,,,,,,,,,
11/9/2016,9/30/2016,0.277138158,,0.38,,,,,,,,,,,,,,,,,
,6/30/2016,1.404624277,,1.45,,,,,,,,,,,,,,,,,
,3/31/2016,0.522596549,,0.51,,,,,,,,,,,,,,,,,
,12/31/2015,0.329508197,,0.34,,,,,,,,,,,,,,,,,
,9/30/2015,0.27526705,,0.28,,,,,,,,,,,,,,,,,
,6/30/2015,1.353181077,,1.38,,,,,,,,,,,,,,,,,
,3/31/2015,0.432,,0.52,,,,,,,,,,,,,,,,,
,12/31/2014,0.27983871,,0.28,,,,,,,,,,,,,,,,,
,9/30/2014,0.262308313,,0.29,,,,,,,,,,,,,,,,,
,6/30/2014,1.13,,1.16,,,,,,,,,,,,,,,,,
,3/31/2014,0.41,,0.4,,,,,,,,,,,,,,,,,
,12/31/2013,0.22,,0.25,,,,,,,,,,,,,,,,,
,9/30/2013,0.36,,0.2,,,,,,,,,,,,,,,,,
,6/28/2013,1.09,,,,,,,,,,,,,,,,,,,
,3/28/2013,0.35,,,,,,,,,,,,,,,,,,,
,12/31/2012,0.13,,,,,,,,,,,,,,,,,,,
,9/28/2012,0.14,,,,,,,,,,,,,,,,,,,
,6/29/2012,0.65,,,,,,,,,,,,,,,,,,,
,3/30/2012,0.13,,,,,,,,,,,,,,,,,,,
,12/30/2011,0.05,,,,,,,,,,,,,,,,,,,
,9/30/2011,0.13,,,,,,,,,,,,,,,,,,,
,6/30/2011,0.92,,,,,,,,,,,,,,,,,,,
,3/31/2011,0.23,,,,,,,,,,,,,,,,,,,
,12/31/2010,0.08,,,,,,,,,,,,,,,,,,,
,9/30/2010,0.1,,,,,,,,,,,,,,,,,,,
,6/30/2010,0.76,,,,,,,,,,,,,,,,,,,
,3/31/2010,0.18,,,,,,,,,,,,,,,,,,,
,12/31/2009,0.24,,,,,,,,,,,,,,,,,,,
,9/30/2009,0.19,,,,,,,,,,,,,,,,,,,
,6/30/2009,0.83,,,,,,,,,,,,,,,,,,,
,3/31/2009,0.29,,,,,,,,,,,,,,,,,,,
,12/31/2008,0.21,,,,,,,,,,,,,,,,,,,
,9/30/2008,0.25,,,,,,,,,,,,,,,,,,,
,6/30/2008,0.69,,,,,,,,,,,,,,,,,,,
,3/31/2008,0.21,,,,,,,,,,,,,,,,,,,
,12/31/2007,0.21,,,,,,,,,,,,,,,,,,,
,9/28/2007,0.26,,,,,,,,,,,,,,,,,,,
