CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2023,,0.22,3/2/2023,0.21,1/24/2023,0.22,12/17/2022,0.26,11/10/2022,0.37,10/21/2022,0.39,9/17/2022,0.4,8/14/2022,0.4,7/20/2022,0.4,6/20/2022,0.42,5/13/2022,0.42,5/5/2022,0.45,3/28/2022,0.37,2/27/2022,0.34,1/20/2022,0.36,12/15/2021,0.33,11/12/2021,0.37,10/12/2021,0.37,9/11/2021,0.34,8/7/2021,0.32,7/9/2021,0.32,6/7/2021,0.25,5/9/2021,0.25,4/11/2021,0.25,3/13/2021,0.3,2/11/2021,0.3,12/24/2020,0.3,12/13/2020
,,9/30/2023,,0.2,,0.2,,0.22,,0.25,,0.35,,0.37,,0.39,,0.39,,0.39,,0.41,,0.41,,0.41,,0.39,,0.36,,0.39,,0.35,,0.36,,0.35,,0.33,,0.29,,0.29,,0.23,,0.24,,0.24,,0.3,,0.3,,0.3,
,,6/30/2023,,0.17,,0.16,,0.17,,0.23,,0.36,,0.38,,0.39,,0.38,,0.38,,0.39,,0.39,,0.38,,0.36,,0.33,,0.36,,0.35,,0.35,,0.35,,0.33,,0.29,,0.29,,0.22,,0.22,,0.22,,0.26,,0.27,,0.27,
,,3/30/2023,,0.14,,0.14,,0.14,,0.2,,0.34,,0.36,,0.37,,0.37,,0.37,,0.38,,0.38,,0.35,,0.33,,0.31,,0.35,,0.32,,0.29,,0.32,,0.32,,0.29,,0.29,,0.19,,0.23,,0.23,,0.23,,0.24,,0.24,
,2/28/2023,12/31/2022,0.2,0.22,,0.1,,0.1,,0.16,,0.28,,0.3,,0.34,,0.36,,0.36,,0.4,,0.45,,0.45,,0.37,2/27/2022,0.34,1/20/2022,0.36,12/15/2021,0.33,11/12/2021,0.37,10/12/2021,0.37,9/11/2021,0.34,8/7/2021,0.32,7/9/2021,0.32,6/7/2021,0.25,5/9/2021,0.25,4/11/2021,0.25,3/13/2021,0.3,2/11/2021,0.3,12/24/2020,0.3,12/13/2020
,11/8/2022,9/30/2022,0.14,0.21,,0.26,,0.27,,0.31,,0.33,,0.33,,0.38,,0.42,,0.41,,0.39,,0.36,,0.39,,0.35,,0.36,,0.35,,0.33,,0.29,,0.29,,0.23,,0.24,,0.24,,0.3,,0.3,,0.3,,,,,,,
,8/8/2022,6/30/2022,-0.09,0.32,,0.31,,0.32,,0.35,,0.39,,0.38,,0.36,,0.33,,0.36,,0.35,,0.35,,0.35,,0.33,,0.29,,0.29,,0.22,,0.22,,0.22,,0.26,,0.27,,0.27,,,,,,,,,,,,,
,5/9/2022,3/30/2022,-0.53,0.36,,0.35,,0.35,,0.33,,0.31,,0.35,,0.32,,0.29,,0.32,,0.32,,0.29,,0.29,,0.19,,0.23,,0.23,,0.23,,0.24,,0.24,,,,,,,,,,,,,,,,,,,
,2/24/2022,12/31/2021,-0.68,0.43,,0.3,,0.3,,0.3,,0.31,,0.3,,0.27,,0.27,,0.26,,0.25,,0.25,4/11/2021,0.25,3/13/2021,0.3,2/11/2021,0.3,12/24/2020,0.3,12/13/2020,,,,,,,,,,,,,,,,,,,,,,,,
,11/9/2021,9/30/2021,0.24,0.38,,0.32,,0.31,,0.26,,0.26,,0.26,,0.23,,0.24,,0.24,,0.3,,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,0.23,0.41,,0.25,,0.25,,0.22,,0.22,,0.22,,0.26,,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,0.19,0.33,,0.23,,0.23,,0.23,,0.24,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/11/2021,12/31/2020,0.22,0.32,,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.29,0.37,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/6/2020,6/30/2020,0.06,0.19,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
