CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,
Non-GAAP,,1/30/2028,,0.21,3/29/2026,0.21,3/28/2026,,,,,,,,,,,,
,,10/30/2027,,0.18,,0.18,,,,,,,,,,,,,
,,7/30/2027,,0.11,,0.11,,,,,,,,,,,,,
,,4/30/2027,,0.06,,0.06,,,,,,,,,,,,,
,,1/30/2027,,0.09,,0.09,,,,,,,,,,,,,
,,10/30/2026,,0.09,,0.09,,,,,,,,,,,,,
,,7/30/2026,,0.02,,0.02,,,,,,,,,,,,,
,,4/30/2026,,-0.03,,-0.03,,,,,,,,,,,,,
,3/12/2026,1/30/2026,-0.43,0.04,,0.04,,,,,,,,,,,,,
,12/4/2025,10/30/2025,-0.32,0.1,,0.1,,,,,,,,,,,,,
,9/9/2025,7/30/2025,-0.49,-0.03,,-0.03,,,,,,,,,,,,,
,6/5/2025,4/30/2025,-0.53,-0.15,,-0.15,,,,,,,,,,,,,
,3/13/2025,1/30/2025,-0.61,-0.18,,-0.18,,,,,,,,,,,,,
,12/5/2024,10/30/2024,-0.71,-0.21,,-0.21,,,,,,,,,,,,,
,9/9/2024,7/30/2024,-0.98,-0.4,,-0.4,,,,,,,,,,,,,
,6/11/2024,4/30/2024,-11.48,-1.58,,-1.58,,,,,,,,,,,,,
,,1/30/2024,-1.59,-1.52,,-1.52,,,,,,,,,,,,,
,,10/30/2023,-1.41,-1.39,,-1.39,,,,,,,,,,,,,
,,7/30/2023,-1.35,-1.33,,-1.33,,,,,,,,,,,,,
,,4/30/2023,-1.49,-1.48,,-1.48,,,,,,,,,,,,,
