CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP diluted ,,1/30/2024,,1.14,2/14/2023,1.16,1/9/2023,1.13,12/4/2022,1.18,11/8/2022,1.21,10/6/2022,1.21,9/3/2022,1.24,8/15/2022,1.24,7/6/2022,1.22,6/4/2022,1.22,5/16/2022,,4/10/2022,1.05,3/9/2022,1,2/9/2022,1.01,1/7/2022,1.02,12/5/2021,1.05,11/12/2021,1.06,10/7/2021,1.06,9/6/2021,1.04,8/8/2021,1.04,6/28/2021,1.02,5/28/2021,1.02,5/7/2021,0.83,4/4/2021,0.8,3/2/2021,0.78,2/12/2021,0.79,1/4/2021,0.79,12/2/2020,0.77,10/27/2020,0.79,9/24/2020,0.77,8/27/2020,0.79,8/23/2020,0.79,7/6/2020,0.79,6/13/2020,0.78,5/29/2020,0.78,5/8/2020
,,10/30/2023,,1.18,,1.19,,1.18,,1.18,,1.21,,1.21,,1.24,,1.24,,1.23,,1.23,,,,1.06,,1.02,,1.03,,1.03,,1.05,,1.05,,1.05,,1.03,,1.03,,0.99,,0.99,,0.83,,0.82,,0.81,,0.81,,0.81,,0.79,,0.8,,0.78,,0.78,,0.77,,0.77,,0.76,,0.76,
,,7/30/2023,,1.12,,1.13,,1.11,,1.14,,1.17,,1.17,,1.18,,1.18,,1.18,,1.18,,,,0.99,,0.98,,0.99,,1,,1.03,,1.03,,1.03,,1,,1,,0.97,,0.97,,0.8,,0.79,,0.78,,0.78,,0.79,,0.78,,0.77,,0.76,,0.74,,0.74,,0.74,,0.73,,0.73,
,,4/30/2023,,1.02,,1.02,,1.02,,1.08,,1.11,,1.11,,1.13,,1.13,,1.12,,1.12,,,,0.92,,0.94,,0.95,,0.95,,0.97,,0.97,,0.97,,0.97,,0.98,,0.94,,0.94,,0.78,,0.76,,0.74,,0.74,,0.74,,0.72,,0.73,,0.73,,0.73,,0.73,,0.73,,0.72,,0.72,
,,1/29/2023,,1.04,,1.04,,1.05,,1.08,,1.08,,1.08,,1.08,,1.08,,1.07,,1.05,,1.05,,1.05,3/9/2022,1,2/9/2022,1.01,1/7/2022,1.02,12/5/2021,1.05,11/12/2021,1.06,10/7/2021,1.06,9/6/2021,1.04,8/8/2021,1.04,6/28/2021,1.02,5/28/2021,1.02,5/7/2021,0.83,4/4/2021,0.8,3/2/2021,0.78,2/12/2021,0.79,1/4/2021,0.79,12/2/2020,0.77,10/27/2020,0.79,9/24/2020,0.77,8/27/2020,0.79,8/23/2020,0.79,7/6/2020,0.79,6/13/2020,0.78,5/29/2020,0.78,5/8/2020
,12/1/2022,10/30/2022,0.67,1.13,,1.07,,1.07,,1.07,,1.08,,1.08,,1.07,,1.06,,1.06,,1.06,,1.02,,1.03,,1.03,,1.05,,1.05,,1.05,,1.03,,1.03,,0.99,,0.99,,0.83,,0.82,,0.81,,0.81,,0.81,,0.79,,0.8,,0.78,,0.78,,0.77,,0.77,,0.76,,0.76,,,,,
,8/31/2022,7/31/2022,0.56,1.03,,1.01,,1.01,,1,,0.99,,0.99,,0.99,,0.98,,0.99,,1,,1.03,,1.03,,1.03,,1,,1,,0.97,,0.97,,0.8,,0.79,,0.78,,0.78,,0.79,,0.78,,0.77,,0.76,,0.74,,0.74,,0.74,,0.73,,0.73,,,,,,,,,,,
,6/1/2022,4/30/2022,0.62,0.99,,0.92,,0.92,,0.92,,0.94,,0.95,,0.95,,0.97,,0.97,,0.97,,0.97,,0.98,,0.94,,0.94,,0.78,,0.76,,0.74,,0.74,,0.74,,0.72,,0.73,,0.73,,0.73,,0.73,,0.73,,0.72,,0.72,,,,,,,,,,,,,,,,,
,3/2/2022,1/29/2022,0.6,0.9,,0.88,,0.88,,0.88,,0.86,,0.86,,0.86,,0.86,,0.86,,0.85,,0.83,,0.83,4/4/2021,0.8,3/2/2021,0.78,2/12/2021,0.79,1/4/2021,0.79,12/2/2020,0.77,10/27/2020,0.79,9/24/2020,0.77,8/27/2020,0.79,8/23/2020,0.79,7/6/2020,0.79,6/13/2020,0.78,5/29/2020,0.78,5/8/2020,,,,,,,,,,,,,,,,,,,,,,
,12/1/2021,10/30/2021,0.65,0.97,,0.88,,0.88,,0.88,,0.86,,0.87,,0.85,,0.83,,0.83,,0.82,,0.81,,0.81,,0.81,,0.79,,0.8,,0.78,,0.78,,0.77,,0.77,,0.76,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
