Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,
9/30/2021,1.98,3/8/2020,1.99,2/6/2020,2.111777778,1/23/2020,2.111777778,,2.114910979,,2.125590433,,,,,,,,,
6/30/2021,1.84,,1.85,,1.927674074,,1.927674074,,1.930534125,,1.917414051,,,,,,,,,
3/31/2021,1.5,,1.63,,1.559466667,,1.559466667,,1.572626113,,1.555844544,,,,,,,,,
12/31/2020,1.82,,1.82,,1.797718519,,1.797718519,,1.778694362,,1.764020927,,,,,,,,,
9/30/2020,1.89,,1.95,,1.95,,1.95,,1.94,,1.89,1.84,1.97,1.75,1.73,1.72,1.71,1.6,,
6/30/2020,1.65,,1.77,,1.78,,1.78,,1.75,,1.69,1.7,1.68,1.69,1.65,1.64,1.66,1.65,1.58,
3/31/2020,1.09,,1.42,,1.44,,1.44,,1.45,,1.42,1.38,1.41,1.39,1.4,1.37,1.38,1.27,1.29,1.32
12/31/2019,1.52,,1.66,,1.66,,1.64,,1.61,1.58,1.63,1.62,1.67,1.65,1.62,1.55,,,,
9/30/2019,1.005449591,,1.29,,1.34,,1.4,1.64,1.67,1.68,1.64,1.62,1.57,1.56,1.47,1.5,1.79,1.64,,
6/28/2019,1.841961853,,1.42,,1.48,,1.5,1.57,1.56,1.55,1.57,1.53,1.46,1.74,1.54,,,,,
3/29/2019,1.163934426,,1.14,,1.16,,1.22,1.23,1.26,1.43,1.36,,,,,,,,,
12/31/2018,1.508196721,,1.56,,1.57,,1.63,1.67,1.46,,,,,,,,,,,
9/28/2018,1.463215259,,1.35,,1.51,,1.79,1.57,1.48,1.28,1.24,1.18,1.25,,,,,,,
6/29/2018,1.466124661,,1.4,,1.7,,1.49,1.43,1.25,1.21,1.19,1.22,,,,,,,,
3/29/2018,0.851351351,,1.31,,1.3,,1.29,1.16,1.14,1.05,1.09,,,,,,,,,
12/29/2017,4.396226415,,1.5,,1.51,,1.35,1.24,1.29,,,,,,,,,,,
9/29/2017,1.067750678,,1.38,,1.2,,1.21,1.16,1.21,1.19,1.26,1.24,1.15,1.17,1.11,1.12,1.2,,,
6/30/2017,1.208108108,,1.18,,1.17,,1.19,1.18,1.22,1.23,1.26,1.11,1.14,1.06,,,,,,
3/31/2017,0.918918919,,1.02,,1.04,,1.07,1.13,1.18,1.16,1.12,1.11,1.01,0.99,,,,,,
12/30/2016,1.589812332,,1.26,,1.24,,1.25,1.27,1.21,1.2,1.18,1.09,1.1,1.17,,,,,,
9/30/2016,1.026246719,,1.17,,1.1,,1.06,1.05,1.01,1.02,1.06,,,,,,,,,
7/1/2016,1.24742268,,1.06,,1.04,,1.03,0.95,0.93,,,,,,,,,,,
4/1/2016,1.099236641,,0.96,,0.91,,0.9,,,,,,,,,,,,,
12/31/2015,1.1525,,0.89,,,,,,,,,,,,,,,,,
10/2/2015,0.627737226,,0.88,,,,,,,,,,,,,,,,,
6/26/2015,0.828502415,,0.92,,,,,,,,,,,,,,,,,
3/27/2015,0.746987952,,0.72,,,,,,,,,,,,,,,,,
12/26/2014,0.742788462,,0.73,,,,,,,,,,,,,,,,,
