CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Adjusted,,12/31/2026,,4.51,11/4/2025,4.39,9/14/2025,4.16,8/5/2025,4.08,6/21/2025,4.08,5/5/2025,4.16,3/27/2025,,,,,,,,,,,,,,,,,,,
,,9/30/2026,,4.62,,4.56,,4.46,,4.33,,4.43,,4.55,,,,,,,,,,,,,,,,,,,,
,,6/30/2026,,4.23,,4.24,,4.16,,4.14,,4.24,,4.25,,,,,,,,,,,,,,,,,,,,
,,3/30/2026,,3.06,,3.08,,3.11,,3.1,,3.05,,3.13,,,,,,,,,,,,,,,,,,,,
,,12/31/2025,,3.88,12/16/2024,3.75,12/16/2024,3.68,12/16/2024,3.66,12/16/2024,3.68,12/16/2024,3.69,12/16/2024,,,,,,,,,,,,,,,,,,,
,10/30/2025,9/30/2025,3.79,3.92,,3.8,,3.85,,3.87,,3.91,,3.95,,,,,,,,,,,,,,,,,,,,
,7/31/2025,6/30/2025,3.83,3.39,,3.35,,3.46,,3.48,,,,,,,,,,,,,,,,,,,,,,,,
,5/1/2025,3/30/2025,2.1,2.21,,2.33,,2.38,,2.52,,,,,,,,,,,,,,,,,,,,,,,,
,2/11/2025,12/31/2024,3.03,3.16,4/7/2024,3.24,4/7/2024,3.29,4/7/2024,3.36,4/7/2024,,,,,,,,,,,,,,,,,,,,,,,
,10/31/2024,9/30/2024,3.81,3.58,,3.29,,3.98,,4.36,,,,,,,,,,,,,,,,,,,,,,,,
