CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,,11/30/2025,,0.95,7/4/2024,0.96,5/17/2024,0.97,3/30/2024,0.93,3/10/2024,0.93,1/28/2024,0.87,1/2/2024,0.87,11/16/2023,0.87,10/7/2023,0.88,8/13/2023,0.87,7/6/2023,0.89,5/15/2023,0.89,4/1/2023,,3/8/2023,0.82,1/28/2023,0.94,12/20/2022,0.94,11/14/2022,0.96,10/11/2022,0.96,10/6/2022,0.99,9/9/2022,1.07,8/5/2022,1.06,7/2/2022,1.07,6/22/2022,1.06,5/16/2022,1.05,4/1/2022,1.05,2/22/2022,,2/21/2022,0.94,,0.95,,0.96,,0.969898305
,,8/30/2025,,0.74,,0.75,,0.75,,0.71,,0.71,,0.71,,0.71,,0.71,,0.72,,0.72,,0.71,,0.74,,,,0.69,,0.73,,0.73,,0.75,,0.75,,0.78,,0.89,,0.9,,0.91,,0.92,,0.91,,0.91,,,,0.81,,0.83,,0.822305085,,
,,5/30/2025,,0.66,,0.65,,0.65,,0.61,,0.61,,0.65,,0.65,,0.65,,0.68,,0.68,,0.63,,0.65,,,,0.56,,0.63,,0.63,,0.64,,0.64,,0.63,,0.66,,0.71,,0.76,,0.76,,0.78,,0.78,,,,0.73,,0.69,,0.69579661,,
,,2/28/2025,,0.68,,0.69,,0.69,,0.58,,0.58,,0.64,,0.64,,0.64,,0.65,,0.65,,0.65,,0.65,,,,0.51,,0.63,,0.62,,0.63,,0.63,,0.67,,0.71,,0.7,,0.7,,0.71,,0.71,,0.71,,,,0.69,,0.67,,0.611457627,,
,,11/30/2024,,0.87,3/10/2024,0.92,3/10/2024,0.93,3/10/2024,0.93,3/10/2024,0.93,1/28/2024,0.87,1/2/2024,0.87,11/16/2023,0.87,10/7/2023,0.88,8/13/2023,0.87,7/6/2023,0.89,5/15/2023,0.89,4/1/2023,,3/8/2023,0.82,1/28/2023,0.94,12/20/2022,0.94,11/14/2022,0.96,10/11/2022,0.96,10/6/2022,0.99,9/9/2022,1.07,8/5/2022,1.06,7/2/2022,1.07,6/22/2022,1.06,5/16/2022,1.05,4/1/2022,1.05,2/22/2022,,2/21/2022,0.94,,0.95,,0.96,,0.969898305
,,8/30/2024,,0.68,,0.71,,0.71,,0.71,,0.71,,0.71,,0.71,,0.71,,0.72,,0.72,,0.71,,0.74,,,,0.69,,0.73,,0.73,,0.75,,0.75,,0.78,,0.89,,0.9,,0.91,,0.92,,0.91,,0.91,,,,0.81,,0.83,,0.822305085,,
,6/27/2024,5/30/2024,0.68,0.69,,0.6,,0.6,,0.61,,0.61,,0.65,,0.65,,0.65,,0.68,,0.68,,0.63,,0.65,,,,0.56,,0.63,,0.63,,0.64,,0.64,,0.63,,0.66,,0.71,,0.76,,0.76,,0.78,,0.78,,,,0.73,,0.69,,0.69579661,,
,3/26/2024,2/28/2024,0.62,0.63,,0.58,,0.58,,0.64,,0.64,,0.64,,0.65,,0.65,,0.65,,0.65,,,,0.51,,0.63,,0.62,,0.63,,0.63,,0.67,,0.71,,0.7,,0.7,,0.71,,0.71,,0.71,,,,0.69,,0.67,,0.611457627,,,,,,
,1/25/2024,11/30/2023,0.81,0.85,,0.8,,0.8,,0.8,,0.81,,0.81,,0.8,,0.8,,0.83,,0.82,1/28/2023,0.94,12/20/2022,0.94,11/14/2022,0.96,10/11/2022,0.96,10/6/2022,0.99,9/9/2022,1.07,8/5/2022,1.06,7/2/2022,1.07,6/22/2022,1.06,5/16/2022,1.05,4/1/2022,1.05,2/22/2022,,2/21/2022,0.94,,0.95,,0.96,,0.969898305,,,,,,,,
,10/3/2023,8/30/2023,0.63,0.65,,0.66,,0.66,,0.67,,0.67,,0.69,,0.69,,0.73,,0.73,,0.75,,0.75,,0.78,,0.89,,0.9,,0.91,,0.92,,0.91,,0.91,,,,0.81,,0.83,,0.822305085,,,,,,,,,,,,,,,,
