CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,
N,,12/31/2026,,0.3,1/24/2026,0.31,12/23/2025,0.28,11/8/2025,0.27,9/17/2025,0.27,8/13/2025,0.28,7/23/2025,0.28,6/23/2025
,,9/30/2026,,0.22,,0.21,,0.21,,0.19,,0.19,,0.24,,0.24,
,,6/30/2026,,0.19,,0.2,,0.2,,0.16,,0.16,,0.19,,0.19,
,,3/30/2026,,0.37,,0.31,,0.29,,0.3,,0.3,,0.24,,0.24,
,,12/31/2025,,0.2,2/20/2025,0.22,2/20/2025,0.22,2/20/2025,0.24,2/20/2025,0.24,2/20/2025,0.21,2/20/2025,0.21,2/20/2025
,11/4/2025,9/30/2025,0.26,0.26,,0.17,,0.17,,0.15,,0.15,,,,,
,8/5/2025,6/30/2025,0.14,0.14,,0.09,,0.09,,0.11,,,,,,,
,5/6/2025,3/30/2025,0.49,0.49,,0.26,,0.2,,0.2,,,,,,,
,2/18/2025,12/31/2024,0.29,0.29,4/5/2024,0.23,4/5/2024,0.22,4/5/2024,0.21,4/5/2024,,,,,,
,11/5/2024,9/30/2024,0.13,0.13,,0.18,,0.18,,0.18,,,,,,,
,8/6/2024,6/30/2024,0.11,0.11,,0.02,,0.05,,0.12,,,,,,,
,5/7/2024,3/30/2024,0.31,0.31,,0.08,,0.1,,0.08,,,,,,,
,2/14/2024,12/31/2023,0.32,0.32,3/24/2023,0.1,3/24/2023,0.1,3/24/2023,0.11,3/24/2023,,,,,,
,11/7/2023,9/30/2023,-0.09,-0.09,,-0.11,,-0.11,,-0.1,,,,,,,
,8/1/2023,6/30/2023,0.03,0.03,,-0.1,,-0.1,,-0.1,,,,,,,
