CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Adjusted Diluted,,8/30/2027,,6.22,1/11/2026,6.25,11/13/2025,6.27,10/4/2025,5.21,7/25/2025,5.3,6/27/2025,5.39,5/20/2025,,,,,,
,,5/30/2027,,5.81,,5.89,,5.87,,5.08,,5.11,,5.01,,,,,,,
,,2/28/2027,,4.7,,4.86,,4.88,,4.22,,4.15,,4.12,,,,,,,
,,11/30/2026,,5.09,,5.04,,5.19,,4.43,,4.45,,4.42,,,,,,,
,,8/30/2026,,5.74,8/28/2025,5.73,8/28/2025,5.74,8/28/2025,5.21,7/25/2025,5.3,6/27/2025,5.39,5/20/2025,,,,,,
,,5/30/2026,,5.31,,5.36,,5.35,,5.08,,5.11,,5.01,,,,,,,
,,2/28/2026,,4.08,,4.29,,4.3,,4.22,,4.15,,4.12,,,,,,,
,1/8/2026,11/30/2025,3.82,4.69,,4.56,,4.65,,4.43,,4.45,,4.42,,,,,,,
,10/1/2025,8/30/2025,3.61,5.2,11/12/2024,4.75,11/12/2024,4.92,11/12/2024,4.96,11/12/2024,,,,,,,,,,
,6/26/2025,5/30/2025,3.12,5.12,,4.29,,4.33,,4.64,,,,,,,,,,,
,4/3/2025,2/28/2025,2.45,3.73,,3.73,,3.7,,3.61,,,,,,,,,,,
,1/7/2025,11/30/2024,3.35,3.97,,3.87,,3.87,,3.92,,,,,,,,,,,
,10/1/2024,8/30/2024,3.77,4.3,1/2/2024,4.25,1/2/2024,4.25,1/2/2024,4.24,1/2/2024,,,,,,,,,,
,6/27/2024,5/30/2024,3.62,4.15,,4.12,,4.08,,3.83,,,,,,,,,,,
