Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,
6/30/2021,0.43,3/3/2020,0.43,2/2/2020,0.43,1/23/2020,0.43,,0.316258993,,0.455072464,0.443309353,,
3/31/2021,0.4,,0.41,,0.4,,0.4,,0.384028777,,0.420942029,0.409208633,,
12/31/2020,0.38,,0.39,,0.39,,0.39,,0.316258993,,0.386811594,0.38647482,,
9/30/2020,0.36,,0.36,,0.36,,0.36,,0.4,,0.318550725,0.329640288,,
6/30/2020,0.38,,0.4,,0.4,,0.4,,0.37,,0.4,0.39,0.47,
3/31/2020,0.34,,0.37,,0.37,,0.37,,0.34,,0.37,0.36,0.37,0.43
12/31/2019,0.06,,0.32,,0.32,,0.28,,0.34,0.36,0.41,,,
9/30/2019,-0.032950081,,0.28,,0.29,,0.32,0.39,,,,,,
6/28/2019,0.085069237,,0.33,,0.4,,0.41,0.37,,,,,,
3/29/2019,0.019795796,,0.3,,0.37,,0.33,,,,,,,
12/31/2018,0.143007739,,0.35,,0.34,,,,,,,,,
9/28/2018,-0.023129834,,0.33,,0.32,,,,,,,,,
6/29/2018,0.284824883,,0.3,,0.28,,0.3,,,,,,,
3/29/2018,-0.026129133,,0.25,,0.28,,,,,,,,,
12/29/2017,0.07848719,,0.26,,0.25,,,,,,,,,
9/29/2017,-0.112403923,,0.25,,0.24,,0.23,,,,,,,
6/30/2017,-0.150133977,,0.25,,0.26,,0.37,,,,,,,
3/31/2017,-0.174476492,,0.22,,0.21,,0.23,0.34,,,,,,
12/30/2016,-0.273928354,,0.18,,0.19,,0.31,0.41,0.46,,,,,
9/30/2016,-0.276963627,,0.19,,0.3,,0.42,0.43,,,,,,
6/30/2016,-0.156156947,,0.3,,0.41,,0.44,0.43,,,,,,
3/31/2016,-0.111020708,,0.38,,0.4,,,,,,,,,
12/31/2015,-0.138693281,,0.35,,0.36,,0.35,0.38,0.4,,,,,
9/30/2015,-0.111909273,,0.34,,0.37,,0.4,,,,,,,
6/30/2015,-0.559205421,,0.33,,0.36,,0.44,,,,,,,
3/31/2015,-0.207351306,,0.3,,0.33,,0.38,0.2,,,,,,
12/31/2014,-0.051961122,,0.36,,0.38,,0.37,0.16,,,,,,
