CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Y,,1/30/2027,,0.6,6/7/2025,0.59,5/21/2025,0.6,4/15/2025,0.6,3/10/2025,0.52,1/6/2025,0.52,1/5/2025,,,,,,,,,,,,,,
,,10/30/2026,,0.58,,0.58,,0.59,,0.59,,0.51,,0.51,,,,,,,,,,,,,,,
,,7/30/2026,,0.56,,0.55,,0.56,,0.56,,0.49,,0.49,,,,,,,,,,,,,,,
,,4/30/2026,,0.52,,0.52,,0.53,,0.52,,0.45,,0.45,,,,,,,,,,,,,,,
,,1/30/2026,,0.51,1/6/2025,0.5,1/6/2025,0.5,1/6/2025,0.5,1/6/2025,0.52,1/6/2025,0.52,1/5/2025,,,,,,,,,,,,,,
,,10/30/2025,,0.5,,0.49,,0.49,,0.49,,0.51,,0.51,,,,,,,,,,,,,,,
,,7/30/2025,,0.46,,0.47,,0.47,,0.47,,0.49,,0.49,,,,,,,,,,,,,,,
,6/4/2025,4/30/2025,0.41,0.41,,0.43,,0.44,,0.43,,0.45,,0.45,,,,,,,,,,,,,,,
,3/5/2025,1/30/2025,0.43,0.43,,0.43,,0.43,,,,,,,,,,,,,,,,,,,,,
,12/3/2024,10/30/2024,0.42,0.42,,0.42,,,,,,,,,,,,,,,,,,,,,,,
,9/4/2024,7/30/2024,0.4,0.4,,0.4,,,,,,,,,,,,,,,,,,,,,,,
,5/29/2024,4/30/2024,0.4,0.4,,0.4,,,,,,,,,,,,,,,,,,,,,,,
,3/6/2024,1/30/2024,0.37,0.37,,0.37,,,,,,,,,,,,,,,,,,,,,,,
,12/5/2023,10/30/2023,0.31,0.31,,0.31,,,,,,,,,,,,,,,,,,,,,,,
,9/6/2023,7/30/2023,0.32,0.32,,0.32,,,,,,,,,,,,,,,,,,,,,,,
,5/31/2023,4/30/2023,0.34,0.34,,0.34,,,,,,,,,,,,,,,,,,,,,,,
,3/1/2023,1/29/2023,0.34,0.34,,0.34,,,,,,,,,,,,,,,,,,,,,,,
,12/7/2022,10/30/2022,0.31,0.31,,0.31,,,,,,,,,,,,,,,,,,,,,,,
,9/7/2022,7/31/2022,0.27,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,
,6/1/2022,4/30/2022,0.27,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,
,3/2/2022,1/29/2022,0.22,0.22,,0.22,,,,,,,,,,,,,,,,,,,,,,,
,12/1/2021,10/30/2021,0.3,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,,
