CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,,,,,,,,,,,,,
Y,,6/30/2021,-0.2,4/3/2021,-0.2,3/1/2021,0.54,1/28/2021,0.24,9/25/2020,0.24,8/30/2020,0.08,7/29/2020,0.08,6/18/2020,0.41,5/9/2020,0.656058394,4/4/2020,0.656058394,3/3/2020,0.656058394,2/2/2020,0.656058394,1/18/2020,0.656058394,,0.691304348
,,3/31/2021,-0.52,,-0.52,,0.55,,0.6,,0.6,,0.22,,0.22,,1.14,,0.676885645,,0.676885645,,0.676885645,,0.676885645,,0.676885645,,0.665217391
,1/27/2021,12/31/2020,1.22,,3.08,,3.08,,2.04,,2.04,,2.4,,2.259756691,,2.259756691,,2.259756691,,2.259756691,,2.259756691,,2.92173913,,,,
,10/28/2020,9/30/2020,-0.41,,0.36,,0.36,,-0.88,,-0.88,,-2.2,,0.68325888,,0.68325888,,0.68325888,,0.68325888,,0.68325888,,0.143478261,,,,
,7/29/2020,6/30/2020,-1.62,,-1.77,,-0.44,,1.2,,1.2,,0.84,,0.84,,0.84,,1.29,,0.53,0.56,0.46,0.53,,,,,
,5/5/2020,3/31/2020,-3.36,,0.92,,0.92,,0.67,,0.67,,0.67,,0.65,,0.51,0.45,0.55,0.65,,,,,,,,,
,1/29/2020,12/31/2019,6.81,,2.24,,2.24,,2.17,,2.24,2.13,1.9,2.63,,,,,,,,,,,,,,,
,10/30/2019,9/30/2019,0.656120093,,0.1,,0.11,,0.1,-0.52,-0.46,,,,,,,,,,,,,,,,,,
,7/31/2019,6/28/2019,1.090777216,,0.51,,0.57,,0.29,,,,,,,,,,,,,,,,,,,,
,5/1/2019,3/29/2019,0.20720428,,0.4,,0.57,,0.38,,,,,,,,,,,,,,,,,,,,
,1/30/2019,12/31/2018,2.168853617,,2.38,,1.59,,,,,,,,,,,,,,,,,,,,,,
,10/31/2018,9/28/2018,-0.47400536,,-0.22,,-0.04,,,,,,,,,,,,,,,,,,,,,,
,8/1/2018,6/29/2018,-0.236919811,,0.09,,0.23,,,,,,,,,,,,,,,,,,,,,,
,5/2/2018,3/29/2018,-0.073720826,,0.17,,0.14,,,,,,,,,,,,,,,,,,,,,,
,1/31/2018,12/29/2017,0.926234711,,0.87,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2017,9/29/2017,0.722593188,,-0.34,,,,,,,,,,,,,,,,,,,,,,,,
,7/26/2017,6/30/2017,-1.112399575,,-0.16,,0.13,,0.12,0.18,0.39,0.99,-0.58,,,,,,,,,,,,,,,,
,4/26/2017,3/31/2017,-1.380364094,,-0.58,,-0.64,,-0.29,0.06,0.33,0.74,,,,,,,,,,,,,,,,,
,1/25/2017,12/30/2016,1.074016865,,1.17,,1.15,,1.49,2.5,2.33,1.73,,,,,,,,,,,,,,,,,
,10/26/2016,9/30/2016,-0.921832132,,-0.19,,-0.08,,0.63,0.61,0.59,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.513085141,,0.37,,0.81,,0.59,0.68,0.62,0.6,0.68,0.38,,,,,,,,,,,,,,,
,,3/31/2016,-1.064424056,,0.39,,0.38,,0.46,0.48,0.72,1.67,,,,,,,,,,,,,,,,,
,,12/31/2015,1.800803021,,1.67,,1.65,,1.66,2.08,2.09,2.19,2.11,2.05,1.88,0.47,,,,,,,,,,,,,
,,9/30/2015,0.29849582,,0.47,,0.52,,0.8,0.85,0.89,0.92,0.89,,,,,,,,,,,,,,,,
,,6/30/2015,-0.112294685,,0.39,,0.63,,0.64,0.74,0.73,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.251926804,,0.41,,0.42,,0.43,0.56,0.58,1.65,,,,,,,,,,,,,,,,,
,,12/31/2014,1.894190482,,1.62,,1.79,,1.67,1.66,0.46,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.714655499,,0.57,,0.58,,0.56,0.61,0.35,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.030698463,,0.53,,0.4,,0.48,0.46,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.040020968,,0.59,,0.6,,0.65,1,,,,,,,,,,,,,,,,,,,
,,12/31/2013,1.182992895,,1.23,,0.16,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.011985867,,0.38,,0.35,,0.07,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.066865854,,0.33,,0.32,,0.09,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.170550688,,0.36,,0.37,,0.41,0.49,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.664640998,,0.75,,0.77,,-0.02,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,-0.050364829,,0.24,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.098862278,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.007272255,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.820002928,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.193148084,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.321958157,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.514739087,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.75407139,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.238352181,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.256966998,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.354064755,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.59440393,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.289657573,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.332475274,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.328602884,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.419177353,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.179791379,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.22478772,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.248965791,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,
