CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2026,,0.16,6/23/2025,0.16,5/10/2025,0.14,4/8/2025,0.25,2/27/2025,0.13,2/3/2025,0.17,12/18/2024,0.15,11/8/2024,0.11,11/5/2024,0.12,9/25/2024,0.14,8/9/2024,0.14,6/25/2024,0.18,5/11/2024,0.11,4/27/2024,0.11,3/10/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,5/21/2022,3.82,4/20/2022,3.82,4/3/2022,,2/28/2022,3.55,1/26/2022,3.73,12/28/2021,3.89,11/23/2021,4.15,10/22/2021,4.34,9/22/2021,4.34,8/19/2021,4.49,7/19/2021,4.49,6/22/2021,4.49,5/23/2021,4.49,4/22/2021,4.49,4/19/2021
,,9/30/2026,,0.13,,0.13,,0.1,,0.23,,0.13,,0.15,,0.14,,0.13,,0.13,,0.15,,0.15,,0.13,,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,,2.59,,2.59,,,,2.36,,2.48,,2.52,,2.76,,2.91,,2.91,,2.98,,2.98,,2.98,,2.98,,2.98,
,,6/30/2026,,0.15,,0.15,,0.08,,0.23,,0.13,,0.14,,0.13,,0.15,,0.13,,0.13,,0.14,,0.13,,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,,2.46,,2.46,,,,2.38,,2.58,,2.6,,2.72,,2.79,,2.79,,2.71,,2.71,,2.71,,2.71,,2.71,
,,3/30/2026,,0.12,,0.12,,0.08,,0.18,,0.09,,0.09,,0.1,,0.11,,0.1,,0.12,,0.13,,0.13,,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,,1.71,,1.71,,,,1.54,,1.92,,2.01,,1.98,,2.04,,2.04,,2.1,,2.1,,2.1,,2.1,,2.1,
,,12/31/2025,,0.09,2/3/2025,0.1,2/3/2025,0.08,2/3/2025,0.12,2/3/2025,0.13,2/3/2025,0.17,12/18/2024,0.15,11/8/2024,0.11,11/5/2024,0.12,9/25/2024,0.14,8/9/2024,0.14,6/25/2024,0.18,5/11/2024,0.11,4/27/2024,0.11,3/10/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,5/21/2022,3.82,4/20/2022,3.82,4/3/2022,,2/28/2022,3.55,1/26/2022,3.73,12/28/2021,3.89,11/23/2021,4.15,10/22/2021,4.34,9/22/2021,4.34,8/19/2021,4.49,7/19/2021,4.49,6/22/2021,4.49,5/23/2021,4.49,4/22/2021,4.49,4/19/2021
,,9/30/2025,,0.07,,0.07,,0.09,,0.12,,0.13,,0.15,,0.14,,0.13,,0.13,,0.15,,0.15,,0.13,,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,,2.59,,2.59,,,,2.36,,2.48,,2.52,,2.76,,2.91,,2.91,,2.98,,2.98,,2.98,,2.98,,2.98,
,,6/30/2025,,0.07,,0.07,,0.07,,0.11,,0.13,,0.14,,0.13,,0.15,,0.13,,0.13,,0.14,,0.13,,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,,2.46,,2.46,,,,2.38,,2.58,,2.6,,2.72,,2.79,,2.79,,2.71,,2.71,,2.71,,2.71,,2.71,
,5/6/2025,3/30/2025,0.06,0.06,,0.06,,0.08,,0.09,,0.09,,0.1,,0.11,,0.1,,0.12,,0.13,,0.13,,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,,1.71,,1.71,,,,1.54,,1.92,,2.01,,1.98,,2.04,,2.04,,2.1,,2.1,,2.1,,2.1,,2.1,,,
,2/25/2025,12/31/2024,0.08,0.04,4/27/2024,0.01,4/27/2024,0.01,4/27/2024,0.02,4/27/2024,0.02,4/27/2024,0.02,4/27/2024,0.01,4/27/2024,0.04,4/27/2024,0.09,4/27/2024,0.11,4/27/2024,0.11,3/10/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,5/21/2022,3.82,4/20/2022,3.82,4/3/2022,,2/28/2022,3.55,1/26/2022,3.73,12/28/2021,3.89,11/23/2021,4.15,10/22/2021,4.34,9/22/2021,4.34,8/19/2021,4.49,7/19/2021,4.49,6/22/2021,4.49,5/23/2021,4.49,4/22/2021,4.49,4/19/2021,,,,,,
,11/5/2024,9/30/2024,0.04,0.04,,0.01,,0.01,,0.01,,0.03,,0.07,,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,,2.59,,2.59,,,,2.36,,2.48,,2.52,,2.76,,2.91,,2.91,,2.98,,2.98,,2.98,,2.98,,2.98,,,,,,,,,,,,,
