Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,12/31/2020,0.97,4/16/2020,1.08,3/14/2020,1.12,3/8/2020,1.12,,1.14,,1.28,,1.321019108,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2020,0.99,,1.07,,1.1,,1.1,,1.12,,1.25,,1.288535032,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2020,0.92,,1.04,,1.06,,1.06,,1.08,,1.2,,1.24522293,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2020,0.97,,1.03,,1.03,,1.03,,0.98,,1.07,,1.212738854,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2020,12/31/2019,1.06,,1.06,,1.11,,1.19,,1.22,,1.24,,1.25,,1.28,,1.27,,,,,,,,,,,,,,,,,,,,
10/16/2019,9/30/2019,1.07,,1.07,,1.09,,1.16,,1.19,,1.22,,1.23,,1.25,,1.26,,,,,,,,,,,,,,,,,,,,
7/17/2019,6/28/2019,1.07746933,,1.12,,1.15,,1.16,,1.17,,1.2,,1.21,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2019,3/29/2019,0.977212184,,1.12,,1.13,,1.14,,1.13,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/2019,12/31/2018,1.169931736,,1.14,,1.15,,1.13,,1.14,,1.16,,1.17,,1.14,,1.01,,1,,0.99,,1.02,,,,,,,,,,,,,,
10/17/2018,9/28/2018,1.130211916,,1.11,,1.13,,1.14,,1.12,,0.98,,0.97,,0.96,,0.95,,0.97,,,,,,,,,,,,,,,,,,
7/18/2018,6/29/2018,1.082635182,,1.08,,1.09,,1.07,,0.94,,0.92,,0.95,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2018,3/29/2018,1.038036337,,1.05,,1.03,,0.91,,0.9,,0.89,,0.9,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2018,12/29/2017,0.453445685,,0.88,,0.85,,0.83,,0.82,,0.79,,0.78,,0.79,,0.78,,,,,,,,,,,,,,,,,,,,
10/18/2017,9/29/2017,0.869987054,,0.83,,0.81,,0.8,,0.79,,0.77,,0.75,,0.76,,0.77,,0.76,,,,,,,,,,,,,,,,,,
7/19/2017,6/30/2017,0.809110328,,0.77,,0.75,,0.74,,0.73,,0.74,,0.73,,0.72,,,,,,,,,,,,,,,,,,,,,,
4/18/2017,3/31/2017,0.788027972,,0.74,,0.72,,0.71,,0.7,,0.71,,0.7,,0.69,,0.71,,,,,,,,,,,,,,,,,,,,
1/18/2017,12/30/2016,0.751213562,,0.71,,0.7,,0.71,,0.7,,0.69,,0.68,,0.69,,,,,,,,,,,,,,,,,,,,,,
10/19/2016,9/30/2016,0.717315861,,0.69,,0.7,,0.69,,0.67,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2016,6/30/2016,0.706340941,,0.67,,0.66,,0.64,,0.65,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2016,3/31/2016,0.68384465,,0.65,,0.62,,0.63,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
