Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,12/31/2020,0.74,3/23/2020,0.74,2/13/2020,0.72,2/10/2020,0.72,1/11/2020,0.77,9/29/2019,0.79,,0.79,,0.8,,0.82,,0.789746377
,9/30/2020,0.78,,0.8,,0.81,,0.81,,0.82,,0.86,,0.86,,0.88,,0.83423913,,
,6/30/2020,0.72,,0.75,,0.75,,0.76,,0.78,,0.78,,0.78,,0.79,,0.81,,0.7675
,3/31/2020,0.65,,0.65,,0.65,,0.65,,0.68,,0.67,,0.67,,0.68,,0.7,,0.667391304
,12/31/2019,0.5,,0.62,,0.62,,0.65,,0.68,,0.68,,0.69,,0.71,,0.72,0.71,0.72
,9/30/2019,0.6,,0.71,,0.73,,0.73,,0.74,,0.75,,0.77,0.78,,,,,
,6/28/2019,0.562763122,,0.69,,0.7,,0.69,,0.7,,,,,,,,,,
,3/29/2019,0.47193738,,0.6,,0.61,,,,,,,,,,,,,,
,12/31/2018,0.500949779,,0.5,,0.61,,0.62,,,,,,,,,,,,
,9/28/2018,0.5705219029999999,,0.67,,0.69,,0.67,,,,,,,,,,,,
,6/29/2018,0.52465076,,0.62,,0.66,,,,,,,,,,,,,,
,3/29/2018,0.47193738,,0.55,,0.54,,,,,,,,,,,,,,
,12/29/2017,1.190748405,,0.49,,0.52,,0.493333333,,0.566666667,,0.57,,,,,,,,
,9/29/2017,0.46624005399999996,,0.57,,0.546666667,,0.56,,0.6,,,,,,,,,,
,6/30/2017,0.468199576,,0.53,,0.513333333,,0.533333333,,,,,,,,,,,,
,3/31/2017,0.05636157,,0.46,,0.433333333,,0.47333333299999997,,,,,,,,,,,,
,12/30/2016,0.324341471,,0.433333333,,0.42666666700000005,,0.47333333299999997,,0.35333333299999997,,0.36666666700000006,0.373333333,,,,,,,
,9/30/2016,0.33611588600000003,,0.47333333299999997,,0.493333333,,0.4,,0.40666666700000004,,,,,,,,,,
,6/30/2016,0.130353303,,0.34666666700000004,,0.373333333,,0.36,,0.36666666700000006,,0.373333333,,,,,,,,
,3/31/2016,-0.012259161999999999,,0.6333333329999999,,0.306666667,,0.32,,,,,,,,,,,,
,12/31/2015,0.28184919399999997,,0.653333333,,0.313333333,,0.32,,0.34,,0.36666666700000006,,,,,,,,
,9/30/2015,-1.389952702,,0.35333333299999997,,0.38,,0.42,,0.41333333299999997,,,,,,,,,,
,6/30/2015,0.307514,,0.333333333,,0.36,,0.386666667,,0.39333333299999995,,,,,,,,,,
,3/31/2015,0.27779996100000004,,0.306666667,,0.32666666699999997,,0.32,,,,,,,,,,,,
,12/31/2014,0.324547865,,0.32666666699999997,,0.333333333,,0.32666666699999997,,0.333333333,,0.36,,,,,,,,
,9/30/2014,0.32103876,,0.36,,0.36666666700000006,,0.373333333,,0.36666666700000006,,0.373333333,0.38,0.34,,,,,,
,6/30/2014,0.334613951,,0.34666666700000004,,0.34,,0.34666666700000004,,0.35333333299999997,,0.26666666699999997,,,,,,,,
,3/31/2014,0.262012615,,0.273333333,,0.286666667,,,,,,,,,,,,,,
,12/31/2013,0.264904944,,0.286666667,,0.34,,,,,,,,,,,,,,
,9/30/2013,0.325641901,,0.34,,0.34666666700000004,,0.29333333300000003,,,,,,,,,,,,
,6/28/2013,0.23622850899999998,,0.29333333300000003,,0.3,,0.22,,,,,,,,,,,,
,3/28/2013,0.223590782,,0.22,,0.273333333,,0.26666666699999997,,0.253333333,,,,,,,,,,
,12/28/2012,0.19397790899999998,,0.253333333,,0.233333333,,0.246666667,,,,,,,,,,,,
,9/28/2012,0.272861676,,0.253333333,,,,,,,,,,,,,,,,
,6/29/2012,0.22799223300000002,,,,,,,,,,,,,,,,,,
,3/30/2012,0.180094098,,,,,,,,,,,,,,,,,,
,12/30/2011,0.21942161699999999,,,,,,,,,,,,,,,,,,
,9/30/2011,0.272861676,,,,,,,,,,,,,,,,,,
,6/30/2011,0.259023715,,,,,,,,,,,,,,,,,,
,3/31/2011,0.212928808,,,,,,,,,,,,,,,,,,
,12/31/2010,0.21436314,,,,,,,,,,,,,,,,,,
,9/30/2010,0.23398071899999998,,,,,,,,,,,,,,,,,,
,6/30/2010,0.17250191899999998,,,,,,,,,,,,,,,,,,
,3/31/2010,0.155766695,,,,,,,,,,,,,,,,,,
,12/31/2009,0.129294221,,,,,,,,,,,,,,,,,,
,9/30/2009,0.190139064,,,,,,,,,,,,,,,,,,
,6/30/2009,0.167356667,,,,,,,,,,,,,,,,,,
,3/31/2009,0.12095255199999999,,,,,,,,,,,,,,,,,,
,12/31/2008,0.17381444699999998,,,,,,,,,,,,,,,,,,
,9/30/2008,0.183356342,,,,,,,,,,,,,,,,,,
,6/30/2008,0.17186124100000003,,,,,,,,,,,,,,,,,,
,3/31/2008,0.146666667,,,,,,,,,,,,,,,,,,
,12/31/2007,0.146666667,,,,,,,,,,,,,,,,,,
,9/28/2007,0.182222222,,,,,,,,,,,,,,,,,,
,6/29/2007,0.16,,,,,,,,,,,,,,,,,,
,3/30/2007,0.14222222199999998,,,,,,,,,,,,,,,,,,
,12/29/2006,0.128888889,,,,,,,,,,,,,,,,,,
,9/29/2006,0.13777777800000002,,,,,,,,,,,,,,,,,,
,6/30/2006,0.12,,,,,,,,,,,,,,,,,,
,3/31/2006,0.09777777800000001,,,,,,,,,,,,,,,,,,
,12/30/2005,0.177777778,,,,,,,,,,,,,,,,,,
