CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Adjusted,,12/31/2026,,7.8,12/14/2025,8.31,11/3/2025,8.58,9/9/2025,8.62,8/4/2025,8.63,6/20/2025,8.87,5/5/2025,,,,,,,,,,,
,,9/30/2026,,8.01,,8.32,,8.45,,8.59,,8.63,,8.78,,,,,,,,,,,,
,,6/30/2026,,7.29,,7.79,,7.93,,7.8,,7.9,,8.1,,,,,,,,,,,,
,,3/30/2026,,7.27,,7.64,,8.18,,8.16,,8.11,,7.44,,,,,,,,,,,,
,,12/31/2025,,7.88,12/13/2024,7.98,12/13/2024,8.08,12/13/2024,7.91,12/13/2024,7.93,12/13/2024,8.16,12/13/2024,,,,,,,,,,,
,10/30/2025,9/30/2025,6.98,7.83,,7.65,,7.79,,7.89,,7.94,,,,,,,,,,,,,,
,7/31/2025,6/30/2025,5.71,7.2,,7.14,,7.17,,7.17,,,,,,,,,,,,,,,,
,5/2/2025,3/30/2025,4.85,6.74,,6.35,,6.39,,6.62,,,,,,,,,,,,,,,,
,1/30/2025,12/31/2024,5.13,6.64,3/30/2024,7.98,3/30/2024,8.11,3/30/2024,7.93,3/30/2024,,,,,,,,,,,,,,,
,10/31/2024,9/30/2024,2.63,7.51,,7.22,,7.57,,7.77,,,,,,,,,,,,,,,,
,8/1/2024,6/30/2024,5.45,6.72,,6.41,,6.67,,6.93,,,,,,,,,,,,,,,,
,5/2/2024,3/30/2024,-0.97,6.47,,6.21,,6.27,,6.37,,,,,,,,,,,,,,,,
,2/2/2024,12/31/2023,3.49,6.54,4/24/2023,6.54,4/24/2023,6.56,4/24/2023,6.61,4/24/2023,,,,,,,,,,,,,,,
,11/2/2023,9/30/2023,4.74,6.77,,6.67,,6.78,,6.95,,,,,,,,,,,,,,,,
,8/3/2023,6/30/2023,4.92,6.13,,6.03,,6.2,,6.26,,,,,,,,,,,,,,,,
,5/5/2023,3/30/2023,4.24,5.41,,5.24,,5.18,,5.88,,,,,,,,,,,,,,,,
,2/3/2023,12/31/2022,3.91,4.96,,4.86,,4.86,,4.98,,,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,8.97,6.04,,5.71,,5.71,,5.7,,,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,4.9,6.22,,5.48,,5.48,,5.58,,,,,,,,,,,,,,,,
,5/6/2022,3/31/2022,3.73,6.01,,5.17,,5.17,,5.19,,,,,,,,,,,,,,,,
,2/3/2022,12/31/2021,3.39,4.77,,4.71,,4.71,,5.02,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,4.8,5.73,,5.24,,5.45,,5.52,,,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,4.25,5.24,,4.96,,4.97,,4.92,,,,,,,,,,,,,,,,
,5/7/2021,3/31/2021,3.3,4.73,,4.38,,4.43,,5.11,,,,,,,,,,,,,,,,
,2/4/2021,12/31/2020,11.45,3.51,,3.67,,3.66,,3.77,4/8/2020,,,,,,,,,,,,,,,
