Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,,
,6/30/2021,0.64,4/14/2020,0.75,3/13/2020,0.77,3/8/2020,0.77,,0.797662338,,,,,,,,,,
,3/31/2021,0.73,,0.86,,0.95,,0.95,,1.056363636,,,,,,,,,,
,12/31/2020,0.64,,0.76,,0.74,,0.74,,0.743766234,,,,,,,,,,
,9/30/2020,0.61,,0.71,,0.71,,0.71,,0.722207792,,,,,,,,,,
,6/30/2020,0.52,,0.72,,0.74,,0.74,,0.77,,0.79,,0.8,,0.83,,,,
,3/31/2020,0.89,,0.94,,0.9,,0.9,,0.98,,1,,1.1,,1.12,,1.1,,1.12
1/29/2020,12/31/2019,0.69,,0.69,,0.75,,0.78,,0.79,,0.8,,,,,,,,
10/29/2019,9/30/2019,0.66,,0.67,,0.69,,0.74,,0.78,,0.75,,,,,,,,
7/30/2019,6/28/2019,0.658020605,,0.66,,0.71,,0.72,,0.75,,0.76,,,,,,,,
4/30/2019,3/29/2019,0.629066612,,0.79,,0.83,,0.94,,0.95,,0.97,,0.98,,,,,,
1/29/2019,12/31/2018,0.619626276,,0.63,,0.64,,0.72,,0.7,,,,,,,,,,
10/24/2018,9/28/2018,0.580267044,,0.61,,0.67,,0.68,,,,,,,,,,,,
8/7/2018,6/29/2018,0.57742175,,0.61,,0.62,,0.64,,,,,,,,,,,,
4/26/2018,3/29/2018,0.798430137,,0.79,,0.81,,0.77,,0.75,,,,,,,,,,
1/30/2018,12/29/2017,0.485963286,,0.53,,0.56,,0.57,,,,,,,,,,,,
10/25/2017,9/29/2017,0.496670962,,0.5,,0.49,,0.52,,0.51,,0.52,,,,,,,,
7/27/2017,6/30/2017,0.499792869,,0.5,,0.53,,0.52,,,,,,,,,,,,
4/25/2017,3/31/2017,0.630847844,,0.63,,,,,,,,,,,,,,,,
1/30/2017,12/30/2016,0.496781298,,0.49,,,,,,,,,,,,,,,,
10/27/2016,9/30/2016,0.44620371,,0.46,,,,,,,,,,,,,,,,
,6/30/2016,0.459869136,,0.46,,,,,,,,,,,,,,,,
,3/31/2016,0.555725995,,0.56,,,,,,,,,,,,,,,,
,12/31/2015,0.435664176,,0.42,,,,,,,,,,,,,,,,
,9/30/2015,0.399165771,,0.38,,,,,,,,,,,,,,,,
,6/30/2015,0.385832279,,0.35,,,,,,,,,,,,,,,,
,3/31/2015,0.336394642,,0.32,,,,,,,,,,,,,,,,
,12/31/2014,0.316013944,,0.3,,,,,,,,,,,,,,,,
,9/30/2014,0.299145331,,0.28,,,,,,,,,,,,,,,,
,6/30/2014,0.271507823,,0.25,,,,,,,,,,,,,,,,
,3/31/2014,0.25,,0.24,,,,,,,,,,,,,,,,
,12/31/2013,0.2275,,0.23,,,,,,,,,,,,,,,,
,9/30/2013,0.2125,,0.85,,,,,,,,,,,,,,,,
,6/28/2013,0.195,,,,,,,,,,,,,,,,,,
,3/28/2013,0.185,,,,,,,,,,,,,,,,,,
,12/31/2012,0.175,,,,,,,,,,,,,,,,,,
,9/28/2012,0.1675,,,,,,,,,,,,,,,,,,
,6/29/2012,0.16,,,,,,,,,,,,,,,,,,
,3/30/2012,0.145,,,,,,,,,,,,,,,,,,
,12/30/2011,0.135,,,,,,,,,,,,,,,,,,
,9/30/2011,0.145,,,,,,,,,,,,,,,,,,
,6/30/2011,0.125,,,,,,,,,,,,,,,,,,
,3/31/2011,0.12,,,,,,,,,,,,,,,,,,
,12/31/2010,0.1125,,,,,,,,,,,,,,,,,,
,9/30/2010,0.1125,,,,,,,,,,,,,,,,,,
,6/30/2010,0.11,,,,,,,,,,,,,,,,,,
,3/31/2010,0.1925,,,,,,,,,,,,,,,,,,
,12/31/2009,0.1525,,,,,,,,,,,,,,,,,,
,9/30/2009,0.1025,,,,,,,,,,,,,,,,,,
,6/30/2009,0.1,,,,,,,,,,,,,,,,,,
,3/31/2009,0.0725,,,,,,,,,,,,,,,,,,
,12/31/2008,0.075,,,,,,,,,,,,,,,,,,
,9/30/2008,-0.06,,,,,,,,,,,,,,,,,,
,6/30/2008,0.05,,,,,,,,,,,,,,,,,,
,3/31/2008,0.0275,,,,,,,,,,,,,,,,,,
,12/31/2007,0.0175,,,,,,,,,,,,,,,,,,
,9/28/2007,0.02,,,,,,,,,,,,,,,,,,
,6/29/2007,0.025,,,,,,,,,,,,,,,,,,
,3/30/2007,0.0225,,,,,,,,,,,,,,,,,,
,12/29/2006,0.0225,,,,,,,,,,,,,,,,,,
,9/29/2006,0.02,,,,,,,,,,,,,,,,,,
,6/30/2006,0.0225,,,,,,,,,,,,,,,,,,
,3/31/2006,0.0225,,,,,,,,,,,,,,,,,,
,12/30/2005,0.02,,,,,,,,,,,,,,,,,,
,9/30/2005,0.0225,,,,,,,,,,,,,,,,,,
,6/30/2005,0.0225,,,,,,,,,,,,,,,,,,
