Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,
,12/31/2020,0.55,3/29/2020,0.56,3/1/2020,0.56,1/30/2020,0.56,1/10/2020,0.57,9/8/2019,0.56,,0.56,,0.55,,0.52020202
,9/30/2020,0.55,,0.55,,0.56,,0.56,,0.56,,0.54,,0.54,,0.53,,0.50979798
,6/30/2020,0.54,,0.53,,0.55,,0.55,,0.55,,0.53,,0.53,,0.52,,0.488989899
,3/31/2020,0.53,,0.52,,0.52,,0.53,,0.55,,0.55,,0.55,,0.54,,0.488989899
1/30/2020,12/31/2019,0.5,,0.54,,0.55,,0.54,,0.54,,0.5,,0.44,,,,
10/28/2019,9/30/2019,0.46,,0.53,,0.52,,0.52,,0.51,,0.5,0.49,0.41,,,,
7/31/2019,6/28/2019,0.551484609,,0.51,,0.5,,0.48,,0.47,0.48,0.4,,,,,,
5/1/2019,3/29/2019,0.569538531,,0.48,,0.47,,0.48,,0.42,,,,,,,,
1/31/2019,12/31/2018,0.585284738,,0.5,,0.41,,0.4,,,,,,,,,,
10/31/2018,9/28/2018,0.596667428,,0.45,,0.39,,0.38,,,,,,,,,,
8/1/2018,6/29/2018,0.306213965,,0.4,,0.38,,0.37,,,,,,,,,,
4/30/2018,3/29/2018,0.413696491,,0.38,,0.37,,,,,,,,,,,,
1/31/2018,12/29/2017,0.357175819,,0.35,,0.37,,0.36,,0.37,0.38,,,,,,,
11/2/2017,9/29/2017,0.282745534,,0.31,,0.35,,0.36,,0.37,,,,,,,,
8/3/2017,6/30/2017,0.303439632,,0.33,,0.34,,0.36,,,,,,,,,,
5/2/2017,3/31/2017,0.356316455,,0.33,,0.32,,0.33,,0.34,,,,,,,,
1/30/2017,12/30/2016,0.311253898,,0.33,,0.32,,0.35,,0.38,0.37,0.38,,,,,,
10/27/2016,9/30/2016,0.301401092,,0.3,,0.34,,0.37,,0.31,,,,,,,,
7/28/2016,6/30/2016,0.266816358,,0.31,,0.32,,0.33,,0.36,,,,,,,,
4/28/2016,3/31/2016,0.324038226,,0.32,,0.33,,0.35,,0.36,,,,,,,,
,12/31/2015,0.339952343,,0.34,,0.35,,0.34,,0.36,0.42,0.43,,,,,,
,9/30/2015,0.322954489,,0.33,,0.35,,0.4,,0.41,,,,,,,,
,6/30/2015,0.275211028,,0.33,,0.38,,0.39,,,,,,,,,,
,3/31/2015,0.323435196,,0.33,,0.34,,0.39,,0.41,0.4,,,,,,,
,12/31/2014,0.34001546,,0.37,,0.38,,0.4,,0.405,0.39,0.38,,,,,,
,9/30/2014,0.366942763,,0.37,,0.38,,0.375,,0.37,,,,,,,,
,6/30/2014,0.339129972,,0.37,,0.36,,0.37,,,,,,,,,,
,3/31/2014,0.425799574,,0.375,,0.365,,0.35,,,,,,,,,,
,12/31/2013,0.374745308,,0.355,,0.36,,0.335,,,,,,,,,,
,9/30/2013,0.320693391,,0.34,,0.335,,0.335,,,,,,,,,,
,6/28/2013,0.300762112,,0.34,,0.33,,0.33,,,,,,,,,,
,3/28/2013,0.413556531,,0.325,,0.305,,0.315,,0.33,,,,,,,,
,12/31/2012,0.340921679,,0.325,,0.3,,,,,,,,,,,,
,9/28/2012,0.329145165,,0.3,,0.295,,,,,,,,,,,,
,6/29/2012,0.318181818,,0.295,,,,,,,,,,,,,,
,3/30/2012,0.366434117,,,,,,,,,,,,,,,,
,12/30/2011,0.410182025,,,,,,,,,,,,,,,,
,9/30/2011,0.274644605,,,,,,,,,,,,,,,,
,6/30/2011,0.254698144,,,,,,,,,,,,,,,,
,3/31/2011,0.247383276,,,,,,,,,,,,,,,,
,12/31/2010,0.164674361,,,,,,,,,,,,,,,,
,9/30/2010,0.088601533,,,,,,,,,,,,,,,,
,6/30/2010,0.129549808,,,,,,,,,,,,,,,,
,3/31/2010,0.167385057,,,,,,,,,,,,,,,,
,12/31/2009,0.183908046,,,,,,,,,,,,,,,,
,9/30/2009,0.181779022,,,,,,,,,,,,,,,,
,6/30/2009,0.160305344,,,,,,,,,,,,,,,,
,3/31/2009,0.205765408,,,,,,,,,,,,,,,,
,12/31/2008,0.217144156,,,,,,,,,,,,,,,,
,9/30/2008,0.191499086,,,,,,,,,,,,,,,,
,6/30/2008,0.260645604,,,,,,,,,,,,,,,,
,3/31/2008,0.255,,,,,,,,,,,,,,,,
,12/31/2007,0.15,,,,,,,,,,,,,,,,
,9/28/2007,0.1,,,,,,,,,,,,,,,,
,6/29/2007,0.13,,,,,,,,,,,,,,,,
,3/30/2007,0.1,,,,,,,,,,,,,,,,
,12/29/2006,0.125,,,,,,,,,,,,,,,,
,9/29/2006,0.215,,,,,,,,,,,,,,,,
,6/30/2006,0.13,,,,,,,,,,,,,,,,
,3/31/2006,0.14,,,,,,,,,,,,,,,,
,12/30/2005,0.115,,,,,,,,,,,,,,,,
,9/30/2005,0.145,,,,,,,,,,,,,,,,
,6/30/2005,0.07,,,,,,,,,,,,,,,,
,3/31/2005,0.125,,,,,,,,,,,,,,,,
,12/31/2004,0.14,,,,,,,,,,,,,,,,
,9/30/2004,0.1,,,,,,,,,,,,,,,,
,6/30/2004,0.055,,,,,,,,,,,,,,,,
,3/31/2004,0.13,,,,,,,,,,,,,,,,
,12/31/2003,0.065,,,,,,,,,,,,,,,,
,9/30/2003,-0.02,,,,,,,,,,,,,,,,
,6/30/2003,0.07,,,,,,,,,,,,,,,,
,3/31/2003,0.095,,,,,,,,,,,,,,,,
,12/31/2002,0.14,,,,,,,,,,,,,,,,
,9/30/2002,0.09,,,,,,,,,,,,,,,,
,6/28/2002,0.055,,,,,,,,,,,,,,,,
,3/28/2002,-0.065,,,,,,,,,,,,,,,,
,12/31/2001,0.0575,,,,,,,,,,,,,,,,
,9/28/2001,0.2125,,,,,,,,,,,,,,,,
,6/29/2001,0.2725,,,,,,,,,,,,,,,,
,3/30/2001,0.1525,,,,,,,,,,,,,,,,
,12/29/2000,0.1625,,,,,,,,,,,,,,,,
,9/29/2000,0.15,,,,,,,,,,,,,,,,
,6/30/2000,0.14,,,,,,,,,,,,,,,,
,3/31/2000,0.2125,,,,,,,,,,,,,,,,
,12/31/1999,0.165,,,,,,,,,,,,,,,,
,9/30/1999,0.1175,,,,,,,,,,,,,,,,
,6/30/1999,0.07,,,,,,,,,,,,,,,,
,3/31/1999,0.04,,,,,,,,,,,,,,,,
,12/31/1998,0.045,,,,,,,,,,,,,,,,
