CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,
,5/1/2018,3/29/2018,0.695575221,,0.5,,0.58,,0.61,,,,,,,,,,,,,,,,,,,,
,2/6/2018,12/29/2017,1.394690265,,0.7,,0.82,,0.86,,0.87,,0.82,,,,,,,,,,,,,,,,
,10/31/2017,9/29/2017,0.337434095,,0.56,,0.73,,0.72,,0.74,,,,,,,,,,,,,,,,,,
,8/1/2017,6/30/2017,0.480836237,,0.52,,0.68,,0.67,,0.63,,,,,,,,,,,,,,,,,,
,5/2/2017,3/31/2017,0.585492228,,0.62,,0.61,,0.62,,0.7,,0.69,,0.65,,,,,,,,,,,,,,
,,12/30/2016,0.727272727,,0.77,,0.81,,0.9,,0.81,,0.79,,0.87,,0.95,,1.16,,,,,,,,,,
,,9/30/2016,0.578947368,,0.46,,0.54,,0.68,,0.65,,0.71,,0.73,,0.91,,0.45,,,,,,,,,,
,,6/30/2016,0.478114478,,0.45,,0.51,,0.6,,0.74,,0.75,,0.82,,,,,,,,,,,,,,
,,3/31/2016,0.385259631,,0.45,,0.53,,0.76,,0.78,,0.82,,,,,,,,,,,,,,,,
,,12/31/2015,1.190713101,,0.64,,0.72,,0.81,,1,,0.98,,1.03,,,,,,,,,,,,,,
,,9/30/2015,0.409756098,,0.7,,0.81,,0.84,,0.86,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.615629984,,0.66,,0.78,,0.79,,0.85,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.771517997,,0.71,,0.8,,0.88,,0.94,,,,,,,,,,,,,,,,,,
,,12/31/2014,1.080123267,,0.94,,0.93,,0.96,,0.91,,0.88,,0.74,,,,,,,,,,,,,,
,,9/30/2014,1.143950995,,0.73,,0.77,,0.8,,0.81,,0.75,,,,,,,,,,,,,,,,
,,6/30/2014,0.808801214,,0.73,,0.77,,0.8,,0.76,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.402714932,,0.74,,0.84,,0.84,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.564102564,,0.85,,0.48,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.71686747,,0.47,,0.49,,0.63,,0.42,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.336349925,,0.44,,0.45,,0.48,,0.51,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.406344411,,0.52,,0.54,,0.82,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.771558245,,0.58,,0.55,,0.44,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.275340393,,0.35,,,,,,,,,,,,,,,,,,,,,,,,
