Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,,,,
,12/31/2021,-0.33,5/14/2020,-0.33,4/11/2020,,,,,,,,,,,
,9/30/2021,-0.42,,-0.42,,,,,,,,,,,,
,6/30/2021,-0.51,,-0.51,,,,,,,,,,,,
,3/31/2021,-0.53,,-0.53,,,,,,,,,,,,
,12/31/2020,-0.63,4/11/2020,-0.77,4/11/2020,-0.75,3/8/2020,-0.08,2/8/2020,-0.34,2/6/2020,-0.12,,2.89,,0.99
,9/30/2020,-0.67,,-0.79,,-0.74,,-0.23,,-0.42,,-0.27,,0.89,,
,6/30/2020,-0.62,,-0.78,,-0.74,,-0.29,,-0.44,,-0.32,,,,
4/30/2020,3/31/2020,-0.98,,-0.78,,-0.74,,-0.34,,-0.49,,-0.37,,1.46,,
2/6/2020,12/31/2019,0.14,,-0.45,,-0.46,,2.19,,0.78,,,,,,
10/29/2019,9/30/2019,-0.55,,-0.36,,,,,,,,,,,,
7/16/2019,6/28/2019,-0.49,,-0.39,,,,,,,,,,,,
4/25/2019,3/29/2019,-0.08,,-0.3,,,,,,,,,,,,
2/7/2019,12/31/2018,-0.76,,-0.42,,,,,,,,,,,,
10/25/2018,9/28/2018,-0.42,,-0.27,,,,,,,,,,,,
7/26/2018,6/29/2018,0.47,,-0.39,,,,,,,,,,,,
4/26/2018,3/29/2018,-0.73,,-0.41,,,,,,,,,,,,
2/6/2018,12/29/2017,-0.41,,-0.43,,,,,,,,,,,,
10/26/2017,9/29/2017,0.34,,-0.42,,,,,,,,,,,,
7/27/2017,6/30/2017,-0.39,,-0.41,,,,,,,,,,,,
4/27/2017,3/31/2017,-0.42,,-0.41,,,,,,,,,,,,
2/7/2017,12/29/2016,-0.39,,-0.34,,,,,,,,,,,,
10/27/2016,9/29/2016,-0.23,,-0.29,,,,,,,,,,,,
7/26/2016,6/29/2016,-0.23,,-0.32,,,,,,,,,,,,
4/28/2016,3/30/2016,-0.15,,-0.09,,,,,,,,,,,,
,12/30/2015,-0.19,,,,,,,,,,,,,,
,9/29/2015,-0.21,,,,,,,,,,,,,,
,6/29/2015,-0.38,,,,,,,,,,,,,,
,3/30/2015,-0.17,,,,,,,,,,,,,,
,12/30/2014,-0.22,,,,,,,,,,,,,,
,9/29/2014,-0.13,,,,,,,,,,,,,,
,6/27/2014,-0.14,,,,,,,,,,,,,,
,3/28/2014,-0.13,,,,,,,,,,,,,,
,12/30/2013,-0.13,,,,,,,,,,,,,,
,9/27/2013,-0.19,,,,,,,,,,,,,,
,6/27/2013,-0.06,,,,,,,,,,,,,,
,3/27/2013,-0.14,,,,,,,,,,,,,,
,12/27/2012,-0.09,,,,,,,,,,,,,,
,9/27/2012,-0.12,,,,,,,,,,,,,,
,6/28/2012,-0.15,,,,,,,,,,,,,,
,3/29/2012,-0.11,,,,,,,,,,,,,,
,12/29/2011,-0.24,,,,,,,,,,,,,,
,9/28/2011,-0.35,,,,,,,,,,,,,,
,6/29/2011,-0.45,,,,,,,,,,,,,,
,3/30/2011,-0.3,,,,,,,,,,,,,,
,12/30/2010,-0.34,,,,,,,,,,,,,,
,9/29/2010,-0.34,,,,,,,,,,,,,,
,6/29/2010,-0.08,,,,,,,,,,,,,,
,3/30/2010,0.11,,,,,,,,,,,,,,
,12/30/2009,-0.12,,,,,,,,,,,,,,
,9/29/2009,-0.21,,,,,,,,,,,,,,
,6/29/2009,-0.26,,,,,,,,,,,,,,
,3/30/2009,-0.33,,,,,,,,,,,,,,
,12/30/2008,-0.38,,,,,,,,,,,,,,
,9/29/2008,-0.27,,,,,,,,,,,,,,
,6/27/2008,-0.2,,,,,,,,,,,,,,
,3/28/2008,-0.22,,,,,,,,,,,,,,
,12/28/2007,-0.22,,,,,,,,,,,,,,
,9/27/2007,-0.22,,,,,,,,,,,,,,
,6/28/2007,-0.18,,,,,,,,,,,,,,
,3/29/2007,-0.16,,,,,,,,,,,,,,
,12/28/2006,-0.2,,,,,,,,,,,,,,
,9/28/2006,-0.17,,,,,,,,,,,,,,
,6/29/2006,-0.17,,,,,,,,,,,,,,
,3/30/2006,-0.21,,,,,,,,,,,,,,
,12/29/2005,-0.17,,,,,,,,,,,,,,
,9/29/2005,-0.15,,,,,,,,,,,,,,
,6/29/2005,-0.2,,,,,,,,,,,,,,
,3/30/2005,-0.18,,,,,,,,,,,,,,
,12/30/2004,-0.25,,,,,,,,,,,,,,
,9/29/2004,-0.4,,,,,,,,,,,,,,
,6/29/2004,-0.89,,,,,,,,,,,,,,
,3/30/2004,-0.24,,,,,,,,,,,,,,
,12/30/2003,-0.18,,,,,,,,,,,,,,
,9/29/2003,-0.17,,,,,,,,,,,,,,
,6/27/2003,-0.18,,,,,,,,,,,,,,
,3/28/2003,-0.2,,,,,,,,,,,,,,
,12/30/2002,-0.19,,,,,,,,,,,,,,
,9/27/2002,-0.17,,,,,,,,,,,,,,
,6/27/2002,-0.21,,,,,,,,,,,,,,
,3/27/2002,-0.2,,,,,,,,,,,,,,
,12/31/2001,-0.18,,,,,,,,,,,,,,
,9/28/2001,-0.22,,,,,,,,,,,,,,
,6/29/2001,-0.18,,,,,,,,,,,,,,
,3/30/2001,-0.46,,,,,,,,,,,,,,
