Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,12/31/2020,0.51,3/27/2020,0.61,2/27/2020,0.61,2/22/2020,0.62,1/23/2020,0.62,,0.74,,0.71,0.76,0.792633929,,
,9/30/2020,0.56,,0.64,,0.64,,0.66,,0.66,,0.81,,0.84,0.83,0.816294643,,
,6/30/2020,0.46,,0.56,,0.56,,0.58,,0.58,,0.68,,0.67,0.69,0.6625,,
,3/31/2020,0.25,,0.22,,0.22,,0.23,,0.23,,0.37,,0.42,0.375221239,0.378571429,,
2/26/2020,12/31/2019,-0.12,,0.56,,0.57,,0.57,,0.66,,0.67,0.69,0.67,0.75,,,
11/4/2019,9/30/2019,0.587917772,,0.74,,0.75,,0.74,0.73,0.74,0.7,0.69,0.79,,,,,
8/1/2019,6/28/2019,0.697541427,,0.6,,0.61,,0.57,0.56,0.66,,,,,,,,
5/2/2019,3/29/2019,0.362346263,,0.32,,0.44,,,,,,,,,,,,
2/21/2019,12/31/2018,0.619883305,,0.63,,0.65,,0.73,,,,,,,,,,
11/1/2018,9/28/2018,0.607584054,,0.62,,0.6,,,,,,,,,,,,
8/2/2018,6/29/2018,0.600254268,,0.55,,0.54,,,,,,,,,,,,
5/3/2018,3/29/2018,0.420959147,,0.37,,,,,,,,,,,,,,
2/15/2018,12/29/2017,1.403110321,,0.62,,0.48,,0.51,0.62,,,,,,,,,
10/26/2017,9/29/2017,0.381423556,,0.6,,0.56,,0.53,0.55,0.62,,,,,,,,
7/27/2017,6/30/2017,0.230653266,,0.37,,0.43,,0.44,0.43,0.45,,,,,,,,
4/27/2017,3/31/2017,0.237354086,,0.3,,0.31,,0.37,0.36,0.43,,,,,,,,
2/16/2017,12/30/2016,0.352205006,,0.43,,0.42,,0.45,0.6,0.59,0.51,0.53,,,,,,
10/27/2016,9/30/2016,0.463859842,,0.56,,0.57,,0.58,0.55,0.67,,,,,,,,
7/28/2016,6/30/2016,0.41018816,,0.41,,0.42,,0.44,0.53,,,,,,,,,
4/28/2016,3/31/2016,0.345688664,,0.28,,0.36,,0.4,,,,,,,,,,
,12/31/2015,0.35423947,,0.47,,0.48,,0.5,0.51,0.52,0.56,0.59,0.58,0.61,0.6,,,
,9/30/2015,0.455377259,,0.6,,0.62,,0.59,0.6,0.59,0.52,0.54,0.55,0.6,0.62,,,
,6/30/2015,0.09830789,,0.45,,0.54,,0.55,0.48,0.51,0.54,,,,,,,
,3/31/2015,0.270413574,,0.34,,0.4,,0.44,0.47,0.46,0.45,0.43,,,,,,
,12/31/2014,0.400359895,,0.36,,0.37,,0.39,0.4,0.41,0.39,0.49,0.47,0.41,0.42,0.4,0.52,0.49
,9/30/2014,0.614990775,,0.46,,0.48,,0.49,0.5,0.49,0.4,0.41,0.38,0.53,0.4,,,
,6/30/2014,0.316841279,,0.41,,0.42,,0.51,0.41,0.36,0.4,0.34,,,,,,
,3/31/2014,0.433660706,,0.34,,0.33,,0.34,0.31,0.51,,,,,,,,
,12/31/2013,0.477516726,,0.5,,0.51,,0.4,0.39,0.42,0.4,0.45,,,,,,
,9/30/2013,0.55727621,,0.45,,0.46,,0.45,0.46,0.37,,,,,,,,
,6/28/2013,0.390088189,,0.37,,0.39,,0.4,--,,,,,,,,,
,3/28/2013,0.293692617,,0.25,,0.27,,0.28,0.31,,,,,,,,,
,12/28/2012,0.333406066,,0.31,,0.28,,,,,,,,,,,,
,9/28/2012,0.474110564,,0.28,,,,,,,,,,,,,,
,6/29/2012,0.348335523,,0.2,,,,,,,,,,,,,,
,3/30/2012,0.247781308,,0.18,,,,,,,,,,,,,,
,12/30/2011,0.367330153,,,,,,,,,,,,,,,,
,9/30/2011,0.204422011,,,,,,,,,,,,,,,,
,6/30/2011,0.25714913,,,,,,,,,,,,,,,,
,3/31/2011,0.179022515,,,,,,,,,,,,,,,,
,12/31/2010,0.249106996,,,,,,,,,,,,,,,,
,9/30/2010,0.216540196,,,,,,,,,,,,,,,,
,6/30/2010,0.127728597,,,,,,,,,,,,,,,,
,3/31/2010,0.098432774,,,,,,,,,,,,,,,,
,12/31/2009,0.145498569,,,,,,,,,,,,,,,,
,9/30/2009,0.22916896,,,,,,,,,,,,,,,,
,6/30/2009,0.193562586,,,,,,,,,,,,,,,,
,3/31/2009,0.200484155,,,,,,,,,,,,,,,,
,12/31/2008,0.287490415,,,,,,,,,,,,,,,,
,9/30/2008,0.233006001,,,,,,,,,,,,,,,,
,6/30/2008,0.33397103,,,,,,,,,,,,,,,,
,3/31/2008,0.32,,,,,,,,,,,,,,,,
,12/31/2007,0.27,,,,,,,,,,,,,,,,
,9/28/2007,0.25,,,,,,,,,,,,,,,,
,6/29/2007,0.28,,,,,,,,,,,,,,,,
,3/30/2007,0.27,,,,,,,,,,,,,,,,
,12/29/2006,0.21,,,,,,,,,,,,,,,,
,9/29/2006,0.16,,,,,,,,,,,,,,,,
,6/30/2006,0.27,,,,,,,,,,,,,,,,
,3/31/2006,0.23,,,,,,,,,,,,,,,,
,12/30/2005,0.17,,,,,,,,,,,,,,,,
,9/30/2005,0.43,,,,,,,,,,,,,,,,
,6/30/2005,0.21,,,,,,,,,,,,,,,,
