CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2
N,,12/31/2026,,0.45,9/3/2025,0.45,7/30/2025,0.43,7/17/2025,0.43,6/8/2025
,,9/30/2026,,0.39,,0.42,,0.4,,0.4,
,,6/30/2026,,0.34,,0.39,,0.37,,0.37,
,,3/30/2026,,0.29,,0.32,,0.3,,0.3,
,,12/31/2025,,0.27,1/22/2025,0.3,1/22/2025,0.3,1/22/2025,0.3,1/22/2025
,,9/30/2025,,0.25,,0.28,,0.27,,0.27,
,7/28/2025,6/30/2025,-3.58,0.27,,0.27,,0.27,,0.34,
,4/28/2025,3/30/2025,-0.11,0.28,,0.31,,0.31,,0.54,
,2/24/2025,12/31/2024,0.36,0.51,4/9/2024,0.44,4/9/2024,0.44,4/9/2024,0.44,4/9/2024
,10/28/2024,9/30/2024,-0.05,0.35,,0.33,,0.32,,0.34,
,7/25/2024,6/30/2024,0.42,0.32,,0.26,,0.26,,0.26,
,5/6/2024,3/30/2024,-0.21,0.27,,0.13,,0.13,,0.2,
,2/21/2024,12/31/2023,-0.08,0.19,4/4/2023,0.12,4/4/2023,0.12,4/4/2023,0.14,4/4/2023
,10/25/2023,9/30/2023,-0.32,0.04,,0.16,,0.16,,0.27,
,7/27/2023,6/30/2023,-0.21,0.16,,0.25,,0.25,,0.34,
,4/26/2023,3/30/2023,-0.08,0.17,,0.23,,0.23,,0.54,
,2/22/2023,12/31/2022,0.61,0.93,,0.78,,1.02,,1.02,
,10/26/2022,9/30/2022,0.21,1.06,,1.06,,1.07,,1.07,
,7/28/2022,6/30/2022,-0.56,1.04,,1.03,,1.03,,1.03,
,4/27/2022,3/31/2022,0.61,0.95,,1.16,,1.16,,1.16,
,2/23/2022,12/31/2021,1,1.22,,1.2,,1.2,,1.2,
,10/27/2021,9/30/2021,0.7,1.07,,1.01,,1.01,,1.01,
,8/2/2021,6/30/2021,0.39,0.99,,0.97,,0.97,,0.97,
,4/28/2021,3/31/2021,0.6,0.92,,0.85,,0.84,,0.68,
,2/17/2021,12/31/2020,0.55,0.81,,0.7,,0.7,,0.58,
,10/28/2020,9/30/2020,0.59,0.73,,0.65,,0.65,,0.39,
,7/29/2020,6/30/2020,0.522058824,0.75,,0.47,,0.48,,0.31,
,4/29/2020,3/30/2020,0.230958231,0.52,,0.44,,0.45,,0.28,
,2/19/2020,12/30/2019,-0.26,0.33,,0.26,,0.19,,0.26,
,10/30/2019,9/30/2019,0.012816989,0.21,,0.16,,0.22,,0.25,
,7/31/2019,6/30/2019,-0.005127034,0.21,,0.18,,0.17,,0.5,
,5/2/2019,3/30/2019,0.015336646,0.21,,0.13,,0.4,,0.62,
,2/21/2019,12/31/2018,-0.028403702,0.23,,0.25,,0.34,,0.47,
,11/6/2018,9/30/2018,-0.154045723,0.3,,0.3,,0.42,,0.55,
,7/26/2018,6/30/2018,0.482479579,0.55,,0.57,,0.6,,,
,4/25/2018,3/30/2018,0.65991838,0.69,,0.59,,0.6,,,
,2/21/2018,12/30/2017,0.604318841,,,0.6,,0.25,,0.26,
,10/25/2017,9/30/2017,0.573806752,,,0.64,,0.22,,0.17,
,7/27/2017,6/30/2017,0.592384922,,,0.51,,0.33,,0.17,
,4/26/2017,3/31/2017,0.423475565,,,0.42,,0.19,,0.18,
,,12/30/2016,0.296874068,,,0.27,,0.19,,0.09,
,,9/30/2016,0.07897281,,,0.12,,0.1,,0.11,
,,6/30/2016,0.022048061,,,0.08,,0.06,,0.01,
,,3/30/2016,-0.100250704,,,0,,0.02,,-0.05,
,,12/30/2015,-0.490127903,,,-0.02,,-0.03,,0.09,
,,9/30/2015,0.05238646,,,0.11,,0.1,,0.06,
,,6/30/2015,0.069808635,,,0.05,,0.14,,0.15,
,,3/31/2015,0.03847794,,,0.13,,0.17,,0.24,
,,12/31/2014,0.119736931,,,0.12,,0.19,,0.22,
,,9/30/2014,-0.17851206,,,0.15,,0.17,,0.23,
,,6/30/2014,0.204905225,,,0.2,,0.21,,0.19,
,,3/31/2014,0.244346712,,,0.3,,0.21,,0.19,
,,12/31/2013,0.222902526,,,0.24,,0.23,,0.2,
,,9/30/2013,0.07198341,,,0.11,,0.09,,,
,,6/30/2013,0.08163553,,,0.09,,0.08,,0.04,
,,3/30/2013,-0.011115877,,,0.04,,0.06,,-0.01,
,,12/30/2012,-0.06207367,,,-0.01,,0.03,,0.09,
,,9/30/2012,-0.061505641,,,0.08,,,,,
,,6/30/2012,0.168426928,,,0.17,,,,,
,,3/30/2012,0.202494242,,,0.17,,,,,
,,12/30/2011,0.341400438,,,nan,,,,,
,,9/30/2011,0.138352921,,,nan,,,,,
,,7/1/2011,0.306061406,,,nan,,,,,
,,4/1/2011,0.259035072,,,nan,,,,,
,,12/31/2010,0.178723795,,,nan,,,,,
,,10/1/2010,0.305924809,,,nan,,,,,
,,7/2/2010,0.260913706,,,nan,,,,,
,,4/1/2010,0.179061439,,,nan,,,,,
,,12/31/2009,0.11,,,nan,,,,,
,,10/2/2009,-0.07,,,nan,,,,,
,,7/2/2009,-0.66,,,nan,,,,,
,,4/3/2009,-0.33,,,nan,,,,,
,,1/2/2009,-2.45,,,nan,,,,,
,,9/30/2008,-0.09,,,nan,,,,,
,,6/30/2008,-0.01,,,nan,,,,,
,,3/31/2008,0.09,,,nan,,,,,
,,12/30/2007,0.09,,,nan,,,,,
,,9/30/2007,0.16,,,nan,,,,,
,,6/30/2007,0.23,,,nan,,,,,
,,3/30/2007,0.24,,,nan,,,,,
,,12/30/2006,0.22,,,nan,,,,,
,,9/30/2006,0.25,,,nan,,,,,
,,6/30/2006,0.21,,,nan,,,,,
,,3/31/2006,0.12,,,nan,,,,,
,,12/30/2005,0.04,,,nan,,,,,
,,9/30/2005,-0.03,,,nan,,,,,
,,6/30/2005,0.04,,,nan,,,,,
