CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,2/27/2024,,0.55,5/22/2023,0.55,4/15/2023,0.59,3/3/2023,0.59,1/27/2023,0.63,12/24/2022,1.02,11/7/2022,1.1,10/1/2022,1.44,9/1/2022,1.44,7/29/2022,1.44,6/26/2022,,5/19/2022,1.26,4/16/2022,1.6,4/3/2022,1.62,2/28/2022,1.67,1/21/2022,1.68,12/22/2021,1.67,11/8/2021,1.59,10/3/2021,1.54,9/9/2021,1.54,8/2/2021,1.49,6/25/2021,1.49,5/22/2021,1.34,5/2/2021,1.35,4/3/2021,1.38,3/1/2021,1.39,1/31/2021,1.4,12/23/2020,1.47,12/1/2020,1.47,10/30/2020,1.46,9/25/2020,1.4,9/13/2020,1.4,8/6/2020,1.44,6/27/2020,1.44,5/14/2020
,,11/30/2023,,0.47,,0.46,,0.53,,0.53,,0.57,,0.97,,1.05,,1.43,,1.43,,1.43,,,,1.39,,1.57,,1.67,,1.68,,1.76,,1.72,,1.59,,1.5,,1.5,,1.4,,1.4,,1.29,,1.27,,1.23,,1.23,,1.21,,1.29,,1.29,,1.26,,1.1,,1.09,,1.1,,1.1,
,,8/30/2023,,0.6,,0.6,,0.72,,0.73,,0.74,,1.06,,1.14,,1.56,,1.56,,1.56,,,,1.59,,1.8,,1.85,,1.89,,1.94,,1.93,,2.01,,1.94,,1.89,,1.77,,1.77,,1.58,,1.62,,1.59,,1.57,,1.55,,1.55,,1.55,,1.47,,1.31,,1.3,,1.33,,1.33,
,,5/30/2023,,0.79,,0.8,,1,,1.01,,1.01,,1.49,,1.56,,1.78,,1.78,,1.78,,,,1.75,,2.05,,2.21,,2.2,,2.19,,2.2,,2.17,,2.21,,2.21,,2,,2,,1.61,,1.58,,1.59,,1.56,,1.55,,1.5,,1.5,,1.52,,1.43,,1.43,,1.41,,1.41,
,4/11/2023,2/27/2023,0.44,0.44,,0.25,,0.26,,0.34,,0.85,,0.9,,1.24,,1.25,,1.3,,1.29,,1.26,4/16/2022,1.6,4/3/2022,1.62,2/28/2022,1.67,1/21/2022,1.68,12/22/2021,1.67,11/8/2021,1.59,10/3/2021,1.54,9/9/2021,1.54,8/2/2021,1.49,6/25/2021,1.49,5/22/2021,1.34,5/2/2021,1.35,4/3/2021,1.38,3/1/2021,1.39,1/31/2021,1.4,12/23/2020,1.47,12/1/2020,1.47,10/30/2020,1.46,9/25/2020,1.4,9/13/2020,1.4,8/6/2020,1.44,6/27/2020,1.44,5/14/2020,,
,12/22/2022,11/30/2022,0.24,0.24,,0.78,,0.85,,1.32,,1.32,,1.35,,1.34,,1.39,,1.57,,1.67,,1.68,,1.76,,1.72,,1.59,,1.5,,1.5,,1.4,,1.4,,1.29,,1.27,,1.23,,1.23,,1.21,,1.29,,1.29,,1.26,,1.1,,1.09,,1.1,,1.1,,,,,,,,,
,9/29/2022,8/30/2022,0.79,0.79,,1.44,,1.44,,1.44,,1.49,,1.59,,1.8,,1.85,,1.89,,1.94,,1.93,,2.01,,1.94,,1.89,,1.77,,1.77,,1.58,,1.62,,1.59,,1.57,,1.55,,1.55,,1.55,,1.47,,1.31,,1.3,,1.33,,1.33,,,,,,,,,,,,,
,6/24/2022,5/30/2022,1.56,1.49,,1.6,,1.75,,2.05,,2.21,,2.2,,2.19,,2.2,,2.17,,2.21,,2.21,,2,,2,,1.61,,1.58,,1.59,,1.56,,1.55,,1.5,,1.5,,1.52,,1.43,,1.43,,1.41,,1.41,,,,,,,,,,,,,,,,,,,
,4/12/2022,2/27/2022,0.98,0.98,,1.33,,1.4,,1.42,,1.43,,1.46,,1.44,,1.44,,1.44,,1.36,,1.34,,1.34,5/2/2021,1.35,4/3/2021,1.38,3/1/2021,1.39,1/31/2021,1.4,12/23/2020,1.47,12/1/2020,1.47,10/30/2020,1.46,9/25/2020,1.4,9/13/2020,1.4,8/6/2020,1.44,6/27/2020,1.44,5/14/2020,,,,,,,,,,,,,,,,,,,,,,
,12/22/2021,11/30/2021,1.63,1.63,,1.45,,1.45,,1.42,,1.43,,1.3,,1.29,,1.29,,1.27,,1.23,,1.23,,1.21,,1.29,,1.29,,1.26,,1.1,,1.09,,1.1,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
