CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1
,,12/31/2027,,0.897,8/24/2026,0.897,8/23/2026
,,9/30/2027,,0.811,,0.811,
,,6/30/2027,,0.769,,0.769,
,,3/31/2027,,0.647,,0.647,
,,12/31/2026,,0.688,,0.688,
,,9/30/2026,,0.617,,0.617,
,8/4/2026,6/30/2026,0.52,0.59,,0.59,
,5/5/2026,3/31/2026,0.41,0.45,,0.45,
,2/10/2026,12/31/2025,0.37,0.49,,0.49,
,11/4/2025,9/30/2025,-0.02,0.44,,0.44,
,8/5/2025,6/30/2025,-13.1,0.708,,0.708,
,,3/31/2025,1.31,,,,
,,12/31/2024,0.4,,,,
,,9/30/2024,0.01,,,,
,,6/30/2024,-0.96,,,,
