Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,
,12/31/2021,0.29,5/8/2020,0.29,3/23/2020,,,,,,,,,
,9/30/2021,0.24,,0.24,,,,,,,,,,
,6/30/2021,0.22,,0.22,,,,,,,,,,
,3/31/2021,0.19,,0.19,,,,,,,,,,
,12/31/2020,0.29,3/23/2020,0.29,3/23/2020,0.29,2/12/2020,0.29,1/13/2020,0.29,9/21/2019,0.29,,0.29
,9/30/2020,0.23,,0.23,,0.24,,0.24,,0.23,,0.22,,0.22
,6/30/2020,0.19,,0.19,,0.21,,0.21,,0.21,,0.19,,0.19
5/6/2020,3/31/2020,0.05,,0.15,,0.2,,0.2,,0.18,,0.17,,0.17
2/12/2020,12/31/2019,0.15,,0.24,,0.22,,0.2,,0.2,,0.21,0.18,
11/6/2019,9/30/2019,0.15,,0.17,,0.15,,0.15,,0.16,0.14,,,
7/31/2019,6/28/2019,0.076884106,,0.13,,0.14,,0.12,,,,,,
5/1/2019,3/29/2019,0.089927676,,0.13,,0.11,,0.09,,,,,,
2/6/2019,12/31/2018,0.164520318,,0.17,,0.13,,0.15,,,,,,
11/7/2018,9/28/2018,0.064159268,,0.11,,0.09,,,,,,,,
8/1/2018,6/29/2018,0.035319362,,0.08,,,,,,,,,,
5/2/2018,3/29/2018,-0.022447824,,0.05,,0.06,,,,,,,,
2/7/2018,12/29/2017,0.046382157,,0.07,,0.08,,0.09,0.13,0.18,,,,
11/1/2017,9/29/2017,-0.033605358,,0.03,,0.05,,0.09,0.13,,,,,
8/2/2017,6/30/2017,-0.09262681,,0.04,,0.03,,0.05,0.09,0.11,,,,
4/25/2017,3/31/2017,-0.094343416,,0.01,,0.03,,0.07,0.1,0.05,,,,
,12/30/2016,-0.049245453,,0.05,,0.1,,0.16,0.18,0.24,0.04,,,
,9/30/2016,-0.055928591,,0.04,,0.05,,0.09,0.12,0.17,,,,
,6/30/2016,-0.030196889,,0.05,,0.06,,0.09,0.17,,,,,
,3/31/2016,-0.061886049,,0.07,,0.06,,0.15,,,,,,
,12/31/2015,0.094103951,,0.17,,0.16,,0.31,0.29,0.28,,,,
,9/30/2015,0.01419739,,0.11,,0.27,,0.25,0.24,,,,,
,6/30/2015,0.15077848,,0.24,,0.25,,0.23,,,,,,
,3/31/2015,0.136124185,,0.21,,0.22,,0.23,0.21,0.21,,,,
,12/31/2014,0.122800412,,0.27,,0.23,,0.24,0.23,0.24,0.23,0.26,0.17,
,9/30/2014,0.062310864,,0.19,,0.21,,0.22,0.21,0.23,0.15,,,
,6/30/2014,0.105913204,,0.18,,0.19,,0.2,0.19,0.2,0.14,,,
,3/31/2014,0.095455464,,0.17,,0.18,,0.17,0.18,0.19,0.19,,,
,12/31/2013,0.195220005,,0.2,,0.19,,0.21,0.13,,,,,
,9/30/2013,0.062310864,,0.16,,0.17,,0.16,0.18,0.14,,,,
,6/28/2013,0.105913204,,0.16,,0.09,,0.095,0.0925,0.12,0.1175,0.1225,0.13,
,3/28/2013,0.095455464,,0.08,,0.0775,,0.075,0.105,0.1075,0.1125,0.21,,
,12/31/2012,0.195220005,,0.12,,0.1225,,0.19,,,,,,
,9/28/2012,0.176275889,,0.1125,,,,,,,,,,
,6/29/2012,0.107285864,,0.18,,,,,,,,,,
,3/30/2012,0.09531407,,0.14,,,,,,,,,,
,12/30/2011,0.145711741,,,,,,,,,,,,
,9/30/2011,0.12,,,,,,,,,,,,
,6/30/2011,0.105,,,,,,,,,,,,
,3/31/2011,0.095,,,,,,,,,,,,
,12/31/2010,0.085,,,,,,,,,,,,
,9/30/2010,0.085,,,,,,,,,,,,
,6/30/2010,0.035,,,,,,,,,,,,
,3/31/2010,0.015,,,,,,,,,,,,
,12/31/2009,0.045,,,,,,,,,,,,
,9/30/2009,0.005,,,,,,,,,,,,
,6/30/2009,-0.045,,,,,,,,,,,,
,3/31/2009,-0.16,,,,,,,,,,,,
,12/31/2008,-0.19,,,,,,,,,,,,
,9/30/2008,-0.22,,,,,,,,,,,,
,6/30/2008,-0.18,,,,,,,,,,,,
,3/31/2008,-0.21,,,,,,,,,,,,
,12/31/2007,-0.045,,,,,,,,,,,,
,9/28/2007,-0.07,,,,,,,,,,,,
,6/29/2007,-0.105,,,,,,,,,,,,
,3/30/2007,-0.09,,,,,,,,,,,,
,12/29/2006,0.005,,,,,,,,,,,,
,9/29/2006,-0.03,,,,,,,,,,,,
,6/30/2006,-0.015,,,,,,,,,,,,
,3/31/2006,0.01,,,,,,,,,,,,
,12/30/2005,0.06,,,,,,,,,,,,
,9/30/2005,0.04,,,,,,,,,,,,
,6/30/2005,0.025,,,,,,,,,,,,
