CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,,
Y,,12/31/2027,,0.86,1/24/2026,0.71,1/11/2026,0.7,11/27/2025,5.97,10/24/2025,6.95,9/28/2025,6.89,8/26/2025,6.79,7/21/2025,6.43,7/3/2025,,,,,
,,9/30/2027,,0.98,,0.86,,0.85,,8.53,,8.53,,8.5,,8.44,,8.11,,,,,,
,,6/30/2027,,1,,0.86,,0.86,,8.62,,8.61,,8.59,,8.51,,8.25,,,,,,
,,3/30/2027,,0.94,,0.81,,0.81,,8.14,,8.06,,8.05,,8.01,,7.81,,,,,,
,,12/31/2026,,0.72,1/11/2026,0.71,1/11/2026,0.7,11/27/2025,5.97,10/24/2025,6.95,9/28/2025,6.89,8/26/2025,6.79,7/21/2025,6.43,7/3/2025,,,,,
,,9/30/2026,,0.83,,0.86,,0.85,,8.53,,8.53,,8.5,,8.44,,8.11,,,,,,
,,6/30/2026,,0.82,,0.86,,0.86,,8.62,,8.61,,8.59,,8.51,,8.25,,,,,,
,,3/30/2026,,0.76,,0.81,,0.81,,8.14,,8.06,,8.05,,8.01,,7.81,,,,,,
,1/20/2026,12/31/2025,0.56,0.56,12/27/2024,0.55,12/27/2024,0.55,12/27/2024,5.47,12/27/2024,5.44,12/27/2024,5.43,12/27/2024,5.38,12/27/2024,5.22,12/27/2024,,,,,
,10/21/2025,9/30/2025,5.87,5.87,,6.97,,6.94,,6.9,,6.64,,,,,,,,,,,,
,7/17/2025,6/30/2025,7.19,7.19,,7.06,,7.06,,6.54,,,,,,,,,,,,,,
,4/17/2025,3/30/2025,6.61,6.61,,5.72,,5.74,,6.02,,,,,,,,,,,,,,
,1/21/2025,12/31/2024,4.27,4.27,3/10/2024,4.21,3/10/2024,4.21,3/10/2024,4.12,3/10/2024,,,,,,,,,,,,,
,10/17/2024,9/30/2024,5.4,5.4,,5.11,,4.97,,4.72,,,,,,,,,,,,,,
,7/18/2024,6/30/2024,4.88,4.88,,4.74,,4.71,,4.51,,,,,,,,,,,,,,
,4/18/2024,3/30/2024,5.28,5.28,,4.5,,4.5,,4.13,,,,,,,,,,,,,,
,1/23/2024,12/31/2023,2.11,2.11,,2.21,,2.19,,2.18,,,,,,,,,,,,,,
,10/18/2023,9/30/2023,3.73,3.73,,3.51,,3.5,,3.49,,,,,,,,,,,,,,
,7/19/2023,6/30/2023,3.29,3.29,,2.82,,2.82,,3.07,,,,,,,,,,,,,,
,4/18/2023,3/30/2023,2.88,2.88,,2.86,,2.85,,2.83,,,,,,,,,,,,,,
,1/19/2023,12/31/2022,0.12,0.44,,0.44,,0.44,,0.55,,,,,,,,,,,,,,
,10/18/2022,9/30/2022,3.1,2.13,,2.13,,2.12,,2.18,,,,,,,,,,,,,,
,7/19/2022,6/30/2022,3.2,3.2,,2.97,,2.97,,2.96,,,,,,,,,,,,,,
,4/19/2022,3/31/2022,3.53,3.53,,2.9,,2.89,,2.96,,,,,,,,,,,,,,
,1/20/2022,12/31/2021,1.33,1.33,,0.82,,0.82,,0.85,,,,,,,,,,,,,,
,10/19/2021,9/30/2021,3.19,3.19,,2.56,,2.56,,2.56,,,,,,,,,,,,,,
,7/20/2021,6/30/2021,2.97,2.97,,3.15,,3.15,,3.07,,,,,,,,,,,,,,
,4/20/2021,3/31/2021,3.75,3.75,,2.98,,2.98,,2.89,,,,,,,,,,,,,,
,1/19/2021,12/31/2020,1.19,1.19,,1.38,,1.38,,1.38,,,,,,,,,,,,,,
,10/20/2020,9/30/2020,1.74,1.74,,2.12,,2.12,,2.01,,,,,,,,,,,,,,
,7/16/2020,6/30/2020,1.59,1.59,,1.81,,1.81,,1.55,,,,,,,,,,,,,,
,4/21/2020,3/31/2020,1.57,1.57,,1.63,,1.65,,1.64,,,,,,,,,,,,,,
,1/21/2020,12/31/2019,1.300427368,1.3,,0.52,,0.53,,0.52,,,,,,,,,,,,,,
,10/16/2019,9/30/2019,1.473238963,1.47,,1.04,,1.06,,1.27,,,,,,,,,,,,,,
,7/17/2019,6/28/2019,0.598524973,0.6,,0.56,,0.6,,0.99,,,,,,,,,,,,,,
,4/16/2019,3/29/2019,0.761308367,0.76,,0.57,,0.58,,0.82,,,,,,,,,,,,,,
,1/17/2019,12/31/2018,0.296894812,0.3,,0.24,,0.51,,0.71,,,,,,,,,,,,,,
