CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Y,,6/30/2026,,0.28,6/26/2025,0.29,5/14/2025,0.29,4/14/2025,0.27,3/18/2025,0.22,2/11/2025,0.19,12/23/2024,0.18,11/13/2024,0.14,11/9/2024,0.05,10/13/2024,0.02,9/6/2024,0.02,9/5/2024,,
,,3/30/2026,,0.22,,0.2,,0.2,,0.19,,0.16,,0.12,,0.12,,0.11,,-0.13,,-0.19,,-0.19,,,
,,12/31/2025,,0.25,,0.23,,0.24,,0.23,,0.19,,0.11,,0.12,,0.13,,-0.28,,-0.29,,-0.29,,,
,,9/30/2025,,0.1,,0.1,,0.1,,0.11,,0.11,,0.09,,0.1,,0.09,,-0.36,,-0.39,,-0.39,,,
,,6/30/2025,,0.11,10/13/2024,0.11,10/13/2024,0.1,10/13/2024,0.1,10/13/2024,0.08,10/13/2024,0.07,10/13/2024,0.08,10/13/2024,0.08,10/13/2024,0.05,10/13/2024,0.02,9/6/2024,0.02,9/5/2024,,
,5/8/2025,3/30/2025,0.01,0.01,,-0.04,,-0.05,,-0.08,,-0.1,,-0.08,,-0.12,,-0.13,,-0.19,,-0.19,,,,,
,2/6/2025,12/31/2024,0.23,0.23,,-0.2,,-0.21,,-0.26,,-0.28,,-0.29,,-0.29,,,,,,,,,,,
,11/7/2024,9/30/2024,-0.31,-0.31,,-0.36,,-0.39,,-0.39,,,,,,,,,,,,,,,,,
,8/28/2024,6/30/2024,-0.14,-0.14,,-0.14,,,,,,,,,,,,,,,,,,,,,
,5/8/2024,3/30/2024,-0.43,-0.43,,-0.43,,,,,,,,,,,,,,,,,,,,,
,2/8/2024,12/31/2023,-0.54,-0.54,,-0.54,,,,,,,,,,,,,,,,,,,,,
,11/8/2023,9/30/2023,-0.57,-0.57,,-0.57,,,,,,,,,,,,,,,,,,,,,
,8/24/2023,6/30/2023,-0.69,-0.69,,-0.69,,,,,,,,,,,,,,,,,,,,,
,5/9/2023,3/30/2023,-0.69,-0.69,,-0.69,,,,,,,,,,,,,,,,,,,,,
,2/8/2023,12/31/2022,-1.1,-1.1,,-1.1,,,,,,,,,,,,,,,,,,,,,
,11/8/2022,9/30/2022,-0.86,-0.86,,-0.86,,,,,,,,,,,,,,,,,,,,,
,8/25/2022,6/30/2022,-0.65,-0.65,,-0.65,,,,,,,,,,,,,,,,,,,,,
,5/12/2022,3/31/2022,-0.19,-0.19,,-0.19,,,,,,,,,,,,,,,,,,,,,
,2/10/2022,12/31/2021,-0.57,-0.57,,-0.57,,,,,,,,,,,,,,,,,,,,,
,11/10/2021,9/30/2021,-1.13,-1.13,,-1.13,,,,,,,,,,,,,,,,,,,,,
,9/9/2021,6/30/2021,-0.46,-0.48,,-0.48,,,,,,,,,,,,,,,,,,,,,
,5/10/2021,3/31/2021,-1.23,-1.06,,-1.06,,,,,,,,,,,,,,,,,,,,,
,2/11/2021,12/31/2020,-0.38,-0.45,,-0.45,,,,,,,,,,,,,,,,,,,,,
,,9/30/2020,-0.06,-0.06,,-0.06,,,,,,,,,,,,,,,,,,,,,
