CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,
N,,3/28/2025,,2.39,5/25/2024,2.23,3/31/2024,2.22,2/10/2024,2.38,12/31/2023,2.33,11/11/2023,2.33,9/30/2023,2.33,8/12/2023,,7/3/2023,2.12,7/2/2023,1.56,,1.585,,,,
,,12/29/2024,,2.24,,2.15,,2.09,,2.24,,2.09,,2.15,,2.15,,,,1.95,,1.49,,1.585,,,,
,,9/29/2024,,2.06,,2,,2,,2.09,,1.94,,2.08,,2.08,,,,1.82,,1.34,,1.585,,,,
,,6/30/2024,,1.92,,1.93,,1.97,,2.08,,1.9,,2.03,,2.03,,,,1.81,,1.34,,1.585,,,,
,5/22/2024,3/28/2024,1.48,2.08,7/3/2023,2.02,7/3/2023,2.03,7/3/2023,2.24,7/3/2023,2.03,7/3/2023,2.13,7/3/2023,2.14,7/3/2023,2.13,7/3/2023,2.12,7/2/2023,1.56,,1.585,,,,
,2/7/2024,12/29/2023,1.86,2.56,,2.38,,1.86,,1.92,,1.92,,1.94,,1.95,,1.49,,1.585,,,,,,,,
,11/8/2023,9/29/2023,1.56,1.84,,1.81,,1.81,,1.82,,1.82,,1.34,,1.585,,,,,,,,,,,,
,8/9/2023,6/30/2023,1.6,1.89,,1.81,,1.81,,1.34,,1.585,,,,,,,,,,,,,,,,
,5/24/2023,3/31/2023,1.59,1.82,,1.38,,1.45,,1.74,,1.82,,,,,,,,,,,,,,,,
,2/8/2023,12/30/2022,1.075537285,1.27,,1.23,,1.31,,1.58,,1.66,,,,,,,,,,,,,,,,
,11/9/2022,9/30/2022,0.838037232,1.11,,1.08,,1.23,,1.39,,1.48,,,,,,,,,,,,,,,,
,8/10/2022,6/30/2022,0.749649732,1.15,,1.15,,1.38,,1.48,,,,,,,,,,,,,,,,,,
,5/25/2022,3/31/2022,0.671553633,1.2,,1.15,,1.3,,1.48,,1.58,,1.54,,1.788948655,,,,,,,,,,,,
,2/9/2022,12/31/2021,0.854177037,1.01,,0.99,,1.09,,1.34,,1.46,,1.42,,1.525867971,,,,,,,,,,,,
,11/10/2021,9/30/2021,0.823611484,1.01,,1.07,,1.31,,1.33,,1.144400978,,,,,,,,,,,,,,,,
