CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Y,,12/31/2026,,0.42,1/7/2026,0.39,11/9/2025,0.4,9/19/2025,0.41,8/16/2025,0.41,7/23/2025,0.4,6/23/2025,,,,,,,
,,9/30/2026,,0.39,,0.36,,0.37,,0.39,,0.38,,0.36,,,,,,,,
,,6/30/2026,,0.38,,0.35,,0.36,,0.38,,0.37,,0.36,,,,,,,,
,,3/30/2026,,0.38,,0.36,,0.37,,0.39,,0.38,,0.37,,,,,,,,
,,12/31/2025,,0.37,12/20/2024,0.37,12/20/2024,0.39,12/20/2024,0.41,12/20/2024,0.41,12/20/2024,0.4,12/20/2024,,,,,,,
,11/5/2025,9/30/2025,0.28,0.28,,0.35,,0.36,,0.36,,0.37,,,,,,,,,,
,8/6/2025,6/30/2025,0.32,0.32,,0.34,,0.35,,0.35,,,,,,,,,,,,
,5/6/2025,3/30/2025,0.36,0.36,,0.35,,0.38,,0.35,,,,,,,,,,,,
,2/11/2025,12/31/2024,0.29,0.29,4/5/2024,0.38,4/5/2024,0.36,4/5/2024,0.36,4/5/2024,,,,,,,,,,,
,11/6/2024,9/30/2024,0.32,0.32,,0.34,,0.37,,0.37,,,,,,,,,,,,
,8/7/2024,6/30/2024,0.35,0.35,,0.35,,0.37,,0.34,,,,,,,,,,,,
,5/8/2024,3/30/2024,0.32,0.32,,0.39,,0.36,,0.35,,,,,,,,,,,,
,2/14/2024,12/31/2023,0.37,0.37,3/24/2023,0.35,3/24/2023,0.35,3/24/2023,0.36,3/24/2023,,,,,,,,,,,
,11/1/2023,9/30/2023,0.15,0.15,,0.33,,0.34,,0.35,,,,,,,,,,,,
,8/5/2023,6/30/2023,0.25,0.25,,0.33,,0.35,,0.36,,,,,,,,,,,,
,5/2/2023,3/30/2023,0.32,0.32,,0.37,,0.39,,0.39,,,,,,,,,,,,
,2/15/2023,12/31/2022,0.34,0.34,,0.39,,0.4,,0.38,,,,,,,,,,,,
,11/1/2022,9/30/2022,0.29,0.37,,0.38,,0.37,,0.38,,,,,,,,,,,,
,8/3/2022,6/30/2022,0.39,0.39,,0.34,,0.34,,0.33,,,,,,,,,,,,
,5/4/2022,3/31/2022,0.37,0.37,,0.32,,0.32,,0.31,,,,,,,,,,,,
,2/16/2022,12/31/2021,0.29,0.29,,0.29,,0.29,,0.3,,,,,,,,,,,,
,11/3/2021,9/30/2021,0.2,0.2,,0.29,,0.28,,0.3,,,,,,,,,,,,
,8/3/2021,6/30/2021,0.2,0.2,,0.26,,0.24,,0.25,,,,,,,,,,,,
,5/6/2021,3/31/2021,1.21,1.21,,0.28,,0.26,,2.6,,,,,,,,,,,,
,2/17/2021,12/31/2020,0.19,0.19,,0.26,,0.26,,0.26,,,,,,,,,,,,
,11/4/2020,9/30/2020,-0.24,-0.29,,0.24,,0.24,,0.31,,,,,,,,,,,,
,8/5/2020,6/30/2020,0.13,0.13,,0.28,,0.31,,0.36,,,,,,,,,,,,
,5/11/2020,3/31/2020,-0.32,-0.32,,0.36,,0.36,,0.37,,,,,,,,,,,,
,2/19/2020,12/31/2019,0.37,0.38,,0.36,,0.36,,0.37,,,,,,,,,,,,
,11/6/2019,9/30/2019,0.32,0.32,,0.37,,0.38,,0.38,,,,,,,,,,,,
,8/7/2019,6/28/2019,0.333333333,0.33,,0.38,,0.4,,0.41,,,,,,,,,,,,
,5/8/2019,3/29/2019,0.330682294,0.34,,0.4,,0.39,,0.38,,,,,,,,,,,,
,2/20/2019,12/31/2018,0.26374284,0.27,,0.34,,0.38,,0.44,,,,,,,,,,,,
,11/7/2018,9/28/2018,0.319461233,0.32,,0.55,,0.48,,,,,,,,,,,,,,
,8/8/2018,6/29/2018,0.284924883,0.31,,0.46,,0.44,,,,,,,,,,,,,,
,5/9/2018,3/29/2018,0.2953148,0.32,,0.41,,0.44,,,,,,,,,,,,,,
,2/21/2018,12/29/2017,0.207555363,,,0.34,,0.43,,0.33,,,,,,,,,,,,
,11/7/2017,9/29/2017,0.209004616,,,0.36,,0.4,,0.25,,,,,,,,,,,,
,8/8/2017,6/30/2017,0.178743538,,,0.25,,0.35,,0.25,,,,,,,,,,,,
,5/3/2017,3/31/2017,0.203687445,,,0.26,,0.3,,0.2,,,,,,,,,,,,
,,12/30/2016,0.204469375,,,0.24,,0.27,,0.35,,,,,,,,,,,,
,,9/30/2016,0.188062142,,,0.25,,0.32,,0.36,,,,,,,,,,,,
,,6/30/2016,0.224666291,,,0.29,,0.35,,0.31,,,,,,,,,,,,
,,3/31/2016,0.297664625,,,0.29,,0.24,,0.26,,,,,,,,,,,,
