CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,12/31/2023,,1.75,2/25/2023,1.76,1/19/2023,1.77,12/15/2022,1.77,11/4/2022,1.26,10/12/2022,1.26,9/10/2022,1.16,8/6/2022,1.11,7/11/2022,1.19,6/10/2022,1.19,5/8/2022,1.19,3/29/2022,,2/27/2022,0.97,1/12/2022,0.97,12/8/2021,0.93,11/3/2021,0.93,10/14/2021,0.91,9/11/2021,0.64,8/7/2021,0.63,7/9/2021,0.63,6/3/2021,0.62,5/6/2021,0.62,3/24/2021,0.6,2/24/2021,0.9,1/9/2021,0.9,12/9/2020,0.87,11/8/2020,0.83,10/15/2020,0.94,9/13/2020,0.94,8/6/2020,0.94,6/20/2020,0.94,5/10/2020
,,9/30/2023,,1.81,,1.82,,1.84,,1.82,,1.26,,1.26,,1.18,,1.15,,1.2,,1.2,,1.2,,,,0.98,,0.98,,0.92,,0.92,,0.9,,0.67,,0.66,,0.64,,0.63,,0.63,,0.61,,0.93,,0.93,,0.92,,0.85,,0.98,,0.98,,0.98,,0.98,
,,6/30/2023,,1.75,,1.76,,1.77,,1.78,,1.26,,1.26,,1.15,,1.12,,1.17,,1.17,,1.17,,,,0.93,,0.93,,0.86,,0.86,,0.87,,0.74,,0.67,,0.64,,0.61,,0.61,,0.59,,0.9,,0.9,,0.91,,0.85,,0.9,,0.9,,0.9,,0.9,
,,3/30/2023,,1.62,,1.61,,1.58,,1.6,,1.09,,1.09,,1.02,,1,,1.07,,1.07,,1.07,,,,0.8,,0.8,,0.76,,0.76,,0.76,,0.63,,0.56,,0.55,,0.83,,0.83,,0.82,,0.83,,0.85,,0.85,,0.89,,0.89,,,,,,,
,2/25/2023,12/31/2022,1.1,1.69,,1.63,,1.64,,1.61,,1.04,,1.05,,1.01,,1,,1,,1.04,,1.06,,1,,0.97,1/12/2022,0.97,12/8/2021,0.93,11/3/2021,0.93,10/14/2021,0.91,9/11/2021,0.64,8/7/2021,0.63,7/9/2021,0.63,6/3/2021,0.62,5/6/2021,0.62,3/24/2021,0.6,2/24/2021,0.9,1/9/2021,0.9,12/9/2020,0.87,11/8/2020,0.83,10/15/2020,0.94,9/13/2020,0.94,8/6/2020,0.94,6/20/2020,0.94,5/10/2020
,11/2/2022,9/30/2022,1.16,1.73,,1.1,,1.11,,1.04,,1.02,,1.03,,1.04,,1.04,,1.01,,0.98,,0.98,,0.92,,0.92,,0.9,,0.67,,0.66,,0.64,,0.63,,0.63,,0.61,,0.93,,0.93,,0.92,,0.85,,0.98,,0.98,,0.98,,0.98,,,,,,,
,8/3/2022,6/30/2022,1.09,1.09,,0.99,,1.02,,1,,0.99,,0.95,,0.93,,0.93,,0.86,,0.86,,0.87,,0.74,,0.67,,0.64,,0.61,,0.61,,0.59,,0.9,,0.9,,0.91,,0.85,,0.9,,0.9,,0.9,,0.9,,,,,,,,,,,,,
,5/4/2022,3/30/2022,0.88,0.88,,0.9,,0.87,,0.8,,0.8,,0.76,,0.76,,0.76,,0.63,,0.56,,0.55,,0.83,,0.83,,0.82,,0.83,,0.85,,0.85,,0.89,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,
,2/24/2022,12/31/2021,0.9,0.83,,0.79,,0.78,,0.76,,0.76,,0.76,,0.64,,0.63,,0.63,6/3/2021,0.62,5/6/2021,0.62,3/24/2021,0.6,2/24/2021,0.9,1/9/2021,0.9,12/9/2020,0.87,11/8/2020,0.83,10/15/2020,0.94,9/13/2020,0.94,8/6/2020,0.94,6/20/2020,0.94,5/10/2020,,,,,,,,,,,,,,,,,,,,,,
,11/2/2021,9/30/2021,0.89,0.89,,0.78,,0.78,,0.67,,0.66,,0.64,,0.63,,0.63,,0.61,,0.93,,0.93,,0.92,,0.85,,0.98,,0.98,,0.98,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2021,6/30/2021,0.74,0.74,,0.67,,0.64,,0.61,,0.61,,0.59,,0.9,,0.9,,0.91,,0.85,,0.9,,0.9,,0.9,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2021,3/31/2021,0.63,0.63,,0.56,,0.55,,0.83,,0.83,,0.82,,0.83,,0.85,,0.85,,0.89,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/22/2021,12/31/2020,0.86,0.855,,0.82,,0.85,,0.83,,0.83,5/10/2020,0.84,5/10/2020,0.84,5/10/2020,0.86,5/10/2020,0.91,4/27/2020,0.87,3/17/2020,0.86,3/8/2020,0.86,,0.85,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.78,0.78,,0.86,,0.87,,0.87,,0.9,,0.93,,0.94,,0.92,,0.92,,0.91,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
