CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,
Core EPS,,12/31/2026,,0.83,11/2/2025,0.81,9/4/2025,0.8,7/31/2025,0.74,7/17/2025,0.74,6/9/2025,0.74,5/1/2025,,,,,,,,,,,,,,,,,,
,,9/30/2026,,0.81,,0.76,,0.75,,0.72,,0.71,,0.72,,,,,,,,,,,,,,,,,,,
,,6/30/2026,,0.73,,0.69,,0.69,,0.65,,0.64,,0.64,,,,,,,,,,,,,,,,,,,
,,3/30/2026,,0.66,,0.61,,0.61,,0.59,,0.59,,0.59,,,,,,,,,,,,,,,,,,,
,,12/31/2025,,0.7,12/11/2024,0.67,12/11/2024,0.66,12/11/2024,0.63,12/11/2024,0.63,12/11/2024,0.63,12/11/2024,,,,,,,,,,,,,,,,,,
,10/28/2025,9/30/2025,0.5,0.67,,0.66,,0.65,,0.61,,0.61,,0.62,,,,,,,,,,,,,,,,,,,
,7/29/2025,6/30/2025,0.54,0.6,,0.57,,0.57,,0.57,,0.57,,0.57,,,,,,,,,,,,,,,,,,,
,4/29/2025,3/31/2025,0.18,0.54,,0.51,,0.5,,0.5,,0.48,,0.49,,,,,,,,,,,,,,,,,,,
,1/29/2025,12/31/2024,0.36,0.57,,0.56,,0.53,,0.53,,0.56,,0.55,,,,,,,,,,,,,,,,,,,
,10/29/2024,9/30/2024,-0.14,0.54,,0.53,,0.53,,0.54,,0.53,,0.53,,,,,,,,,,,,,,,,,,,
,7/30/2024,6/28/2024,0.12,0.47,,0.46,,0.45,,0.44,,0.56,,,,,,,,,,,,,,,,,,,,,
,4/30/2024,3/28/2024,0.24,0.38,,0.35,,0.5,,0.52,,,,,,,,,,,,,,,,,,,,,,,
,1/30/2024,12/29/2023,-0.047003525,0.39,,0.39,,0.52,,0.57,,0.68,,,,,,,,,,,,,,,,,,,,,
,10/24/2023,9/29/2023,0.190919674,0.45,,0.47,,0.48,,0.53,,0.66,,,,,,,,,,,,,,,,,,,,,
,7/25/2023,6/30/2023,0.327124563,0.45,,0.46,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,
,4/25/2023,3/31/2023,0.204889406,0.41,,0.39,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,
,1/31/2023,12/30/2022,-0.042704626,0.47,,0.44,,0.61,,0.66,,0.638341969,,,,,,,,,,,,,,,,,,,,,
,10/25/2022,9/30/2022,0.243274854,0.51,,0.51,,0.6,,0.64,,0.592746114,,,,,,,,,,,,,,,,,,,,,
,7/26/2022,6/30/2022,0.65771028,0.57,,0.56,,0.57,,0.58,,0.59,,0.524352332,,,,,,,,,,,,,,,,,,,
,4/26/2022,3/31/2022,0.67636787,0.54,,0.5,,0.52,,0.53,,0.54,,0.467357513,,,,,,,,,,,,,,,,,,,
,1/26/2022,12/31/2021,0.563657407,0.54,,0.52,,0.58,,0.59,,0.56,,0.57,,,,,,,,,,,,,,,,,,,
,10/26/2021,9/30/2021,0.428406467,0.56,,0.58,,0.57,,0.52,,0.48,,0.44,,,,,,,,,,,,,,,,,,,
,7/27/2021,6/30/2021,-0.41943128,0.53,,0.51,,0.46,,0.41,,0.36,,,,,,,,,,,,,,,,,,,,,
,4/27/2021,3/31/2021,0.667037862,0.45,,0.43,,0.41,,0.35,,0.31,,,,,,,,,,,,,,,,,,,,,
,,12/31/2020,0.281879195,,,0.49,,0.46,,0.44,,0.54,,0.59,,,,,,,,,,,,,,,,,,,
,,9/30/2020,0.453318335,,,0.38,,0.36,,0.29,,0.44,,0.5,,,,,,,,,,,,,,,,,,,
,,6/30/2020,-0.126482213,,,0.12,,0.28,,0.41,,0.44,,0.52,,,,,,,,,,,,,,,,,,,
,,3/31/2020,-0.157894737,,,0.17,,0.19,,0.35,,0.38,,0.46,,,,,,,,,,,,,,,,,,,
,,12/31/2019,0.009079118,,,0.44,,0.47,,0.61,,0.62,,0.63,,,,,,,,,,,,,,,,,,,
,,9/30/2019,0.375696767,,,0.4,,0.53,,0.54,,0.55,,0.52,,,,,,,,,,,,,,,,,,,
,,6/28/2019,0.086185044,,,0.45,,0.47,,0.48,,0.46,,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.549559471,,,0.4,,0.43,,0.41,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.31773667,,,0.57,,0.56,,0.53,,0.54,,0.56,,,,,,,,,,,,,,,,,,,
,,9/28/2018,0.672043011,,,0.49,,0.48,,0.46,,0.47,,0.5,,,,,,,,,,,,,,,,,,,
,,6/29/2018,0.782608696,,,0.37,,0.4,,0.43,,0.44,,0.45,,,,,,,,,,,,,,,,,,,
,,3/29/2018,-0.722877358,,,0.3,,0.35,,0.39,,0.41,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,-1.66396292,,,0.47,,0.48,,0.47,,0.51,,0.49,,,,,,,,,,,,,,,,,,,
,,9/29/2017,0.386521308,,,0.41,,0.45,,0.44,,0.46,,0.44,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.424564797,,,0.4,,0.41,,0.45,,0.4,,0.39,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.066239316,,,0.35,,0.41,,0.36,,0.35,,0.44,,,,,,,,,,,,,,,,,,,
,,12/30/2016,1.473289597,,,0.44,,0.39,,0.38,,0.39,,0.4,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.257713249,,,0.38,,0.39,,0.41,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,1.867174281,,,0.32,,0.36,,0.37,,0.38,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,-0.355394379,,,0.28,,0.32,,0.36,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.173310225,,,0.32,,0.36,,0.4,,0.41,,0.4,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.154351396,,,0.34,,0.35,,0.42,,0.43,,0.42,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.361779723,,,0.37,,0.39,,0.4,,0.39,,0.4,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.291965567,,,0.34,,0.35,,0.36,,0.4,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.704707561,,,0.38,,0.39,,0.41,,0.4,,0.43,,,,,,,,,,,,,,,,,,,
