Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,,
,12/31/2021,5.05,4/29/2020,5.05,3/28/2020,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2021,6.21,,6.21,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2021,6.78,,6.78,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2021,7.41,,7.41,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2020,3.97,3/28/2020,4.43,3/28/2020,4.43,3/1/2020,4.52,1/30/2020,4.41,1/15/2020,4.41,11/23/2019,4.42,10/7/2019,4.47,,4.47,,4.38,,4.164344648,,,,,,
,9/30/2020,5.28,,5.61,,5.62,,5.55,,5.54,,5.53,,5.6,,5.69,,5.69,,5.884657963,,,,,,,,
,6/30/2020,6.35,,5.94,,5.93,,5.81,,5.66,,5.65,,5.76,,5.88,,5.88,,5.89,,5.742287206,,,,,,
4/29/2020,3/31/2020,5.94,,6.44,,6.44,,6.62,,7.08,,7.09,,7.11,,7.03,,7.03,,7.1,,6.916845953,,,,,,
1/29/2020,12/31/2019,3.62,,3.88,,3.88,,3.84,,3.79,,3.79,,3.74,,3.73,3.52,3.51,3.54,2.62,2.61,2.59,2.31,2.31,2.24,2.2,,
10/23/2019,9/30/2019,4.55,,4.83,,4.86,,4.86,,4.89,,4.98,4.96,4.95,4.17,4.18,4.12,4.08,4.14,4.17,,,,,,,,
7/24/2019,6/28/2019,4.363984674,,4.61,,4.65,,4.66,,4.86,4.84,4.82,4.85,4.84,4.79,4.78,4.72,4.66,,,,,,,,,,
4/24/2019,3/29/2019,5.91307663,,5.81,,5.83,,5.99,,5.85,5.86,5.8,5.79,,,,,,,,,,,,,,,
1/30/2019,12/31/2018,1.604844815,,2.2,,2.19,,2.2,,2.13,2.14,2.08,1.97,,,,,,,,,,,,,,,
10/31/2018,9/28/2018,3.617181613,,3.7,,3.69,,3.71,,3.58,,,,,,,,,,,,,,,,,,
7/25/2018,6/29/2018,3.982608696,,4.16,,4.19,,4.3,,,,,,,,,,,,,,,,,,,,
4/25/2018,3/29/2018,4.994292237,,4.88,,5.1,,,,,,,,,,,,,,,,,,,,,,
1/31/2018,12/29/2017,14.34951456,,1.27,,1.85,,1.86,,1.69,1.76,,,,,,,,,,,,,,,,,
10/25/2017,9/29/2017,2.797378277,,2.42,,2.61,,2.65,,2.73,3,,,,,,,,,,,,,,,,,
7/26/2017,6/30/2017,3.158419498,,3.23,,3.36,,3.4,,3.41,3.47,,,,,,,,,,,,,,,,,
4/26/2017,3/31/2017,3.734837278,,3.86,,3.69,,3.62,,3.64,3.71,1.61,,,,,,,,,,,,,,,,
2/1/2017,12/30/2016,1.371045776,,1.61,,1.59,,1.46,,1.56,1.53,,,,,,,,,,,,,,,,,
11/2/2016,9/30/2016,2.304364043,,2.47,,2.66,,2.73,,3.23,,,,,,,,,,,,,,,,,,
7/27/2016,6/30/2016,2.910514541,,3.23,,3.27,,3.28,,3.32,,,,,,,,,,,,,,,,,,
4/27/2016,3/31/2016,2.628037383,,3.32,,3.33,,3.34,,,,,,,,,,,,,,,,,,,,
,12/31/2015,0.675,,1.2,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2015,2.432392273,,2.33,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2015,3.131972293,,2.77,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2015,3.085592011,,2.67,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2014,1.803202847,,1.72,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2014,2.220696938,,2.27,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2014,2.556293706,,2.26,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2014,2.395762133,,2.13,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2013,0.487820935,,0.87,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2013,2.15500821,,1.82,,,,,,,,,,,,,,,,,,,,,,,,
,6/28/2013,2.638852243,,2.11,,,,,,,,,,,,,,,,,,,,,,,,
,3/28/2013,2.893756129,,2.38,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2012,1.45,,0.95,,,,,,,,,,,,,,,,,,,,,,,,
,9/28/2012,2.15,,1.84,,,,,,,,,,,,,,,,,,,,,,,,
,6/29/2012,1.94,,2.08,,,,,,,,,,,,,,,,,,,,,,,,
,3/30/2012,2.53,,2.27,,,,,,,,,,,,,,,,,,,,,,,,
,12/30/2011,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2011,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2011,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2011,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2010,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2010,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2010,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2010,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2009,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2009,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2009,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2009,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2008,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2008,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2008,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2008,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2007,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/28/2007,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/29/2007,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/30/2007,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/29/2006,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/29/2006,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2006,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2006,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/30/2005,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2005,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2005,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2005,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2004,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2004,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2004,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2004,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2003,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2003,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2003,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2003,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2002,0.595,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2002,0.645,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/28/2002,0.505,,,,,,,,,,,,,,,,,,,,,,,,,,
