CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,
N,,12/31/2025,,2.25,5/4/2024,2.19,3/30/2024,2.21,2/10/2024,2,1/26/2024,2.13,12/26/2023,2.14,11/3/2023,2.18,9/22/2023,2.15,8/5/2023,2,6/21/2023,2,5/13/2023,1.7675,5/12/2023,1.7375
,,9/30/2025,,2.16,,1.9,,1.04,,1.96,,2.03,,2.04,,2.09,,2.06,,1.93,,1.91,,1.7675,,1.7375
,,6/30/2025,,1.96,,1.49,,1.56,,1.86,,1.93,,1.95,,1.99,,1.96,,1.91,,1.8,,1.7675,,1.7375
,,3/30/2025,,1.81,,1.24,,1.33,,1.83,,1.87,,1.87,,1.91,,1.83,,1.69,,1.69,,1.7675,,1.7375
,,12/31/2024,,1.97,3/30/2024,2.19,3/30/2024,2.21,2/10/2024,2,1/26/2024,2.13,12/26/2023,2.14,11/3/2023,2.18,9/22/2023,2.15,8/5/2023,2,6/21/2023,2,5/13/2023,1.7675,5/12/2023,1.7375
,,9/30/2024,,1.59,,1.9,,1.04,,1.96,,2.03,,2.04,,2.09,,2.06,,1.93,,1.91,,1.7675,,1.7375
,,6/28/2024,,1.34,,1.49,,1.56,,1.86,,1.93,,1.95,,1.99,,1.96,,1.91,,1.8,,1.7675,,1.7375
,5/1/2024,3/28/2024,1.57,1.57,,1.24,,1.33,,1.83,,1.87,,1.87,,1.91,,1.83,,1.69,,1.69,,1.7675,,1.7375
,2/7/2024,12/29/2023,2.15,2.15,,2.02,,2,,1.99,,2,,1.93,,1.79,,1.77,,1.64,,1.61,,1.41,,
,11/2/2023,9/29/2023,1.99,1.73,,1.73,,1.69,,1.68,,1.66,,1.59,,1.56,,1.35,,,,,,,,
,8/2/2023,6/30/2023,1.86,1.86,,1.46,,1.47,,1.46,,1.43,,1.29,,,,,,,,,,,,
,5/3/2023,3/31/2023,1.43,1.43,,1.26,,1.23,,1.22,,,,,,,,,,,,,,,,
,2/8/2023,12/30/2022,1.713426733,1.71,,1.38,,,,,,,,,,,,,,,,,,,,
,11/2/2022,9/30/2022,1.206984336,1.21,,1.13,,,,,,,,,,,,,,,,,,,,
,8/3/2022,6/30/2022,1.316965616,1.32,,1,,,,,,,,,,,,,,,,,,,,
,5/4/2022,3/31/2022,1.224465768,1.22,,0.92,,,,,,,,,,,,,,,,,,,,
,2/7/2022,12/31/2021,1.049660404,1.05,,0.84,,,,,,,,,,,,,,,,,,,,
,11/3/2021,9/30/2021,0.806711843,0.82,,0.71,,,,,,,,,,,,,,,,,,,,
,8/4/2021,6/30/2021,0.550843753,0.55,,0.45,,,,,,,,,,,,,,,,,,,,
,5/4/2021,3/31/2021,0.477665518,0.48,,0.32,,,,,,,,,,,,,,,,,,,,
,2/10/2021,12/31/2020,0.42834664,0.32,,0.3,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.31602973,0.32,,0.24,,,,,,,,,,,,,,,,,,,,
,8/4/2020,6/30/2020,0.391660286,0.39,,0.27,,,,,,,,,,,,,,,,,,,,
,5/5/2020,3/31/2020,0.32886044,0.33,,0.25,,,,,,,,,,,,,,,,,,,,
,,12/31/2019,0.286575278,,,0.16,,,,,,,,,,,,,,,,,,,,
,,9/30/2019,0.021006512,,,-0.01,,,,,,,,,,,,,,,,,,,,
,,6/28/2019,0.017698593,,,-0.03,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.178237494,,,0.11,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.250841055,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,0.259029229,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,0.433091745,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,0.407349881,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,2.681443359,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,0.351986636,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.41907863,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.29452798,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.127242652,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.070883139,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.094459464,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.06225426,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.026260504,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.2002232,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.195668756,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.016004043,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.001705742,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,-0.042076615,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,-0.062043664,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.01,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,-0.04,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,-0.04,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,-0.08,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,-0.14,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,-0.08,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,-0.09,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,-0.02,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.01,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.04,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.02,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.04,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,-0.06,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,-0.04,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,-0.11,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,-0.1,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,-0.15,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,-0.22,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,-0.28,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,-1.37,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,-0.24,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,-0.19,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,-0.11,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,-0.1,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,-0.08,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.05,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.03,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.15,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.12,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.12,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.01,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,-0.01,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,-0.05,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.01,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.02,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.07,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.19,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.33,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.13,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.03,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,-0.32,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,-0.8,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,-0.06,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,-0.07,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,-0.02,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,-0.18,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,-0.18,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,-0.17,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,-0.02,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.17,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.31,,,nan,,,,,,,,,,,,,,,,,,,,
