CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,
Adjusted,,12/31/2026,,1.56,10/21/2025,1.66,9/9/2025,1.83,8/4/2025,1.85,7/10/2025,,
,,9/30/2026,,1.88,,1.92,,2.2,,2.24,,,
,,6/30/2026,,1.85,,1.98,,2.12,,2.16,,,
,,3/30/2026,,1.54,,1.69,,1.92,,1.95,,,
,,12/31/2025,,1.08,12/13/2024,1.29,12/13/2024,1.71,12/13/2024,1.74,12/13/2024,,
,,9/30/2025,,1.16,,1.26,,1.87,,1.91,,,
,7/31/2025,6/30/2025,1.2,1.6,,1.75,,1.8,,2.16,,,
,4/24/2025,3/30/2025,1.57,1.91,,1.9,,1.9,,1.93,,,
,1/30/2025,12/31/2024,2.82,1.87,3/30/2024,1.76,3/30/2024,1.78,3/30/2024,1.79,3/30/2024,,
,10/31/2024,9/30/2024,1.53,2.26,,2.14,,2.13,,2.16,,,
,7/25/2024,6/30/2024,1.94,2.15,,2.03,,2.06,,2.07,,,
,4/25/2024,3/30/2024,1.39,1.61,,1.42,,1.65,,1.67,,,
,2/1/2024,12/31/2023,2.61,1.31,3/9/2023,1.3,3/9/2023,1.29,3/9/2023,1.51,3/9/2023,,
,10/26/2023,9/30/2023,1.49,1.47,,1.52,,2.02,,2.2,,,
,7/27/2023,6/30/2023,2.27,1.99,,1.94,,2.06,,2.08,,,
,4/27/2023,3/30/2023,1.12,1.63,,1.16,,1.55,,1.7,,,
,1/26/2023,12/31/2022,0.01,0.89,,1.28,,1.3,,1.72,,,
,10/27/2022,9/30/2022,2.46,2.05,,2.01,,2.6,,2.61,,,
,7/28/2022,6/30/2022,2.03,2.83,,2.68,,2.69,,2.7,,,
,4/28/2022,3/31/2022,1.8,2.06,,2.19,,2.3,,2.29,,,
,1/27/2022,12/31/2021,2.81,1.81,,1.87,,1.86,,2.03,,,
,10/28/2021,9/30/2021,2.57,2.46,,2.47,,2.5,,2.5,,,
,8/2/2021,6/30/2021,-1.07,2.46,,2.3,,2.29,,2.27,,,
,4/29/2021,3/31/2021,1.99,2.13,,2.04,,2.04,,2.03,,,
,1/28/2021,12/31/2020,0.23,1.69,,1.5,,1.49,,1.39,,,
,10/29/2020,9/30/2020,1.181217902,1.57,,1.37,,1.34,,1.38,,,
,8/3/2020,6/30/2020,0.198383542,0.85,,1.05,,1.03,,1.59,,,
,4/30/2020,3/31/2020,1.89010989,2.03,,1.71,,1.68,,1.87,,,
,1/30/2020,12/31/2019,0.189642597,1.42,,1.33,,1.37,,1.91,,,
,10/24/2019,9/30/2019,1.930333817,1.94,,1.98,,2.01,,2.6,,,
,7/25/2019,6/28/2019,1.854780733,1.99,,2.09,,2.17,,2.36,,,
,4/25/2019,3/29/2019,1.491791577,1.77,,1.87,,1.91,,2.29,,,
,1/31/2019,12/31/2018,0.240963855,1.39,,1.61,,1.65,,1.66,,,
,10/25/2018,9/28/2018,2.893258427,2.34,,2.3,,2.31,,2.32,,,
,7/26/2018,6/29/2018,2.424242424,2.22,,2.21,,2.23,,2.22,,,
,4/26/2018,3/29/2018,2.002762431,2.23,,2.09,,2.08,,,,,
,2/1/2018,12/29/2017,3.390883978,,,1.06,,1.65,,1.68,,,
,10/26/2017,9/29/2017,2.219931271,,,2.03,,2.19,,2,,,
,7/27/2017,6/30/2017,1.994535519,,,1.91,,1.9,,1.93,,,
,4/27/2017,3/31/2017,1.888586957,,,1.75,,1.78,,1.79,,,
,,12/30/2016,0.86779661,,,1.49,,1.5,,1.51,,,
,,9/30/2016,1.565452092,,,1.67,,1.88,,1.94,,,
,,6/30/2016,1.712558764,,,1.81,,1.87,,2.06,,,
,,3/31/2016,1.686827957,,,1.53,,1.84,,1.81,,,
,,12/31/2015,0.829431438,,,1.55,,1.57,,1.65,,,
,,9/30/2015,1.70894526,,,1.84,,1.86,,1.87,,,
,,6/30/2015,1.982643525,,,1.83,,1.88,,2,,,
,,3/31/2015,1.142284569,,,1.6,,1.8,,1.71,,,
,,12/31/2014,0.107744108,,,1.52,,1.54,,1.55,,,
,,9/30/2014,1.397205589,,,1.8,,1.82,,1.87,,,
,,6/30/2014,1.929940516,,,1.84,,1.86,,1.88,,,
,,3/31/2014,1.538969617,,,1.57,,1.58,,1.76,,,
,,12/31/2013,2.223650386,,,1.25,,1.42,,1.64,,,
,,9/30/2013,1.969309463,,,1.64,,1.66,,1.64,,,
,,6/28/2013,1.684747926,,,1.64,,1.66,,1.72,,,
,,3/28/2013,1.57626037,,,1.57,,1.53,,1.5,,,
,,12/31/2012,-0.3515625,,,1.19,,1.22,,1.42,,,
,,9/28/2012,0.984654731,,,1.42,,,,,,,
,,6/29/2012,1.267705382,,,1.34,,,,,,,
,,3/30/2012,1.122956645,,,nan,,,,,,,
,,12/30/2011,0.713775874,,,nan,,,,,,,
,,9/30/2011,0.95505618,,,nan,,,,,,,
,,6/30/2011,1.455172414,,,nan,,,,,,,
,,3/31/2011,1.521438451,,,nan,,,,,,,
,,12/31/2010,0.128552097,,,nan,,,,,,,
,,9/30/2010,1.159618008,,,nan,,,,,,,
,,6/30/2010,1.006802721,,,nan,,,,,,,
,,3/31/2010,0.688949523,,,nan,,,,,,,
,,12/31/2009,-0.217983651,,,nan,,,,,,,
,,9/30/2009,0.68707483,,,nan,,,,,,,
,,6/30/2009,0.444596443,,,nan,,,,,,,
,,3/31/2009,0.013717421,,,nan,,,,,,,
,,12/31/2008,-0.015,,,nan,,,,,,,
,,9/30/2008,0.665,,,nan,,,,,,,
,,6/30/2008,0.74,,,nan,,,,,,,
