CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,
N,,12/31/2023,,0.68,10/2/2022,0.86,9/1/2022,0.88,7/30/2022,0.83,6/21/2022,0.83,5/15/2022,0.83,4/14/2022,,3/12/2022,0.71,2/9/2022,0.75,12/29/2021,0.73,12/18/2021,0.76,,0.608099174
,,9/30/2023,,0.63,,1,,1,,1.02,,1.02,,1.02,,,,0.87,,0.87,,0.87,,0.85,,0.654876033
,,6/30/2023,,0.74,,1.13,,1.05,,1.11,,1.11,,1.11,,,,0.97,,0.96,,0.95,,0.97,,0.631487603
,,3/30/2023,,0.66,,1.05,,0.98,,1.06,,1.06,,1.06,,,,0.95,,0.89,,0.89,,0.9,,0.830289256
,,12/30/2022,,0.72,,0.71,,0.72,,0.74,,0.74,,0.7,,0.69,,0.71,2/9/2022,0.75,12/29/2021,0.73,12/18/2021,0.76,,0.608099174
,,9/30/2022,,0.82,,0.79,,0.81,,0.86,,0.86,,0.87,,0.88,,0.87,,0.87,,0.87,,0.85,,0.654876033
,7/26/2022,6/30/2022,0.92,0.97,,0.92,,0.92,,0.98,,0.98,,0.97,,0.96,,0.95,,0.97,,0.631487603,,,,
,4/20/2022,3/31/2022,0.91,0.99,,0.96,,0.96,,0.95,,0.89,,0.89,,0.9,,0.830289256,,,,,,,,
,2/8/2022,12/31/2021,0.32,0.58,,0.56,,0.57,,0.59,,0.52,,0.45,,0.46,,0.42,,,,,,,,
,10/28/2021,9/30/2021,0.573752711,0.7,,0.68,,0.69,,0.56,,0.53,,0.5,,,,,,,,,,,,
,7/30/2021,6/30/2021,0.744588745,0.87,,0.81,,0.64,,0.56,,0.57,,0.51,,,,,,,,,,,,
,4/30/2021,3/31/2021,0.860086768,0.89,,0.72,,0.71,,0.55,,0.5,,,,,,,,,,,,,,
,2/9/2021,12/31/2020,0.806731813,0.52,,0.46,,0.39,,0.34,,0.32,,0.33,,0.34,,0.39,,0.4,,0.56,,0.565637066,,
,11/3/2020,9/30/2020,0.018498368,0.46,,0.47,,0.35,,0.34,,0.39,,0.48,,0.53,,0.55,,0.74,,0.769266409,,,,
,7/22/2020,6/30/2020,0.249455338,0.28,,0.27,,0.41,,0.55,,0.58,,0.6,,0.79,,0.837142857,,,,,,,,
,4/21/2020,3/31/2020,0.378316032,0.48,,0.44,,0.43,,0.47,,0.5,,0.51,,0.71,,0.72,,0.746640927,,,,,,
,1/28/2020,12/31/2019,6.003870968,0.34,,0.3,,0.26,,0.31,,0.49,,0.5,,0.51,,0.52,,0.5,,0.59,,0.6,,0.61
,10/22/2019,9/30/2019,0.555555556,0.44,,0.43,,0.66,,0.68,,0.67,,0.69,,0.73,,0.77,,0.78,,,,,,
,7/25/2019,6/28/2019,0.541827542,0.74,,0.73,,0.71,,0.69,,0.74,,0.75,,0.74,,0.76,,0.81,,0.82,,0.81,,0.82
,4/17/2019,3/29/2019,0.488491049,0.64,,0.65,,0.67,,0.66,,0.68,,0.69,,0.75,,0.77,,0.74,,,,,,
,1/29/2019,12/31/2018,0.143939394,0.41,,0.41,,0.48,,0.49,,0.51,,0.46,,0.5,,0.55,,,,,,,,
,10/24/2018,9/28/2018,0.622057001,0.62,,0.62,,0.66,,0.67,,0.66,,0.65,,0.63,,0.7,,,,,,,,
,7/24/2018,6/29/2018,0.63490099,0.71,,0.71,,0.72,,0.71,,0.72,,0.76,,,,,,,,,,,,
,4/26/2018,3/29/2018,0.576875769,0.68,,0.65,,0.66,,0.67,,0.65,,,,,,,,,,,,,,
,,12/29/2017,0.464547677,,,0.4,,0.44,,0.46,,0.45,,0.5,,,,,,,,,,,,
,,9/29/2017,0.473170732,,,0.55,,0.6,,0.63,,0.62,,0.69,,0.65,,,,,,,,,,
,,6/30/2017,-2.198787879,,,0.63,,0.65,,0.66,,0.67,,0.71,,,,,,,,,,,,
,,3/31/2017,0.567110036,,,0.54,,0.55,,0.59,,0.64,,,,,,,,,,,,,,
,,12/30/2016,0.403823178,,,0.37,,0.45,,0.47,,0.5,,0.52,,,,,,,,,,,,
,,9/30/2016,0.500591716,,,0.56,,0.59,,0.6,,0.61,,0.65,,,,,,,,,,,,
,,6/30/2016,0.590318772,,,0.61,,0.59,,0.63,,0.64,,0.66,,0.49,,,,,,,,,,
,,3/31/2016,0.457309942,,,0.49,,0.48,,0.52,,0.53,,0.57,,0.42,,,,,,,,,,
,,12/31/2015,0.035796767,,,0.42,,0.43,,0.45,,0.48,,0.53,,0.48,,,,,,,,,,
,,9/30/2015,0.503393665,,,0.53,,0.54,,0.62,,0.66,,,,,,,,,,,,,,
,,6/30/2015,0.743875278,,,0.58,,0.64,,0.67,,0.69,,,,,,,,,,,,,,
,,3/31/2015,0.33518313,,,0.47,,0.49,,0.54,,0.55,,0.36,,,,,,,,,,,,
