CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Adjusted EPS,,12/31/2026,,0.1,12/19/2025,0.1,11/6/2025,0.32,10/23/2025,0.32,9/14/2025,0.32,8/5/2025,0.5,7/17/2025,0.5,6/11/2025,0.5,5/2/2025,,
,,9/30/2026,,0.28,,0.28,,0.42,,0.42,,0.42,,0.56,,0.56,,0.56,,,
,,6/30/2026,,0.37,,0.37,,0.42,,0.42,,0.42,,0.69,,0.69,,0.69,,,
,,3/30/2026,,1.73,,1.73,,1.8,,1.8,,1.8,,2,,2,,2,,,
,,12/31/2025,,-0.47,12/15/2024,-0.46,12/15/2024,0.08,12/15/2024,0.08,12/15/2024,0.08,12/15/2024,0.23,12/15/2024,0.23,12/15/2024,0.22,12/15/2024,,
,11/3/2025,9/30/2025,-0.53,-0.2,,0.22,,0.22,,0.22,,0.32,,0.32,,0.35,,,,,
,8/1/2025,6/30/2025,-0.14,0.26,,0.43,,0.43,,0.48,,,,,,,,,,,
,4/29/2025,3/30/2025,1.35,1.57,,2.02,,2.02,,2.02,,,,,,,,,,,
,2/10/2025,12/31/2024,-0.22,0.05,4/5/2024,0.02,4/5/2024,0.1,4/5/2024,0.12,4/5/2024,,,,,,,,,,
,10/31/2024,9/30/2024,0.07,0.39,,0.33,,0.39,,0.54,,,,,,,,,,,
,8/1/2024,6/30/2024,0.48,0.86,,0.73,,0.66,,0.69,,,,,,,,,,,
,5/1/2024,3/30/2024,2.08,2.27,,2.13,,2.28,,2.52,,,,,,,,,,,
,2/8/2024,12/31/2023,0.52,0.75,,0.65,,0.65,,0.65,,,,,,,,,,,
,10/31/2023,9/30/2023,1.16,1.46,,0.86,,0.86,,1.11,,,,,,,,,,,
,8/3/2023,6/30/2023,0.33,0.64,,1.25,,1.25,,1.25,,,,,,,,,,,
,4/26/2023,3/30/2023,2.45,2.67,,2.48,,2.53,,2.3,,,,,,,,,,,
,2/9/2023,12/31/2022,0.99,1.21,,0.91,,0.91,,0.91,,,,,,,,,,,
,10/31/2022,9/30/2022,0.98,1.23,,0.97,,0.97,,0.95,,,,,,,,,,,
