CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,
N,,1/30/2027,,1.25,3/4/2025,1.19,12/30/2024,1.19,11/28/2024,1.17,11/12/2024,1.17,10/8/2024,1.18,8/30/2024,1.36,7/20/2024,1.36,6/9/2024,1.24,,1.225,,1.2225,,,,,,,,
,,10/31/2026,,1.15,,1.12,,1.12,,1.07,,1.06,,1.07,,1.24,,1.24,,1.24,,1.225,,1.2225,,,,,,,,
,,7/31/2026,,1.08,,1.04,,1.04,,1.03,,1.02,,1.03,,1.16,,1.16,,1.16,,1.225,,1.2225,,,,,,,,
,,4/30/2026,,0.98,,0.95,,0.95,,0.94,,0.94,,0.95,,1.1,,1.1,,1.1,,1.225,,1.2225,,,,,,,,
,,1/30/2026,,1.04,12/30/2024,1.19,12/30/2024,1.19,11/28/2024,1.17,11/12/2024,1.17,10/8/2024,1.18,8/30/2024,1.36,7/20/2024,1.36,6/9/2024,1.24,,1.225,,1.2225,,,,,,,,
,,10/31/2025,,0.91,,1.12,,1.12,,1.07,,1.06,,1.07,,1.24,,1.24,,1.24,,1.225,,1.2225,,,,,,,,
,,7/31/2025,,0.81,,1.04,,1.04,,1.03,,1.02,,1.03,,1.16,,1.16,,1.16,,1.225,,1.2225,,,,,,,,
,,4/30/2025,,0.66,,0.95,,0.95,,0.94,,0.94,,0.95,,1.1,,1.1,,1.1,,1.225,,1.2225,,,,,,,,
,3/4/2025,1/31/2025,-0.37,1.03,,0.85,,0.85,,0.86,,0.86,,0.88,,1.1,,1.1,,1.1,,1.11,,1.02,,1.03,,1.02,,1.03,,1.02
,11/26/2024,10/31/2024,-0.07,0.93,,0.81,,0.81,,0.82,,1,,1,,1,,0.99,,0.97,,,,,,,,,,,,
,8/28/2024,7/31/2024,0.19,1.04,,0.99,,0.99,,0.99,,0.91,,0.9,,0.91,,0.9,,,,,,,,,,,,,,
,6/4/2024,4/30/2024,0.171167714,0.93,,0.89,,0.9,,0.82,,,,,,,,,,,,,,,,,,,,,,
,3/5/2024,1/31/2024,0.216584118,0.95,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/28/2023,10/31/2023,0.109372885,0.82,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/30/2023,7/31/2023,0.034987445,0.74,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/31/2023,4/28/2023,0.002040748,0.57,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/7/2023,1/31/2023,-0.202104439,0.47,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/29/2022,10/31/2022,-0.235258892,0.4,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/30/2022,7/29/2022,-0.211993773,0.36,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/2/2022,4/29/2022,-0.136258051,0.31,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/9/2022,1/31/2022,-0.182877446,0.3,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/1/2021,10/29/2021,-0.221206958,0.17,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/31/2021,7/30/2021,-0.25313436,0.11,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/3/2021,4/30/2021,-0.379205275,0.1,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/29/2021,-0.085701398,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/30/2020,-0.111667677,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2020,-0.137981956,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2020,-0.090086286,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2020,-0.136824609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2019,-0.173937755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2019,-0.398951503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2019,-0.550789111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2019,-0.674336436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2018,-0.934042882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2018,-0.745947172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2018,-0.770394827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2018,-0.995797115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2017,-0.794734295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2017,-0.861755235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/28/2017,-0.839414922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2017,-0.6825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2016,-0.6825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/29/2016,-0.6825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
