Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,,
,12/31/2021,0.86,4/28/2020,0.86,3/25/2020,,,,,,,,,,,,,,,,,
,9/30/2021,0.85,,0.85,,,,,,,,,,,,,,,,,,
,6/30/2021,0.82,,0.82,,,,,,,,,,,,,,,,,,
,3/31/2021,0.78,,0.78,,,,,,,,,,,,,,,,,,
,12/31/2020,0.71,3/25/2020,0.99,3/25/2020,1.05,2/25/2020,1.07,1/23/2020,1.07,1/22/2020,1.07,,1.09,,1.11,,1.12,1.13,1.14,1.12,1.142278177
,9/30/2020,0.61,,0.99,,1.04,,1.06,,1.07,,1.07,,1.09,,1.11,,1.12,1.13,1.11,1.121318945,
,6/30/2020,0.55,,0.97,,1,,1.01,,1.02,,1.02,,1.04,,1.05,,1.06,1.08,1.09,1.07,1.068920863
4/28/2020,3/31/2020,-1.28,,0.96,,0.97,,0.98,,0.99,,0.99,,1,,1.02,,1.04,1.05,1.07,1.04,1.027002398
1/15/2020,12/31/2019,1.043220291,,1.03,,1.04,,1.05,,1.04,1.03,1.08,1.09,1.11,1.13,,,,,,,
10/15/2019,9/30/2019,0.784240476,,1.01,,1.02,,1.03,,1.01,1.03,1.06,1.07,1.09,,,,,,,,
7/16/2019,6/28/2019,1.010962894,,1,,1.01,,1.02,,1.03,1.05,,,,,,,,,,,
4/16/2019,3/29/2019,0.907074592,,0.97,,0.98,,0.97,,0.99,,,,,,,,,,,,
1/16/2019,12/31/2018,1.123288631,,1.12,,1.13,,1.06,,1.01,0.87,,,,,,,,,,,
10/16/2018,9/28/2018,0.962531711,,1.01,,0.98,,0.85,,,,,,,,,,,,,,
7/17/2018,6/29/2018,0.817109835,,0.95,,0.93,,0.82,,,,,,,,,,,,,,
4/17/2018,3/29/2018,0.832433888,,0.89,,0.87,,0.76,,,,,,,,,,,,,,
1/17/2018,12/29/2017,0.650024032,,0.83,,0.81,,0.73,,0.71,0.61,,,,,,,,,,,
10/17/2017,9/29/2017,0.693127795,,0.74,,0.71,,0.7,,0.61,,,,,,,,,,,,
7/18/2017,6/30/2017,0.615869537,,0.69,,0.66,,0.65,,0.58,,,,,,,,,,,,
4/18/2017,3/31/2017,0.579197391,,0.55,,0.56,,0.55,,,,,,,,,,,,,,
,12/30/2016,0.65553265,,0.61,,,,,,,,,,,,,,,,,,
,9/30/2016,0.587278087,,0.58,,,,,,,,,,,,,,,,,,
,6/30/2016,0.589225026,,0.45,,,,,,,,,,,,,,,,,,
,3/31/2016,0.048176949,,0.05,,,,,,,,,,,,,,,,,,
,12/31/2015,0.197397607,,0.16,,,,,,,,,,,,,,,,,,
,9/30/2015,0.516503362,,0.52,,,,,,,,,,,,,,,,,,
,6/30/2015,0.436062216,,0.5,,,,,,,,,,,,,,,,,,
,3/31/2015,0.492386488,,0.55,,,,,,,,,,,,,,,,,,
,12/31/2014,0.49174537,,0.58,,,,,,,,,,,,,,,,,,
,9/30/2014,0.557345439,,0.58,,,,,,,,,,,,,,,,,,
,6/30/2014,0.476342882,,0.59,,,,,,,,,,,,,,,,,,
,3/31/2014,0.581990452,,0.57,,,,,,,,,,,,,,,,,,
,12/31/2013,0.41,,0.56,,,,,,,,,,,,,,,,,,
,9/30/2013,0.4,,0.55,,,,,,,,,,,,,,,,,,
,6/28/2013,0.55,,0.55,,,,,,,,,,,,,,,,,,
,3/28/2013,0.56,,0.6,,,,,,,,,,,,,,,,,,
,12/31/2012,0.54,,,,,,,,,,,,,,,,,,,,
,9/28/2012,0.55,,,,,,,,,,,,,,,,,,,,
,6/29/2012,0.46,,,,,,,,,,,,,,,,,,,,
,3/30/2012,0.21,,,,,,,,,,,,,,,,,,,,
,12/30/2011,0.22,,,,,,,,,,,,,,,,,,,,
,9/30/2011,0.36,,,,,,,,,,,,,,,,,,,,
,6/30/2011,0.22,,,,,,,,,,,,,,,,,,,,
,3/31/2011,0.41,,,,,,,,,,,,,,,,,,,,
,12/31/2010,0.46,,,,,,,,,,,,,,,,,,,,
,9/30/2010,0.4,,,,,,,,,,,,,,,,,,,,
,6/30/2010,0.17,,,,,,,,,,,,,,,,,,,,
,3/31/2010,0.37,,,,,,,,,,,,,,,,,,,,
,12/31/2009,0.89,,,,,,,,,,,,,,,,,,,,
,9/30/2009,0.47,,,,,,,,,,,,,,,,,,,,
,6/30/2009,0.43,,,,,,,,,,,,,,,,,,,,
,3/31/2009,0.44,,,,,,,,,,,,,,,,,,,,
,12/31/2008,0.26,,,,,,,,,,,,,,,,,,,,
,9/30/2008,0.5,,,,,,,,,,,,,,,,,,,,
,6/30/2008,0.66,,,,,,,,,,,,,,,,,,,,
,3/31/2008,0.63,,,,,,,,,,,,,,,,,,,,
,12/31/2007,0.53,,,,,,,,,,,,,,,,,,,,
,9/28/2007,0.55,,,,,,,,,,,,,,,,,,,,
,6/29/2007,0.62,,,,,,,,,,,,,,,,,,,,
,3/30/2007,0.58,,,,,,,,,,,,,,,,,,,,
,12/29/2006,0.65,,,,,,,,,,,,,,,,,,,,
,9/29/2006,1.08,,,,,,,,,,,,,,,,,,,,
,6/30/2006,0.66,,,,,,,,,,,,,,,,,,,,
,3/31/2006,0.67,,,,,,,,,,,,,,,,,,,,
,12/30/2005,0.58,,,,,,,,,,,,,,,,,,,,
,9/30/2005,0.04,,,,,,,,,,,,,,,,,,,,
,6/30/2005,0.55,,,,,,,,,,,,,,,,,,,,
,3/31/2005,0.47,,,,,,,,,,,,,,,,,,,,
,12/31/2004,0.48,,,,,,,,,,,,,,,,,,,,
,9/30/2004,0.47,,,,,,,,,,,,,,,,,,,,
,6/30/2004,0.5,,,,,,,,,,,,,,,,,,,,
,3/31/2004,0.43,,,,,,,,,,,,,,,,,,,,
,12/31/2003,0.455,,,,,,,,,,,,,,,,,,,,
,9/30/2003,0.41,,,,,,,,,,,,,,,,,,,,
,6/30/2003,0.37,,,,,,,,,,,,,,,,,,,,
