CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excluding Special Items,,12/31/2023,,1.27,2/4/2023,1.44,1/9/2023,1.44,12/4/2022,1.49,10/30/2022,1.56,10/8/2022,1.58,9/7/2022,1.58,8/2/2022,1.61,7/8/2022,1.61,6/5/2022,1.72,5/2/2022,1.72,4/14/2022,,3/12/2022,1.51,2/5/2022,1.49,1/19/2022,1.49,12/14/2021,1.52,11/6/2021,1.54,10/10/2021,1.54,9/7/2021,1.42,7/31/2021,1.42,7/10/2021,1.42,7/9/2021
,,9/30/2023,,1.42,,1.5,,1.5,,1.53,,1.6,,1.64,,1.64,,1.68,,1.69,,1.75,,1.75,,,,1.54,,1.53,,1.53,,1.54,,1.57,,1.57,,1.48,,1.48,,1.48,
,,6/30/2023,,1.44,,1.52,,1.52,,1.55,,1.64,,1.69,,1.69,,1.69,,1.73,,1.74,,1.74,,,,1.46,,1.45,,1.45,,1.46,,1.5,,1.5,,1.42,,1.42,,1.42,
,,3/30/2023,,1.12,,1.35,,1.35,,1.4,,1.48,,1.53,,1.53,,1.56,,1.62,,1.53,,1.53,,,,1.3,,1.3,,1.3,,1.33,,1.35,,1.35,,1.28,,1.28,,1.28,
,2/2/2023,12/30/2022,0.62,0.67,,1.2,,1.2,,1.29,,1.32,,1.34,,1.34,,1.38,,1.4,,1.46,,1.47,,1.48,,1.51,2/5/2022,1.49,1/19/2022,1.49,12/14/2021,1.52,11/6/2021,1.54,10/10/2021,1.54,9/7/2021,1.42,7/31/2021,1.42,7/10/2021,1.42,7/9/2021
,10/27/2022,9/30/2022,0.41,1.35,,1.41,,1.42,,1.42,,1.45,,1.46,,1.51,,1.49,,1.5,,1.54,,1.53,,1.53,,1.54,,1.57,,1.57,,1.48,,1.48,,1.48,,,,,,,
,7/28/2022,6/30/2022,1.36,1.5,,1.45,,1.45,,1.38,,1.41,,1.42,,1.46,,1.45,,1.45,,1.46,,1.5,,1.5,,1.42,,1.42,,1.42,,,,,,,,,,,,,
,4/28/2022,3/31/2022,1.33,1.36,,1.26,,1.26,,1.3,,1.3,,1.3,,1.33,,1.35,,1.35,,1.28,,1.28,,1.28,,,,,,,,,,,,,,,,,,,
,2/3/2022,12/31/2021,1.23,1.25,,1.2,,1.2,,1.25,,1.26,,1.26,,1.27,,1.26,,1.26,,1.06,,1.052419355,,,,,,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,1.22,1.3,,1.25,,1.27,,1.24,,1.24,,1.24,,1.13,,1.040725806,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/29/2021,6/30/2021,1.23,1.29,,1.24,,1.24,,1.08,,0.888709677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,1.173529412,1.17,,1.05,,1.321370968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/4/2021,12/31/2020,0.91202346,1.08,,0.91,,0.95,,0.9,,0.99,,1.113696099,,1.345256674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/29/2020,9/30/2020,0.829912023,0.92,,0.87,,0.86,,0.89,,0.95,,1.113696099,,1.411416838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/30/2020,6/30/2020,0.42228739,0.85,,0.76,,0.89,,1.145200946,,1.367310062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,1.122093023,1.13,,0.95,,0.92,,1.19477327,,1.199219858,,1.223963039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/30/2020,12/31/2019,0.830945559,0.95,,0.91,,1.01,,1.22,,1.29,,1.3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/31/2019,9/30/2019,1.082621083,1.06,,1.01,,1.28,,1.4,,1.3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/1/2019,6/28/2019,0.753541076,1.11,,1.06,,1.24,,1.37,,1.3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,1.107648725,1.11,,1.11,,1.2,,1.3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/31/2019,12/31/2018,1.217514124,1.17,,1.16,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2019,9/28/2018,1.176966292,1.27,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2019,6/29/2018,1.238764045,1.28,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/3/2019,3/29/2018,1.117647059,1.13,,1.12,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,2.129213483,,,1.09,,1.19,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,1.171348315,,,1.17,,1.24,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,1.207865169,,,1.23,,1.27,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.971910112,,,1.04,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,1.036723164,,,1.15,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,1.178470255,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/1/2016,0.603988604,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/1/2016,0.971346705,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.482857143,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/25/2015,0.837142857,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/26/2015,0.76,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/27/2015,1.005730659,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.610315186,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/26/2014,1.063218391,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/27/2014,0.531609195,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2014,0.449567723,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.649425287,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.627507163,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.488571429,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.532039826,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.501029126,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.525291829,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.554103429,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.506516854,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.55,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.43,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.45,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.43,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.43,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.45,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.505,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.41,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.11,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.235,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,-1.09,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.11,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.155,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.5,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.61,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.45,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.43,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,-2.735,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.37,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.28,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.275,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.36,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.315,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.32,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.315,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.3,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.315,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.365,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.35,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.39,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.365,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.305,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.235,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
